state,counts_all,updated_date,scrape_date
ALABAMA,110783,2021-12-06,2021-12-07
ALASKA,18672,2021-12-06,2021-12-07
AMERICAN SAMOA,298,2021-12-06,2021-12-07
ARIZONA,112731,2021-12-06,2021-12-07
ARKANSAS,58814,2021-12-06,2021-12-07
CALIFORNIA,568791,2021-12-06,2021-12-07
COLORADO,92997,2021-12-06,2021-12-07
CONNECTICUT,94643,2021-12-06,2021-12-07
DELAWARE,22248,2021-12-06,2021-12-07
DISTRICT OF COLUMBIA,32132,2021-12-06,2021-12-07
FLORIDA,407177,2021-12-06,2021-12-07
GEORGIA,168414,2021-12-06,2021-12-07
GUAM,1716,2021-12-06,2021-12-07
HAWAII,28126,2021-12-06,2021-12-07
IDAHO,29045,2021-12-06,2021-12-07
ILLINOIS,244179,2021-12-06,2021-12-07
INDIANA,140286,2021-12-06,2021-12-07
IOWA,68725,2021-12-06,2021-12-07
KANSAS,63238,2021-12-06,2021-12-07
KENTUCKY,84475,2021-12-06,2021-12-07
LOUISIANA,87149,2021-12-06,2021-12-07
MAINE,29818,2021-12-06,2021-12-07
MARYLAND,98143,2021-12-06,2021-12-07
MASSACHUSETTS,173132,2021-12-06,2021-12-07
MICHIGAN (Non-Participating),NA,2021-12-06,2021-12-07
MINNESOTA,138780,2021-12-06,2021-12-07
MISSISSIPPI,64466,2021-12-06,2021-12-07
MISSOURI,140590,2021-12-06,2021-12-07
MONTANA,22489,2021-12-06,2021-12-07
NEBRASKA,36367,2021-12-06,2021-12-07
NEVADA,55858,2021-12-06,2021-12-07
NEW HAMPSHIRE,28594,2021-12-06,2021-12-07
NEW JERSEY,162957,2021-12-06,2021-12-07
NEW MEXICO,32438,2021-12-06,2021-12-07
NEW YORK,490795,2021-12-06,2021-12-07
NORTH CAROLINA,171162,2021-12-06,2021-12-07
NORTH DAKOTA,20181,2021-12-06,2021-12-07
NORTHERN MARIANA ISLANDS,3581,2021-12-06,2021-12-07
OHIO,273604,2021-12-06,2021-12-07
OKLAHOMA,67409,2021-12-06,2021-12-07
OREGON,79090,2021-12-06,2021-12-07
PENNSYLVANIA,284033,2021-12-06,2021-12-07
RHODE ISLAND,29593,2021-12-06,2021-12-07
SOUTH CAROLINA,89368,2021-12-06,2021-12-07
SOUTH DAKOTA,21930,2021-12-06,2021-12-07
TENNESSEE,140834,2021-12-06,2021-12-07
TEXAS,467649,2021-12-06,2021-12-07
UTAH,42788,2021-12-06,2021-12-07
VERMONT,22662,2021-12-06,2021-12-07
VIRGIN ISLANDS,1393,2021-12-06,2021-12-07
VIRGINIA,138917,2021-12-06,2021-12-07
WASHINGTON,127672,2021-12-06,2021-12-07
WEST VIRGINIA,40787,2021-12-06,2021-12-07
WISCONSIN,125916,2021-12-06,2021-12-07
WYOMING,9669,2021-12-06,2021-12-07
