state,counts_lpn,updated_date,scrape_date
ALABAMA,16184,2025-07-17,2025-07-17
ALASKA,794,2025-07-17,2025-07-17
AMERICAN SAMOA,39,2025-07-17,2025-07-17
ARIZONA,11318,2025-07-17,2025-07-17
ARKANSAS,13876,2025-07-17,2025-07-17
CALIFORNIA-RN (Non-Participating),NA,2025-07-17,2025-07-17
CALIFORNIA-VN,114795,2025-07-17,2025-07-17
COLORADO,7611,2025-07-17,2025-07-17
CONNECTICUT,12752,2025-07-17,2025-07-17
DELAWARE,3200,2025-07-17,2025-07-17
DISTRICT OF COLUMBIA,2928,2025-07-17,2025-07-17
FLORIDA,66444,2025-07-17,2025-07-17
GEORGIA,27502,2025-07-17,2025-07-17
GUAM,193,2025-07-17,2025-07-17
HAWAII,1686,2025-07-17,2025-07-17
IDAHO,3309,2025-07-17,2025-07-17
ILLINOIS,24015,2025-07-17,2025-07-17
INDIANA,20721,2025-07-17,2025-07-17
IOWA,8752,2025-07-17,2025-07-17
KANSAS,9220,2025-07-17,2025-07-17
KENTUCKY,12820,2025-07-17,2025-07-17
LOUISIANA-PN,21843,2025-07-17,2025-07-17
LOUISIANA-RN (Non-Participating),NA,2025-07-17,2025-07-17
MAINE,1625,2025-07-17,2025-07-17
MARYLAND,11275,2025-07-17,2025-07-17
MASSACHUSETTS,20445,2025-07-17,2025-07-17
MICHIGAN,20790,2025-07-17,2025-07-17
MINNESOTA,17552,2025-07-17,2025-07-17
MISSISSIPPI,14469,2025-07-17,2025-07-17
MISSOURI,23173,2025-07-17,2025-07-17
MONTANA,2166,2025-07-17,2025-07-17
NEBRASKA,5627,2025-07-17,2025-07-17
NEVADA,4775,2025-07-17,2025-07-17
NEW HAMPSHIRE,3151,2025-07-17,2025-07-17
NEW JERSEY,23389,2025-07-17,2025-07-17
NEW MEXICO,2455,2025-07-17,2025-07-17
NEW YORK,77284,2025-07-17,2025-07-17
NORTH CAROLINA,22761,2025-07-17,2025-07-17
NORTH DAKOTA,2724,2025-07-17,2025-07-17
NORTHERN MARIANA ISLANDS,55,2025-07-17,2025-07-17
OHIO,52280,2025-07-17,2025-07-17
OKLAHOMA,16821,2025-07-17,2025-07-17
OREGON,6653,2025-07-17,2025-07-17
PENNSYLVANIA,50305,2025-07-17,2025-07-17
RHODE ISLAND,2462,2025-07-17,2025-07-17
SOUTH CAROLINA,12506,2025-07-17,2025-07-17
SOUTH DAKOTA,2767,2025-07-17,2025-07-17
TENNESSEE,29245,2025-07-17,2025-07-17
TEXAS,101017,2025-07-17,2025-07-17
UTAH,2719,2025-07-17,2025-07-17
VERMONT,1609,2025-07-17,2025-07-17
VIRGIN ISLANDS,78,2025-07-17,2025-07-17
VIRGINIA,26263,2025-07-17,2025-07-17
WASHINGTON,10340,2025-07-17,2025-07-17
WEST VIRGINIA-PN,7038,2025-07-17,2025-07-17
WEST VIRGINIA-RN (Non-Participating),NA,2025-07-17,2025-07-17
WISCONSIN,10218,2025-07-17,2025-07-17
WYOMING,800,2025-07-17,2025-07-17
TOTALS,966839,2025-07-17,2025-07-17
