state,counts_rn,updated_date,scrape_date
ALABAMA,93046,2026-08-08,2026-08-09
ALASKA,24733,2026-08-08,2026-08-09
AMERICAN SAMOA,178,2026-08-08,2026-08-09
ARIZONA,116120,2026-08-08,2026-08-09
ARKANSAS,50078,2026-08-08,2026-08-09
CALIFORNIA-RN,620148,2026-08-08,2026-08-09
CALIFORNIA-VN (Non-Participating),NA,2026-08-08,2026-08-09
COLORADO,93013,2026-08-08,2026-08-09
CONNECTICUT,76561,2026-08-08,2026-08-09
DELAWARE,19918,2026-08-08,2026-08-09
DISTRICT OF COLUMBIA,45731,2026-08-08,2026-08-09
FLORIDA,395432,2026-08-08,2026-08-09
GEORGIA,150679,2026-08-08,2026-08-09
GUAM,1277,2026-08-08,2026-08-09
HAWAII,38135,2026-08-08,2026-08-09
IDAHO,30203,2026-08-08,2026-08-09
ILLINOIS,265129,2026-08-08,2026-08-09
INDIANA,134096,2026-08-08,2026-08-09
IOWA,59535,2026-08-08,2026-08-09
KANSAS,54152,2026-08-08,2026-08-09
KENTUCKY,81278,2026-08-08,2026-08-09
LOUISIANA-PN (Non-Participating),NA,2026-08-08,2026-08-09
LOUISIANA-RN,69005,2026-08-08,2026-08-09
MAINE,28987,2026-08-08,2026-08-09
MARYLAND,91226,2026-08-08,2026-08-09
MASSACHUSETTS,162587,2026-08-08,2026-08-09
MICHIGAN,192085,2026-08-08,2026-08-09
MINNESOTA,141095,2026-08-08,2026-08-09
MISSISSIPPI,56407,2026-08-08,2026-08-09
MISSOURI,122611,2026-08-08,2026-08-09
MONTANA,27227,2026-08-08,2026-08-09
NEBRASKA,34372,2026-08-08,2026-08-09
NEVADA,65147,2026-08-08,2026-08-09
NEW HAMPSHIRE,28086,2026-08-08,2026-08-09
NEW JERSEY,150605,2026-08-08,2026-08-09
NEW MEXICO,35771,2026-08-08,2026-08-09
NEW YORK,559664,2026-08-08,2026-08-09
NORTH CAROLINA,169528,2026-08-08,2026-08-09
NORTH DAKOTA,17842,2026-08-08,2026-08-09
NORTHERN MARIANA ISLANDS,3642,2026-08-08,2026-08-09
OHIO,235159,2026-08-08,2026-08-09
OKLAHOMA,56645,2026-08-08,2026-08-09
OREGON,93255,2026-08-08,2026-08-09
PENNSYLVANIA,239204,2026-08-08,2026-08-09
RHODE ISLAND,21339,2026-08-08,2026-08-09
SOUTH CAROLINA,88442,2026-08-08,2026-08-09
SOUTH DAKOTA,20643,2026-08-08,2026-08-09
TENNESSEE,119649,2026-08-08,2026-08-09
TEXAS,437469,2026-08-08,2026-08-09
UTAH,49142,2026-08-08,2026-08-09
VERMONT,12514,2026-08-08,2026-08-09
VIRGIN ISLANDS,1198,2026-08-08,2026-08-09
VIRGINIA,125527,2026-08-08,2026-08-09
WASHINGTON,108107,2026-08-08,2026-08-09
WEST VIRGINIA-PN (Non-Participating),NA,2026-08-08,2026-08-09
WEST VIRGINIA-RN,33002,2026-08-08,2026-08-09
WISCONSIN,115268,2026-08-08,2026-08-09
WYOMING,9178,2026-08-08,2026-08-09
TOTALS,6071070,2026-08-08,2026-08-09
