state,counts_all,updated_date,scrape_date
ALABAMA,116361,2022-12-14,2022-12-14
ALASKA,22007,2022-12-14,2022-12-14
AMERICAN SAMOA,299,2022-12-14,2022-12-14
ARIZONA,118579,2022-12-14,2022-12-14
ARKANSAS,59785,2022-12-14,2022-12-14
CALIFORNIA,602354,2022-12-14,2022-12-14
COLORADO,92330,2022-12-14,2022-12-14
CONNECTICUT,102344,2022-12-14,2022-12-14
DELAWARE,24019,2022-12-14,2022-12-14
DISTRICT OF COLUMBIA,38419,2022-12-14,2022-12-14
FLORIDA,426419,2022-12-14,2022-12-14
GEORGIA,170910,2022-12-14,2022-12-14
GUAM,1512,2022-12-14,2022-12-14
HAWAII,35040,2022-12-14,2022-12-14
IDAHO,31838,2022-12-14,2022-12-14
ILLINOIS,239545,2022-12-14,2022-12-14
INDIANA,148574,2022-12-14,2022-12-14
IOWA,67123,2022-12-14,2022-12-14
KANSAS,62567,2022-12-14,2022-12-14
KENTUCKY,86119,2022-12-14,2022-12-14
LOUISIANA,87405,2022-12-14,2022-12-14
MAINE,30650,2022-12-14,2022-12-14
MARYLAND,99166,2022-12-14,2022-12-14
MASSACHUSETTS,189703,2022-12-14,2022-12-14
MICHIGAN (Non-Participating),NA,2022-12-14,2022-12-14
MINNESOTA,147456,2022-12-14,2022-12-14
MISSISSIPPI,66157,2022-12-14,2022-12-14
MISSOURI,144864,2022-12-14,2022-12-14
MONTANA,24123,2022-12-14,2022-12-14
NEBRASKA,36692,2022-12-14,2022-12-14
NEVADA,61274,2022-12-14,2022-12-14
NEW HAMPSHIRE,29734,2022-12-14,2022-12-14
NEW JERSEY,165911,2022-12-14,2022-12-14
NEW MEXICO,33878,2022-12-14,2022-12-14
NEW YORK,456279,2022-12-14,2022-12-14
NORTH CAROLINA,177063,2022-12-14,2022-12-14
NORTH DAKOTA,20732,2022-12-14,2022-12-14
NORTHERN MARIANA ISLANDS,3679,2022-12-14,2022-12-14
OHIO,288832,2022-12-14,2022-12-14
OKLAHOMA,67151,2022-12-14,2022-12-14
OREGON,87151,2022-12-14,2022-12-14
PENNSYLVANIA,293493,2022-12-14,2022-12-14
RHODE ISLAND,31911,2022-12-14,2022-12-14
SOUTH CAROLINA,91056,2022-12-14,2022-12-14
SOUTH DAKOTA,22382,2022-12-14,2022-12-14
TENNESSEE,142996,2022-12-14,2022-12-14
TEXAS,483790,2022-12-14,2022-12-14
UTAH,46691,2022-12-14,2022-12-14
VERMONT,23825,2022-12-14,2022-12-14
VIRGIN ISLANDS,1177,2022-12-14,2022-12-14
VIRGINIA,142523,2022-12-14,2022-12-14
WASHINGTON,137681,2022-12-14,2022-12-14
WEST VIRGINIA,42276,2022-12-14,2022-12-14
WISCONSIN,133717,2022-12-14,2022-12-14
WYOMING,10586,2022-12-14,2022-12-14
