state,counts_lpn,updated_date,scrape_date
ALABAMA,15429,2024-12-10,2024-12-10
ALASKA,674,2024-12-10,2024-12-10
AMERICAN SAMOA,5,2024-12-10,2024-12-10
ARIZONA,10893,2024-12-10,2024-12-10
ARKANSAS,13704,2024-12-10,2024-12-10
CALIFORNIA-RN (Non-Participating),NA,2024-12-10,2024-12-10
CALIFORNIA-VN,112794,2024-12-10,2024-12-10
COLORADO,7269,2024-12-10,2024-12-10
CONNECTICUT,12682,2024-12-10,2024-12-10
DELAWARE,3026,2024-12-10,2024-12-10
DISTRICT OF COLUMBIA,2784,2024-12-10,2024-12-10
FLORIDA,64718,2024-12-10,2024-12-10
GEORGIA,30130,2024-12-10,2024-12-10
GUAM,190,2024-12-10,2024-12-10
HAWAII,2142,2024-12-10,2024-12-10
IDAHO,3151,2024-12-10,2024-12-10
ILLINOIS,27068,2024-12-10,2024-12-10
INDIANA,19646,2024-12-10,2024-12-10
IOWA,8831,2024-12-10,2024-12-10
KANSAS,9142,2024-12-10,2024-12-10
KENTUCKY,12211,2024-12-10,2024-12-10
LOUISIANA-PN,22000,2024-12-10,2024-12-10
LOUISIANA-RN (Non-Participating),NA,2024-12-10,2024-12-10
MAINE,1653,2024-12-10,2024-12-10
MARYLAND,11108,2024-12-10,2024-12-10
MASSACHUSETTS,20013,2024-12-10,2024-12-10
MICHIGAN,20722,2024-12-10,2024-12-10
MINNESOTA,17601,2024-12-10,2024-12-10
MISSISSIPPI,14018,2024-12-10,2024-12-10
MISSOURI,22460,2024-12-10,2024-12-10
MONTANA,2230,2024-12-10,2024-12-10
NEBRASKA,5311,2024-12-10,2024-12-10
NEVADA,4746,2024-12-10,2024-12-10
NEW HAMPSHIRE,3114,2024-12-10,2024-12-10
NEW JERSEY,23964,2024-12-10,2024-12-10
NEW MEXICO,2404,2024-12-10,2024-12-10
NEW YORK,76021,2024-12-10,2024-12-10
NORTH CAROLINA,22934,2024-12-10,2024-12-10
NORTH DAKOTA,3031,2024-12-10,2024-12-10
NORTHERN MARIANA ISLANDS,56,2024-12-10,2024-12-10
OHIO,49706,2024-12-10,2024-12-10
OKLAHOMA,17136,2024-12-10,2024-12-10
OREGON,6540,2024-12-10,2024-12-10
PENNSYLVANIA,48679,2024-12-10,2024-12-10
RHODE ISLAND,2711,2024-12-10,2024-12-10
SOUTH CAROLINA,12166,2024-12-10,2024-12-10
SOUTH DAKOTA,2749,2024-12-10,2024-12-10
TENNESSEE,29376,2024-12-10,2024-12-10
TEXAS,101394,2024-12-10,2024-12-10
UTAH,2612,2024-12-10,2024-12-10
VERMONT,1532,2024-12-10,2024-12-10
VIRGIN ISLANDS,78,2024-12-10,2024-12-10
VIRGINIA,26234,2024-12-10,2024-12-10
WASHINGTON,10388,2024-12-10,2024-12-10
WEST VIRGINIA-PN,7457,2024-12-10,2024-12-10
WEST VIRGINIA-RN (Non-Participating),NA,2024-12-10,2024-12-10
WISCONSIN,11981,2024-12-10,2024-12-10
WYOMING,1022,2024-12-10,2024-12-10
TOTALS,961636,2024-12-10,2024-12-10
