state,counts_rn,updated_date,scrape_date
ALABAMA,88949,2025-06-03,2025-06-03
ALASKA,20240,2025-06-03,2025-06-03
AMERICAN SAMOA,109,2025-06-03,2025-06-03
ARIZONA,117172,2025-06-03,2025-06-03
ARKANSAS,48554,2025-06-03,2025-06-03
CALIFORNIA-RN,567020,2025-06-03,2025-06-03
CALIFORNIA-VN (Non-Participating),NA,2025-06-03,2025-06-03
COLORADO,90263,2025-06-03,2025-06-03
CONNECTICUT,81639,2025-06-03,2025-06-03
DELAWARE,21939,2025-06-03,2025-06-03
DISTRICT OF COLUMBIA,45074,2025-06-03,2025-06-03
FLORIDA,376906,2025-06-03,2025-06-03
GEORGIA,144480,2025-06-03,2025-06-03
GUAM,1280,2025-06-03,2025-06-03
HAWAII,40846,2025-06-03,2025-06-03
IDAHO,30938,2025-06-03,2025-06-03
ILLINOIS,241749,2025-06-03,2025-06-03
INDIANA,134837,2025-06-03,2025-06-03
IOWA,58128,2025-06-03,2025-06-03
KANSAS,53033,2025-06-03,2025-06-03
KENTUCKY,78367,2025-06-03,2025-06-03
LOUISIANA-PN (Non-Participating),NA,2025-06-03,2025-06-03
LOUISIANA-RN,66901,2025-06-03,2025-06-03
MAINE,28837,2025-06-03,2025-06-03
MARYLAND,89929,2025-06-03,2025-06-03
MASSACHUSETTS,162557,2025-06-03,2025-06-03
MICHIGAN,177885,2025-06-03,2025-06-03
MINNESOTA,135853,2025-06-03,2025-06-03
MISSISSIPPI,52365,2025-06-03,2025-06-03
MISSOURI,115908,2025-06-03,2025-06-03
MONTANA,25213,2025-06-03,2025-06-03
NEBRASKA,31713,2025-06-03,2025-06-03
NEVADA,61342,2025-06-03,2025-06-03
NEW HAMPSHIRE,27575,2025-06-03,2025-06-03
NEW JERSEY,151695,2025-06-03,2025-06-03
NEW MEXICO,34142,2025-06-03,2025-06-03
NEW YORK,504932,2025-06-03,2025-06-03
NORTH CAROLINA,163010,2025-06-03,2025-06-03
NORTH DAKOTA,17408,2025-06-03,2025-06-03
NORTHERN MARIANA ISLANDS,4334,2025-06-03,2025-06-03
OHIO,238000,2025-06-03,2025-06-03
OKLAHOMA,54097,2025-06-03,2025-06-03
OREGON,89367,2025-06-03,2025-06-03
PENNSYLVANIA,235413,2025-06-03,2025-06-03
RHODE ISLAND,20785,2025-06-03,2025-06-03
SOUTH CAROLINA,86766,2025-06-03,2025-06-03
SOUTH DAKOTA,20060,2025-06-03,2025-06-03
TENNESSEE,116923,2025-06-03,2025-06-03
TEXAS,420720,2025-06-03,2025-06-03
UTAH,44446,2025-06-03,2025-06-03
VERMONT,10932,2025-06-03,2025-06-03
VIRGIN ISLANDS,1244,2025-06-03,2025-06-03
VIRGINIA,121582,2025-06-03,2025-06-03
WASHINGTON,106064,2025-06-03,2025-06-03
WEST VIRGINIA-PN (Non-Participating),NA,2025-06-03,2025-06-03
WEST VIRGINIA-RN,34765,2025-06-03,2025-06-03
WISCONSIN,117724,2025-06-03,2025-06-03
WYOMING,8458,2025-06-03,2025-06-03
TOTALS,5820468,2025-06-03,2025-06-03
