state,counts_all,updated_date,scrape_date
ALABAMA,102994,2024-11-01,2024-11-01
ALASKA,24433,2024-11-01,2024-11-01
AMERICAN SAMOA,65,2024-11-01,2024-11-01
ARIZONA,124915,2024-11-01,2024-11-01
ARKANSAS,61725,2024-11-01,2024-11-01
CALIFORNIA,657264,2024-11-01,2024-11-01
COLORADO,101041,2024-11-01,2024-11-01
CONNECTICUT,95496,2024-11-01,2024-11-01
DELAWARE,24428,2024-11-01,2024-11-01
DISTRICT OF COLUMBIA,43735,2024-11-01,2024-11-01
FLORIDA,444236,2024-11-01,2024-11-01
GEORGIA,176355,2024-11-01,2024-11-01
GUAM,1409,2024-11-01,2024-11-01
HAWAII,39962,2024-11-01,2024-11-01
IDAHO,32596,2024-11-01,2024-11-01
ILLINOIS,279795,2024-11-01,2024-11-01
INDIANA,154284,2024-11-01,2024-11-01
IOWA,67317,2024-11-01,2024-11-01
KANSAS,62722,2024-11-01,2024-11-01
KENTUCKY,91430,2024-11-01,2024-11-01
LOUISIANA,89156,2024-11-01,2024-11-01
MAINE,30621,2024-11-01,2024-11-01
MARYLAND,100596,2024-11-01,2024-11-01
MASSACHUSETTS,176300,2024-11-01,2024-11-01
MICHIGAN,197466,2024-11-01,2024-11-01
MINNESOTA,152830,2024-11-01,2024-11-01
MISSISSIPPI,68880,2024-11-01,2024-11-01
MISSOURI,146625,2024-11-01,2024-11-01
MONTANA,27143,2024-11-01,2024-11-01
NEBRASKA,39488,2024-11-01,2024-11-01
NEVADA,65323,2024-11-01,2024-11-01
NEW HAMPSHIRE,30513,2024-11-01,2024-11-01
NEW JERSEY,171722,2024-11-01,2024-11-01
NEW MEXICO,36644,2024-11-01,2024-11-01
NEW YORK,557389,2024-11-01,2024-11-01
NORTH CAROLINA,185469,2024-11-01,2024-11-01
NORTH DAKOTA,20862,2024-11-01,2024-11-01
NORTHERN MARIANA ISLANDS,4717,2024-11-01,2024-11-01
OHIO,289301,2024-11-01,2024-11-01
OKLAHOMA,70498,2024-11-01,2024-11-01
OREGON,92863,2024-11-01,2024-11-01
PENNSYLVANIA,294222,2024-11-01,2024-11-01
RHODE ISLAND,28242,2024-11-01,2024-11-01
SOUTH CAROLINA,95623,2024-11-01,2024-11-01
SOUTH DAKOTA,22769,2024-11-01,2024-11-01
TENNESSEE,146468,2024-11-01,2024-11-01
TEXAS,518456,2024-11-01,2024-11-01
UTAH,50042,2024-11-01,2024-11-01
VERMONT,14551,2024-11-01,2024-11-01
VIRGIN ISLANDS,1381,2024-11-01,2024-11-01
VIRGINIA,147692,2024-11-01,2024-11-01
WASHINGTON,118866,2024-11-01,2024-11-01
WEST VIRGINIA,45310,2024-11-01,2024-11-01
WISCONSIN,125753,2024-11-01,2024-11-01
WYOMING,10548,2024-11-01,2024-11-01
