state,counts_rn,updated_date,scrape_date
ALABAMA,88410,2025-05-14,2025-05-14
ALASKA,20016,2025-05-14,2025-05-14
AMERICAN SAMOA,109,2025-05-14,2025-05-14
ARIZONA,116761,2025-05-14,2025-05-14
ARKANSAS,48302,2025-05-14,2025-05-14
CALIFORNIA-RN,564944,2025-05-14,2025-05-14
CALIFORNIA-VN (Non-Participating),NA,2025-05-14,2025-05-14
COLORADO,90043,2025-05-14,2025-05-14
CONNECTICUT,81277,2025-05-14,2025-05-14
DELAWARE,21996,2025-05-14,2025-05-14
DISTRICT OF COLUMBIA,44668,2025-05-14,2025-05-14
FLORIDA,386721,2025-05-14,2025-05-14
GEORGIA,144073,2025-05-14,2025-05-14
GUAM,1279,2025-05-14,2025-05-14
HAWAII,40662,2025-05-14,2025-05-14
IDAHO,30713,2025-05-14,2025-05-14
ILLINOIS,240689,2025-05-14,2025-05-14
INDIANA,134397,2025-05-14,2025-05-14
IOWA,58242,2025-05-14,2025-05-14
KANSAS,53086,2025-05-14,2025-05-14
KENTUCKY,77483,2025-05-14,2025-05-14
LOUISIANA-PN (Non-Participating),NA,2025-05-14,2025-05-14
LOUISIANA-RN,66772,2025-05-14,2025-05-14
MAINE,28773,2025-05-14,2025-05-14
MARYLAND,89996,2025-05-14,2025-05-14
MASSACHUSETTS,162001,2025-05-14,2025-05-14
MICHIGAN,177447,2025-05-14,2025-05-14
MINNESOTA,135616,2025-05-14,2025-05-14
MISSISSIPPI,52162,2025-05-14,2025-05-14
MISSOURI,115566,2025-05-14,2025-05-14
MONTANA,25020,2025-05-14,2025-05-14
NEBRASKA,31658,2025-05-14,2025-05-14
NEVADA,61191,2025-05-14,2025-05-14
NEW HAMPSHIRE,27418,2025-05-14,2025-05-14
NEW JERSEY,152063,2025-05-14,2025-05-14
NEW MEXICO,34193,2025-05-14,2025-05-14
NEW YORK,503167,2025-05-14,2025-05-14
NORTH CAROLINA,162311,2025-05-14,2025-05-14
NORTH DAKOTA,17147,2025-05-14,2025-05-14
NORTHERN MARIANA ISLANDS,4371,2025-05-14,2025-05-14
OHIO,237180,2025-05-14,2025-05-14
OKLAHOMA,53901,2025-05-14,2025-05-14
OREGON,89310,2025-05-14,2025-05-14
PENNSYLVANIA,234626,2025-05-14,2025-05-14
RHODE ISLAND,20696,2025-05-14,2025-05-14
SOUTH CAROLINA,86392,2025-05-14,2025-05-14
SOUTH DAKOTA,20056,2025-05-14,2025-05-14
TENNESSEE,116663,2025-05-14,2025-05-14
TEXAS,420674,2025-05-14,2025-05-14
UTAH,44254,2025-05-14,2025-05-14
VERMONT,10889,2025-05-14,2025-05-14
VIRGIN ISLANDS,1270,2025-05-14,2025-05-14
VIRGINIA,121629,2025-05-14,2025-05-14
WASHINGTON,106134,2025-05-14,2025-05-14
WEST VIRGINIA-PN (Non-Participating),NA,2025-05-14,2025-05-14
WEST VIRGINIA-RN,34567,2025-05-14,2025-05-14
WISCONSIN,117249,2025-05-14,2025-05-14
WYOMING,8367,2025-05-14,2025-05-14
TOTALS,5814600,2025-05-14,2025-05-14
