state,counts_rn,updated_date,scrape_date
ALABAMA,87548,2024-11-22,2024-11-25
ALASKA,23895,2024-11-22,2024-11-25
AMERICAN SAMOA,60,2024-11-22,2024-11-25
ARIZONA,114328,2024-11-22,2024-11-25
ARKANSAS,47779,2024-11-22,2024-11-25
CALIFORNIA-RN,545960,2024-11-22,2024-11-25
CALIFORNIA-VN (Non-Participating),NA,2024-11-22,2024-11-25
COLORADO,92730,2024-11-22,2024-11-25
CONNECTICUT,82668,2024-11-22,2024-11-25
DELAWARE,21484,2024-11-22,2024-11-25
DISTRICT OF COLUMBIA,41314,2024-11-22,2024-11-25
FLORIDA,380662,2024-11-22,2024-11-25
GEORGIA,146540,2024-11-22,2024-11-25
GUAM,1232,2024-11-22,2024-11-25
HAWAII,38162,2024-11-22,2024-11-25
IDAHO,29564,2024-11-22,2024-11-25
ILLINOIS,254139,2024-11-22,2024-11-25
INDIANA,131546,2024-11-22,2024-11-25
IOWA,58254,2024-11-22,2024-11-25
KANSAS,53266,2024-11-22,2024-11-25
KENTUCKY,74948,2024-11-22,2024-11-25
LOUISIANA-PN (Non-Participating),NA,2024-11-22,2024-11-25
LOUISIANA-RN,67091,2024-11-22,2024-11-25
MAINE,28924,2024-11-22,2024-11-25
MARYLAND,89691,2024-11-22,2024-11-25
MASSACHUSETTS,156916,2024-11-22,2024-11-25
MICHIGAN,175398,2024-11-22,2024-11-25
MINNESOTA,134543,2024-11-22,2024-11-25
MISSISSIPPI,54922,2024-11-22,2024-11-25
MISSOURI,124352,2024-11-22,2024-11-25
MONTANA,25082,2024-11-22,2024-11-25
NEBRASKA,31030,2024-11-22,2024-11-25
NEVADA,60571,2024-11-22,2024-11-25
NEW HAMPSHIRE,27348,2024-11-22,2024-11-25
NEW JERSEY,148400,2024-11-22,2024-11-25
NEW MEXICO,34106,2024-11-22,2024-11-25
NEW YORK,483458,2024-11-22,2024-11-25
NORTH CAROLINA,162122,2024-11-22,2024-11-25
NORTH DAKOTA,17892,2024-11-22,2024-11-25
NORTHERN MARIANA ISLANDS,4615,2024-11-22,2024-11-25
OHIO,233433,2024-11-22,2024-11-25
OKLAHOMA,53128,2024-11-22,2024-11-25
OREGON,86368,2024-11-22,2024-11-25
PENNSYLVANIA,237119,2024-11-22,2024-11-25
RHODE ISLAND,25643,2024-11-22,2024-11-25
SOUTH CAROLINA,83806,2024-11-22,2024-11-25
SOUTH DAKOTA,19993,2024-11-22,2024-11-25
TENNESSEE,116746,2024-11-22,2024-11-25
TEXAS,415649,2024-11-22,2024-11-25
UTAH,47583,2024-11-22,2024-11-25
VERMONT,13088,2024-11-22,2024-11-25
VIRGIN ISLANDS,1306,2024-11-22,2024-11-25
VIRGINIA,121185,2024-11-22,2024-11-25
WASHINGTON,108224,2024-11-22,2024-11-25
WEST VIRGINIA-PN (Non-Participating),NA,2024-11-22,2024-11-25
WEST VIRGINIA-RN,33400,2024-11-22,2024-11-25
WISCONSIN,114194,2024-11-22,2024-11-25
WYOMING,9565,2024-11-22,2024-11-25
TOTALS,5772970,2024-11-22,2024-11-25
