state,counts_lpn,updated_date,scrape_date
ALABAMA,16891,2021-09-13,2021-09-13
ALASKA,715,2021-09-13,2021-09-13
AMERICAN SAMOA,131,2021-09-13,2021-09-13
ARIZONA,10636,2021-09-13,2021-09-13
ARKANSAS,14354,2021-09-13,2021-09-13
CALIFORNIA-RN (Non-Participating),NA,2021-09-13,2021-09-13
CALIFORNIA-VN,105256,2021-09-13,2021-09-13
COLORADO,7851,2021-09-13,2021-09-13
CONNECTICUT,13632,2021-09-13,2021-09-13
DELAWARE,3108,2021-09-13,2021-09-13
DISTRICT OF COLUMBIA,2135,2021-09-13,2021-09-13
FLORIDA,59646,2021-09-13,2021-09-13
GEORGIA,29335,2021-09-13,2021-09-13
GUAM,197,2021-09-13,2021-09-13
HAWAII,1591,2021-09-13,2021-09-13
IDAHO,3454,2021-09-13,2021-09-13
ILLINOIS,25083,2021-09-13,2021-09-13
INDIANA,22496,2021-09-13,2021-09-13
IOWA,11713,2021-09-13,2021-09-13
KANSAS,9793,2021-09-13,2021-09-13
KENTUCKY,13735,2021-09-13,2021-09-13
LOUISIANA-PN,21610,2021-09-13,2021-09-13
LOUISIANA-RN (Non-Participating),NA,2021-09-13,2021-09-13
MAINE,1898,2021-09-13,2021-09-13
MARYLAND,11312,2021-09-13,2021-09-13
MASSACHUSETTS,21884,2021-09-13,2021-09-13
MICHIGAN (Non-Participating),NA,2021-09-13,2021-09-13
MINNESOTA,19882,2021-09-13,2021-09-13
MISSISSIPPI,13905,2021-09-13,2021-09-13
MISSOURI,24228,2021-09-13,2021-09-13
MONTANA,2389,2021-09-13,2021-09-13
NEBRASKA,6145,2021-09-13,2021-09-13
NEVADA,4381,2021-09-13,2021-09-13
NEW HAMPSHIRE,3091,2021-09-13,2021-09-13
NEW JERSEY,23394,2021-09-13,2021-09-13
NEW MEXICO,2475,2021-09-13,2021-09-13
NEW YORK,86270,2021-09-13,2021-09-13
NORTH CAROLINA,22641,2021-09-13,2021-09-13
NORTH DAKOTA,3371,2021-09-13,2021-09-13
NORTHERN MARIANA ISLANDS,45,2021-09-13,2021-09-13
OHIO,52617,2021-09-13,2021-09-13
OKLAHOMA,16024,2021-09-13,2021-09-13
OREGON,5947,2021-09-13,2021-09-13
PENNSYLVANIA,51746,2021-09-13,2021-09-13
RHODE ISLAND,2403,2021-09-13,2021-09-13
SOUTH CAROLINA,12065,2021-09-13,2021-09-13
SOUTH DAKOTA,2677,2021-09-13,2021-09-13
TENNESSEE,29957,2021-09-13,2021-09-13
TEXAS,106051,2021-09-13,2021-09-13
UTAH,2757,2021-09-13,2021-09-13
VERMONT,2466,2021-09-13,2021-09-13
VIRGIN ISLANDS,91,2021-09-13,2021-09-13
VIRGINIA,27066,2021-09-13,2021-09-13
WASHINGTON,11040,2021-09-13,2021-09-13
WEST VIRGINIA-PN,7747,2021-09-13,2021-09-13
WEST VIRGINIA-RN (Non-Participating),NA,2021-09-13,2021-09-13
WISCONSIN,14844,2021-09-13,2021-09-13
WYOMING,835,2021-09-13,2021-09-13
TOTALS,967006,2021-09-13,2021-09-13
