state,counts_lpn,updated_date,scrape_date
ALABAMA,16988,2021-10-01,2021-10-02
ALASKA,722,2021-10-01,2021-10-02
AMERICAN SAMOA,131,2021-10-01,2021-10-02
ARIZONA,10681,2021-10-01,2021-10-02
ARKANSAS,14381,2021-10-01,2021-10-02
CALIFORNIA-RN (Non-Participating),NA,2021-10-01,2021-10-02
CALIFORNIA-VN,105818,2021-10-01,2021-10-02
COLORADO,7890,2021-10-01,2021-10-02
CONNECTICUT,13661,2021-10-01,2021-10-02
DELAWARE,3123,2021-10-01,2021-10-02
DISTRICT OF COLUMBIA,2157,2021-10-01,2021-10-02
FLORIDA,60049,2021-10-01,2021-10-02
GEORGIA,29413,2021-10-01,2021-10-02
GUAM,197,2021-10-01,2021-10-02
HAWAII,1610,2021-10-01,2021-10-02
IDAHO,3469,2021-10-01,2021-10-02
ILLINOIS,25228,2021-10-01,2021-10-02
INDIANA,22603,2021-10-01,2021-10-02
IOWA,11753,2021-10-01,2021-10-02
KANSAS,9820,2021-10-01,2021-10-02
KENTUCKY,13766,2021-10-01,2021-10-02
LOUISIANA-PN,21647,2021-10-01,2021-10-02
LOUISIANA-RN (Non-Participating),NA,2021-10-01,2021-10-02
MAINE,1905,2021-10-01,2021-10-02
MARYLAND,11379,2021-10-01,2021-10-02
MASSACHUSETTS,20537,2021-10-01,2021-10-02
MICHIGAN (Non-Participating),NA,2021-10-01,2021-10-02
MINNESOTA,19940,2021-10-01,2021-10-02
MISSISSIPPI,14025,2021-10-01,2021-10-02
MISSOURI,24328,2021-10-01,2021-10-02
MONTANA,2393,2021-10-01,2021-10-02
NEBRASKA,6138,2021-10-01,2021-10-02
NEVADA,4388,2021-10-01,2021-10-02
NEW HAMPSHIRE,3089,2021-10-01,2021-10-02
NEW JERSEY,23480,2021-10-01,2021-10-02
NEW MEXICO,2490,2021-10-01,2021-10-02
NEW YORK,86432,2021-10-01,2021-10-02
NORTH CAROLINA,22821,2021-10-01,2021-10-02
NORTH DAKOTA,3398,2021-10-01,2021-10-02
NORTHERN MARIANA ISLANDS,45,2021-10-01,2021-10-02
OHIO,52802,2021-10-01,2021-10-02
OKLAHOMA,16135,2021-10-01,2021-10-02
OREGON,5981,2021-10-01,2021-10-02
PENNSYLVANIA,51917,2021-10-01,2021-10-02
RHODE ISLAND,2441,2021-10-01,2021-10-02
SOUTH CAROLINA,12158,2021-10-01,2021-10-02
SOUTH DAKOTA,2682,2021-10-01,2021-10-02
TENNESSEE,30023,2021-10-01,2021-10-02
TEXAS,106557,2021-10-01,2021-10-02
UTAH,2758,2021-10-01,2021-10-02
VERMONT,2496,2021-10-01,2021-10-02
VIRGIN ISLANDS,91,2021-10-01,2021-10-02
VIRGINIA,27166,2021-10-01,2021-10-02
WASHINGTON,11087,2021-10-01,2021-10-02
WEST VIRGINIA-PN,7804,2021-10-01,2021-10-02
WEST VIRGINIA-RN (Non-Participating),NA,2021-10-01,2021-10-02
WISCONSIN,14878,2021-10-01,2021-10-02
WYOMING,836,2021-10-01,2021-10-02
TOTALS,969707,2021-10-01,2021-10-02
