state,counts_all,updated_date,scrape_date
ALABAMA,106226,2025-07-12,2025-07-12
ALASKA,21570,2025-07-12,2025-07-12
AMERICAN SAMOA,152,2025-07-12,2025-07-12
ARIZONA,130041,2025-07-12,2025-07-12
ARKANSAS,62809,2025-07-12,2025-07-12
CALIFORNIA,687999,2025-07-12,2025-07-12
COLORADO,98671,2025-07-12,2025-07-12
CONNECTICUT,94663,2025-07-12,2025-07-12
DELAWARE,25425,2025-07-12,2025-07-12
DISTRICT OF COLUMBIA,48829,2025-07-12,2025-07-12
FLORIDA,447750,2025-07-12,2025-07-12
GEORGIA,173901,2025-07-12,2025-07-12
GUAM,1488,2025-07-12,2025-07-12
HAWAII,33437,2025-07-12,2025-07-12
IDAHO,34611,2025-07-12,2025-07-12
ILLINOIS,268694,2025-07-12,2025-07-12
INDIANA,157500,2025-07-12,2025-07-12
IOWA,67176,2025-07-12,2025-07-12
KANSAS,63009,2025-07-12,2025-07-12
KENTUCKY,91637,2025-07-12,2025-07-12
LOUISIANA,89760,2025-07-12,2025-07-12
MAINE,30780,2025-07-12,2025-07-12
MARYLAND,102221,2025-07-12,2025-07-12
MASSACHUSETTS,185146,2025-07-12,2025-07-12
MICHIGAN,200146,2025-07-12,2025-07-12
MINNESOTA,156325,2025-07-12,2025-07-12
MISSISSIPPI,67782,2025-07-12,2025-07-12
MISSOURI,141021,2025-07-12,2025-07-12
MONTANA,27879,2025-07-12,2025-07-12
NEBRASKA,38012,2025-07-12,2025-07-12
NEVADA,66734,2025-07-12,2025-07-12
NEW HAMPSHIRE,30861,2025-07-12,2025-07-12
NEW JERSEY,171037,2025-07-12,2025-07-12
NEW MEXICO,36865,2025-07-12,2025-07-12
NEW YORK,585532,2025-07-12,2025-07-12
NORTH CAROLINA,187883,2025-07-12,2025-07-12
NORTH DAKOTA,20303,2025-07-12,2025-07-12
NORTHERN MARIANA ISLANDS,4311,2025-07-12,2025-07-12
OHIO,292416,2025-07-12,2025-07-12
OKLAHOMA,71887,2025-07-12,2025-07-12
OREGON,96643,2025-07-12,2025-07-12
PENNSYLVANIA,289097,2025-07-12,2025-07-12
RHODE ISLAND,23590,2025-07-12,2025-07-12
SOUTH CAROLINA,100470,2025-07-12,2025-07-12
SOUTH DAKOTA,22970,2025-07-12,2025-07-12
TENNESSEE,147058,2025-07-12,2025-07-12
TEXAS,526394,2025-07-12,2025-07-12
UTAH,47890,2025-07-12,2025-07-12
VERMONT,12784,2025-07-12,2025-07-12
VIRGIN ISLANDS,1319,2025-07-12,2025-07-12
VIRGINIA,149239,2025-07-12,2025-07-12
WASHINGTON,117511,2025-07-12,2025-07-12
WEST VIRGINIA,42358,2025-07-12,2025-07-12
WISCONSIN,129587,2025-07-12,2025-07-12
WYOMING,9387,2025-07-12,2025-07-12
