state,counts_all,updated_date,scrape_date
ALABAMA,104628,2025-05-24,2025-05-25
ALASKA,20907,2025-05-24,2025-05-25
AMERICAN SAMOA,134,2025-05-24,2025-05-25
ARIZONA,128103,2025-05-24,2025-05-25
ARKANSAS,62215,2025-05-24,2025-05-25
CALIFORNIA,680622,2025-05-24,2025-05-25
COLORADO,97711,2025-05-24,2025-05-25
CONNECTICUT,94319,2025-05-24,2025-05-25
DELAWARE,25172,2025-05-24,2025-05-25
DISTRICT OF COLUMBIA,47794,2025-05-24,2025-05-25
FLORIDA,442336,2025-05-24,2025-05-25
GEORGIA,171616,2025-05-24,2025-05-25
GUAM,1472,2025-05-24,2025-05-25
HAWAII,43074,2025-05-24,2025-05-25
IDAHO,34128,2025-05-24,2025-05-25
ILLINOIS,265014,2025-05-24,2025-05-25
INDIANA,155132,2025-05-24,2025-05-25
IOWA,66716,2025-05-24,2025-05-25
KANSAS,62147,2025-05-24,2025-05-25
KENTUCKY,90760,2025-05-24,2025-05-25
LOUISIANA,88277,2025-05-24,2025-05-25
MAINE,30442,2025-05-24,2025-05-25
MARYLAND,101395,2025-05-24,2025-05-25
MASSACHUSETTS,182665,2025-05-24,2025-05-25
MICHIGAN,198187,2025-05-24,2025-05-25
MINNESOTA,153534,2025-05-24,2025-05-25
MISSISSIPPI,66609,2025-05-24,2025-05-25
MISSOURI,138675,2025-05-24,2025-05-25
MONTANA,27262,2025-05-24,2025-05-25
NEBRASKA,37089,2025-05-24,2025-05-25
NEVADA,66100,2025-05-24,2025-05-25
NEW HAMPSHIRE,30621,2025-05-24,2025-05-25
NEW JERSEY,176697,2025-05-24,2025-05-25
NEW MEXICO,36710,2025-05-24,2025-05-25
NEW YORK,581462,2025-05-24,2025-05-25
NORTH CAROLINA,185730,2025-05-24,2025-05-25
NORTH DAKOTA,19905,2025-05-24,2025-05-25
NORTHERN MARIANA ISLANDS,4405,2025-05-24,2025-05-25
OHIO,288953,2025-05-24,2025-05-25
OKLAHOMA,70813,2025-05-24,2025-05-25
OREGON,96010,2025-05-24,2025-05-25
PENNSYLVANIA,284821,2025-05-24,2025-05-25
RHODE ISLAND,23145,2025-05-24,2025-05-25
SOUTH CAROLINA,99005,2025-05-24,2025-05-25
SOUTH DAKOTA,22818,2025-05-24,2025-05-25
TENNESSEE,145888,2025-05-24,2025-05-25
TEXAS,522640,2025-05-24,2025-05-25
UTAH,47042,2025-05-24,2025-05-25
VERMONT,12489,2025-05-24,2025-05-25
VIRGIN ISLANDS,1353,2025-05-24,2025-05-25
VIRGINIA,148059,2025-05-24,2025-05-25
WASHINGTON,116765,2025-05-24,2025-05-25
WEST VIRGINIA,42315,2025-05-24,2025-05-25
WISCONSIN,127321,2025-05-24,2025-05-25
WYOMING,9186,2025-05-24,2025-05-25
