state,counts_lpn,updated_date,scrape_date
ALABAMA,16220,2025-08-16,2025-08-17
ALASKA,804,2025-08-16,2025-08-17
AMERICAN SAMOA,44,2025-08-16,2025-08-17
ARIZONA,10663,2025-08-16,2025-08-17
ARKANSAS,13900,2025-08-16,2025-08-17
CALIFORNIA-RN (Non-Participating),NA,2025-08-16,2025-08-17
CALIFORNIA-VN,115081,2025-08-16,2025-08-17
COLORADO,7700,2025-08-16,2025-08-17
CONNECTICUT,12792,2025-08-16,2025-08-17
DELAWARE,3260,2025-08-16,2025-08-17
DISTRICT OF COLUMBIA,2947,2025-08-16,2025-08-17
FLORIDA,66593,2025-08-16,2025-08-17
GEORGIA,27640,2025-08-16,2025-08-17
GUAM,196,2025-08-16,2025-08-17
HAWAII,1730,2025-08-16,2025-08-17
IDAHO,3333,2025-08-16,2025-08-17
ILLINOIS,24357,2025-08-16,2025-08-17
INDIANA,20865,2025-08-16,2025-08-17
IOWA,8979,2025-08-16,2025-08-17
KANSAS,9217,2025-08-16,2025-08-17
KENTUCKY,12917,2025-08-16,2025-08-17
LOUISIANA-PN,21882,2025-08-16,2025-08-17
LOUISIANA-RN (Non-Participating),NA,2025-08-16,2025-08-17
MAINE,1606,2025-08-16,2025-08-17
MARYLAND,11319,2025-08-16,2025-08-17
MASSACHUSETTS,20694,2025-08-16,2025-08-17
MICHIGAN,20750,2025-08-16,2025-08-17
MINNESOTA,17552,2025-08-16,2025-08-17
MISSISSIPPI,14583,2025-08-16,2025-08-17
MISSOURI,23274,2025-08-16,2025-08-17
MONTANA,2180,2025-08-16,2025-08-17
NEBRASKA,5660,2025-08-16,2025-08-17
NEVADA,4783,2025-08-16,2025-08-17
NEW HAMPSHIRE,3143,2025-08-16,2025-08-17
NEW JERSEY,23530,2025-08-16,2025-08-17
NEW MEXICO,2465,2025-08-16,2025-08-17
NEW YORK,77626,2025-08-16,2025-08-17
NORTH CAROLINA,22807,2025-08-16,2025-08-17
NORTH DAKOTA,2820,2025-08-16,2025-08-17
NORTHERN MARIANA ISLANDS,56,2025-08-16,2025-08-17
OHIO,52738,2025-08-16,2025-08-17
OKLAHOMA,16835,2025-08-16,2025-08-17
OREGON,6702,2025-08-16,2025-08-17
PENNSYLVANIA,50561,2025-08-16,2025-08-17
RHODE ISLAND,2512,2025-08-16,2025-08-17
SOUTH CAROLINA,12534,2025-08-16,2025-08-17
SOUTH DAKOTA,2768,2025-08-16,2025-08-17
TENNESSEE,29158,2025-08-16,2025-08-17
TEXAS,100831,2025-08-16,2025-08-17
UTAH,2760,2025-08-16,2025-08-17
VERMONT,1659,2025-08-16,2025-08-17
VIRGIN ISLANDS,79,2025-08-16,2025-08-17
VIRGINIA,26261,2025-08-16,2025-08-17
WASHINGTON,10530,2025-08-16,2025-08-17
WEST VIRGINIA-PN,7171,2025-08-16,2025-08-17
WEST VIRGINIA-RN (Non-Participating),NA,2025-08-16,2025-08-17
WISCONSIN,10432,2025-08-16,2025-08-17
WYOMING,811,2025-08-16,2025-08-17
TOTALS,970310,2025-08-16,2025-08-17
