state,counts_all,updated_date,scrape_date
ALABAMA,116426,2022-12-02,2022-12-03
ALASKA,21946,2022-12-02,2022-12-03
AMERICAN SAMOA,299,2022-12-02,2022-12-03
ARIZONA,118325,2022-12-02,2022-12-03
ARKANSAS,59546,2022-12-02,2022-12-03
CALIFORNIA,600252,2022-12-02,2022-12-03
COLORADO,95491,2022-12-02,2022-12-03
CONNECTICUT,102344,2022-12-02,2022-12-03
DELAWARE,23963,2022-12-02,2022-12-03
DISTRICT OF COLUMBIA,38185,2022-12-02,2022-12-03
FLORIDA,425555,2022-12-02,2022-12-03
GEORGIA,170725,2022-12-02,2022-12-03
GUAM,1512,2022-12-02,2022-12-03
HAWAII,34854,2022-12-02,2022-12-03
IDAHO,31707,2022-12-02,2022-12-03
ILLINOIS,239087,2022-12-02,2022-12-03
INDIANA,148301,2022-12-02,2022-12-03
IOWA,67049,2022-12-02,2022-12-03
KANSAS,62515,2022-12-02,2022-12-03
KENTUCKY,86028,2022-12-02,2022-12-03
LOUISIANA,87363,2022-12-02,2022-12-03
MAINE,30654,2022-12-02,2022-12-03
MARYLAND,98909,2022-12-02,2022-12-03
MASSACHUSETTS,189252,2022-12-02,2022-12-03
MICHIGAN (Non-Participating),NA,2022-12-02,2022-12-03
MINNESOTA,146990,2022-12-02,2022-12-03
MISSISSIPPI,66229,2022-12-02,2022-12-03
MISSOURI,144764,2022-12-02,2022-12-03
MONTANA,24070,2022-12-02,2022-12-03
NEBRASKA,36670,2022-12-02,2022-12-03
NEVADA,61233,2022-12-02,2022-12-03
NEW HAMPSHIRE,29756,2022-12-02,2022-12-03
NEW JERSEY,165622,2022-12-02,2022-12-03
NEW MEXICO,33754,2022-12-02,2022-12-03
NEW YORK,454729,2022-12-02,2022-12-03
NORTH CAROLINA,176725,2022-12-02,2022-12-03
NORTH DAKOTA,20731,2022-12-02,2022-12-03
NORTHERN MARIANA ISLANDS,3648,2022-12-02,2022-12-03
OHIO,288468,2022-12-02,2022-12-03
OKLAHOMA,67025,2022-12-02,2022-12-03
OREGON,87186,2022-12-02,2022-12-03
PENNSYLVANIA,292774,2022-12-02,2022-12-03
RHODE ISLAND,31796,2022-12-02,2022-12-03
SOUTH CAROLINA,90902,2022-12-02,2022-12-03
SOUTH DAKOTA,22387,2022-12-02,2022-12-03
TENNESSEE,143300,2022-12-02,2022-12-03
TEXAS,482879,2022-12-02,2022-12-03
UTAH,46643,2022-12-02,2022-12-03
VERMONT,23783,2022-12-02,2022-12-03
VIRGIN ISLANDS,1161,2022-12-02,2022-12-03
VIRGINIA,142113,2022-12-02,2022-12-03
WASHINGTON,137635,2022-12-02,2022-12-03
WEST VIRGINIA,42149,2022-12-02,2022-12-03
WISCONSIN,133550,2022-12-02,2022-12-03
WYOMING,10583,2022-12-02,2022-12-03
