state,counts_rn,updated_date,scrape_date
ALABAMA,90594,2025-12-22,2025-12-22
ALASKA,22236,2025-12-22,2025-12-22
AMERICAN SAMOA,159,2025-12-22,2025-12-22
ARIZONA,116850,2025-12-22,2025-12-22
ARKANSAS,49223,2025-12-22,2025-12-22
CALIFORNIA-RN,591143,2025-12-22,2025-12-22
CALIFORNIA-VN (Non-Participating),NA,2025-12-22,2025-12-22
COLORADO,88766,2025-12-22,2025-12-22
CONNECTICUT,81558,2025-12-22,2025-12-22
DELAWARE,19031,2025-12-22,2025-12-22
DISTRICT OF COLUMBIA,48810,2025-12-22,2025-12-22
FLORIDA,389987,2025-12-22,2025-12-22
GEORGIA,149328,2025-12-22,2025-12-22
GUAM,1155,2025-12-22,2025-12-22
HAWAII,34386,2025-12-22,2025-12-22
IDAHO,28390,2025-12-22,2025-12-22
ILLINOIS,253967,2025-12-22,2025-12-22
INDIANA,127273,2025-12-22,2025-12-22
IOWA,58454,2025-12-22,2025-12-22
KANSAS,53520,2025-12-22,2025-12-22
KENTUCKY,77450,2025-12-22,2025-12-22
LOUISIANA-PN (Non-Participating),NA,2025-12-22,2025-12-22
LOUISIANA-RN,68283,2025-12-22,2025-12-22
MAINE,28699,2025-12-22,2025-12-22
MARYLAND,90938,2025-12-22,2025-12-22
MASSACHUSETTS,169774,2025-12-22,2025-12-22
MICHIGAN,180766,2025-12-22,2025-12-22
MINNESOTA,139495,2025-12-22,2025-12-22
MISSISSIPPI,54084,2025-12-22,2025-12-22
MISSOURI,118589,2025-12-22,2025-12-22
MONTANA,27048,2025-12-22,2025-12-22
NEBRASKA,32968,2025-12-22,2025-12-22
NEVADA,62906,2025-12-22,2025-12-22
NEW HAMPSHIRE,27726,2025-12-22,2025-12-22
NEW JERSEY,152363,2025-12-22,2025-12-22
NEW MEXICO,34725,2025-12-22,2025-12-22
NEW YORK,529713,2025-12-22,2025-12-22
NORTH CAROLINA,165282,2025-12-22,2025-12-22
NORTH DAKOTA,17933,2025-12-22,2025-12-22
NORTHERN MARIANA ISLANDS,3892,2025-12-22,2025-12-22
OHIO,226497,2025-12-22,2025-12-22
OKLAHOMA,56147,2025-12-22,2025-12-22
OREGON,91114,2025-12-22,2025-12-22
PENNSYLVANIA,235870,2025-12-22,2025-12-22
RHODE ISLAND,21814,2025-12-22,2025-12-22
SOUTH CAROLINA,89989,2025-12-22,2025-12-22
SOUTH DAKOTA,20307,2025-12-22,2025-12-22
TENNESSEE,117886,2025-12-22,2025-12-22
TEXAS,428258,2025-12-22,2025-12-22
UTAH,46585,2025-12-22,2025-12-22
VERMONT,11718,2025-12-22,2025-12-22
VIRGIN ISLANDS,1130,2025-12-22,2025-12-22
VIRGINIA,123425,2025-12-22,2025-12-22
WASHINGTON,106877,2025-12-22,2025-12-22
WEST VIRGINIA-PN (Non-Participating),NA,2025-12-22,2025-12-22
WEST VIRGINIA-RN,35919,2025-12-22,2025-12-22
WISCONSIN,121600,2025-12-22,2025-12-22
WYOMING,8761,2025-12-22,2025-12-22
TOTALS,5931361,2025-12-22,2025-12-22
