state,counts_all,updated_date,scrape_date
ALABAMA,109857,2026-08-15,2026-08-18
ALASKA,25762,2026-08-15,2026-08-18
AMERICAN SAMOA,247,2026-08-15,2026-08-18
ARIZONA,126945,2026-08-15,2026-08-18
ARKANSAS,64028,2026-08-15,2026-08-18
CALIFORNIA,739314,2026-08-15,2026-08-18
COLORADO,101387,2026-08-15,2026-08-18
CONNECTICUT,89381,2026-08-15,2026-08-18
DELAWARE,23131,2026-08-15,2026-08-18
DISTRICT OF COLUMBIA,48062,2026-08-15,2026-08-18
FLORIDA,458209,2026-08-15,2026-08-18
GEORGIA,180229,2026-08-15,2026-08-18
GUAM,1480,2026-08-15,2026-08-18
HAWAII,40273,2026-08-15,2026-08-18
IDAHO,33808,2026-08-15,2026-08-18
ILLINOIS,292614,2026-08-15,2026-08-18
INDIANA,156498,2026-08-15,2026-08-18
IOWA,68770,2026-08-15,2026-08-18
KANSAS,63497,2026-08-15,2026-08-18
KENTUCKY,94273,2026-08-15,2026-08-18
LOUISIANA,91083,2026-08-15,2026-08-18
MAINE,30526,2026-08-15,2026-08-18
MARYLAND,102602,2026-08-15,2026-08-18
MASSACHUSETTS,182309,2026-08-15,2026-08-18
MICHIGAN,212942,2026-08-15,2026-08-18
MINNESOTA,158404,2026-08-15,2026-08-18
MISSISSIPPI,70220,2026-08-15,2026-08-18
MISSOURI,143850,2026-08-15,2026-08-18
MONTANA,29449,2026-08-15,2026-08-18
NEBRASKA,39488,2026-08-15,2026-08-18
NEVADA,70012,2026-08-15,2026-08-18
NEW HAMPSHIRE,31202,2026-08-15,2026-08-18
NEW JERSEY,174460,2026-08-15,2026-08-18
NEW MEXICO,38385,2026-08-15,2026-08-18
NEW YORK,641502,2026-08-15,2026-08-18
NORTH CAROLINA,192540,2026-08-15,2026-08-18
NORTH DAKOTA,20550,2026-08-15,2026-08-18
NORTHERN MARIANA ISLANDS,3681,2026-08-15,2026-08-18
OHIO,292071,2026-08-15,2026-08-18
OKLAHOMA,73982,2026-08-15,2026-08-18
OREGON,100192,2026-08-15,2026-08-18
PENNSYLVANIA,286198,2026-08-15,2026-08-18
RHODE ISLAND,24016,2026-08-15,2026-08-18
SOUTH CAROLINA,100733,2026-08-15,2026-08-18
SOUTH DAKOTA,23457,2026-08-15,2026-08-18
TENNESSEE,148870,2026-08-15,2026-08-18
TEXAS,538098,2026-08-15,2026-08-18
UTAH,51845,2026-08-15,2026-08-18
VERMONT,13876,2026-08-15,2026-08-18
VIRGIN ISLANDS,1279,2026-08-15,2026-08-18
VIRGINIA,151850,2026-08-15,2026-08-18
WASHINGTON,118170,2026-08-15,2026-08-18
WEST VIRGINIA,40045,2026-08-15,2026-08-18
WISCONSIN,127532,2026-08-15,2026-08-18
WYOMING,10158,2026-08-15,2026-08-18
