state,counts_rn,updated_date,scrape_date
ALABAMA,94104,2022-01-27,2022-01-28
ALASKA,18322,2022-01-27,2022-01-28
AMERICAN SAMOA,166,2022-01-27,2022-01-28
ARIZONA,102995,2022-01-27,2022-01-28
ARKANSAS,45133,2022-01-27,2022-01-28
CALIFORNIA-RN,467023,2022-01-27,2022-01-28
CALIFORNIA-VN (Non-Participating),NA,2022-01-27,2022-01-28
COLORADO,81446,2022-01-27,2022-01-28
CONNECTICUT,81711,2022-01-27,2022-01-28
DELAWARE,19355,2022-01-27,2022-01-28
DISTRICT OF COLUMBIA,30392,2022-01-27,2022-01-28
FLORIDA,349093,2022-01-27,2022-01-28
GEORGIA,140387,2022-01-27,2022-01-28
GUAM,1608,2022-01-27,2022-01-28
HAWAII,27076,2022-01-27,2022-01-28
IDAHO,26035,2022-01-27,2022-01-28
ILLINOIS,220346,2022-01-27,2022-01-28
INDIANA,119742,2022-01-27,2022-01-28
IOWA,58619,2022-01-27,2022-01-28
KANSAS,53571,2022-01-27,2022-01-28
KENTUCKY,72614,2022-01-27,2022-01-28
LOUISIANA-PN (Non-Participating),NA,2022-01-27,2022-01-28
LOUISIANA-RN,65394,2022-01-27,2022-01-28
MAINE,27986,2022-01-27,2022-01-28
MARYLAND,86772,2022-01-27,2022-01-28
MASSACHUSETTS,154396,2022-01-27,2022-01-28
MICHIGAN (Non-Participating),NA,2022-01-27,2022-01-28
MINNESOTA,120090,2022-01-27,2022-01-28
MISSISSIPPI,50750,2022-01-27,2022-01-28
MISSOURI,116701,2022-01-27,2022-01-28
MONTANA,20428,2022-01-27,2022-01-28
NEBRASKA,31436,2022-01-27,2022-01-28
NEVADA,52047,2022-01-27,2022-01-28
NEW HAMPSHIRE,25753,2022-01-27,2022-01-28
NEW JERSEY,140313,2022-01-27,2022-01-28
NEW MEXICO,30190,2022-01-27,2022-01-28
NEW YORK,357153,2022-01-27,2022-01-28
NORTH CAROLINA,149179,2022-01-27,2022-01-28
NORTH DAKOTA,15898,2022-01-27,2022-01-28
NORTHERN MARIANA ISLANDS,3153,2022-01-27,2022-01-28
OHIO,222059,2022-01-27,2022-01-28
OKLAHOMA,52208,2022-01-27,2022-01-28
OREGON,73722,2022-01-27,2022-01-28
PENNSYLVANIA,233181,2022-01-27,2022-01-28
RHODE ISLAND,27572,2022-01-27,2022-01-28
SOUTH CAROLINA,77736,2022-01-27,2022-01-28
SOUTH DAKOTA,19276,2022-01-27,2022-01-28
TENNESSEE,110315,2022-01-27,2022-01-28
TEXAS,366080,2022-01-27,2022-01-28
UTAH,40395,2022-01-27,2022-01-28
VERMONT,20397,2022-01-27,2022-01-28
VIRGIN ISLANDS,1313,2022-01-27,2022-01-28
VIRGINIA,112431,2022-01-27,2022-01-28
WASHINGTON,117870,2022-01-27,2022-01-28
WEST VIRGINIA-PN (Non-Participating),NA,2022-01-27,2022-01-28
WEST VIRGINIA-RN,33443,2022-01-27,2022-01-28
WISCONSIN,111752,2022-01-27,2022-01-28
WYOMING,8950,2022-01-27,2022-01-28
TOTALS,5086077,2022-01-27,2022-01-28
