state,counts_rn,updated_date,scrape_date
ALABAMA,88718,2025-05-24,2025-05-25
ALASKA,20160,2025-05-24,2025-05-25
AMERICAN SAMOA,110,2025-05-24,2025-05-25
ARIZONA,116947,2025-05-24,2025-05-25
ARKANSAS,48470,2025-05-24,2025-05-25
CALIFORNIA-RN,566149,2025-05-24,2025-05-25
CALIFORNIA-VN (Non-Participating),NA,2025-05-24,2025-05-25
COLORADO,90183,2025-05-24,2025-05-25
CONNECTICUT,81533,2025-05-24,2025-05-25
DELAWARE,22029,2025-05-24,2025-05-25
DISTRICT OF COLUMBIA,44893,2025-05-24,2025-05-25
FLORIDA,376191,2025-05-24,2025-05-25
GEORGIA,144288,2025-05-24,2025-05-25
GUAM,1280,2025-05-24,2025-05-25
HAWAII,40782,2025-05-24,2025-05-25
IDAHO,30838,2025-05-24,2025-05-25
ILLINOIS,241279,2025-05-24,2025-05-25
INDIANA,134601,2025-05-24,2025-05-25
IOWA,58074,2025-05-24,2025-05-25
KANSAS,53107,2025-05-24,2025-05-25
KENTUCKY,78143,2025-05-24,2025-05-25
LOUISIANA-PN (Non-Participating),NA,2025-05-24,2025-05-25
LOUISIANA-RN,66822,2025-05-24,2025-05-25
MAINE,28807,2025-05-24,2025-05-25
MARYLAND,90159,2025-05-24,2025-05-25
MASSACHUSETTS,162320,2025-05-24,2025-05-25
MICHIGAN,177535,2025-05-24,2025-05-25
MINNESOTA,136096,2025-05-24,2025-05-25
MISSISSIPPI,52223,2025-05-24,2025-05-25
MISSOURI,115701,2025-05-24,2025-05-25
MONTANA,25119,2025-05-24,2025-05-25
NEBRASKA,31675,2025-05-24,2025-05-25
NEVADA,61317,2025-05-24,2025-05-25
NEW HAMPSHIRE,27448,2025-05-24,2025-05-25
NEW JERSEY,152099,2025-05-24,2025-05-25
NEW MEXICO,34280,2025-05-24,2025-05-25
NEW YORK,504453,2025-05-24,2025-05-25
NORTH CAROLINA,162865,2025-05-24,2025-05-25
NORTH DAKOTA,17215,2025-05-24,2025-05-25
NORTHERN MARIANA ISLANDS,4350,2025-05-24,2025-05-25
OHIO,237436,2025-05-24,2025-05-25
OKLAHOMA,53968,2025-05-24,2025-05-25
OREGON,89417,2025-05-24,2025-05-25
PENNSYLVANIA,234945,2025-05-24,2025-05-25
RHODE ISLAND,20751,2025-05-24,2025-05-25
SOUTH CAROLINA,86545,2025-05-24,2025-05-25
SOUTH DAKOTA,20067,2025-05-24,2025-05-25
TENNESSEE,116714,2025-05-24,2025-05-25
TEXAS,421324,2025-05-24,2025-05-25
UTAH,44319,2025-05-24,2025-05-25
VERMONT,10912,2025-05-24,2025-05-25
VIRGIN ISLANDS,1276,2025-05-24,2025-05-25
VIRGINIA,121779,2025-05-24,2025-05-25
WASHINGTON,106474,2025-05-24,2025-05-25
WEST VIRGINIA-PN (Non-Participating),NA,2025-05-24,2025-05-25
WEST VIRGINIA-RN,34674,2025-05-24,2025-05-25
WISCONSIN,117528,2025-05-24,2025-05-25
WYOMING,8430,2025-05-24,2025-05-25
TOTALS,5814818,2025-05-24,2025-05-25
