state,counts_rn,updated_date,scrape_date
ALABAMA,92983,2026-07-10,2026-07-12
ALASKA,24475,2026-07-10,2026-07-12
AMERICAN SAMOA,178,2026-07-10,2026-07-12
ARIZONA,121423,2026-07-10,2026-07-12
ARKANSAS,50035,2026-07-10,2026-07-12
CALIFORNIA-RN,615533,2026-07-10,2026-07-12
CALIFORNIA-VN (Non-Participating),NA,2026-07-10,2026-07-12
COLORADO,92095,2026-07-10,2026-07-12
CONNECTICUT,77355,2026-07-10,2026-07-12
DELAWARE,19762,2026-07-10,2026-07-12
DISTRICT OF COLUMBIA,44882,2026-07-10,2026-07-12
FLORIDA,395147,2026-07-10,2026-07-12
GEORGIA,147627,2026-07-10,2026-07-12
GUAM,1263,2026-07-10,2026-07-12
HAWAII,37359,2026-07-10,2026-07-12
IDAHO,30061,2026-07-10,2026-07-12
ILLINOIS,262204,2026-07-10,2026-07-12
INDIANA,133389,2026-07-10,2026-07-12
IOWA,59248,2026-07-10,2026-07-12
KANSAS,54144,2026-07-10,2026-07-12
KENTUCKY,81008,2026-07-10,2026-07-12
LOUISIANA-PN (Non-Participating),NA,2026-07-10,2026-07-12
LOUISIANA-RN,68790,2026-07-10,2026-07-12
MAINE,28971,2026-07-10,2026-07-12
MARYLAND,91242,2026-07-10,2026-07-12
MASSACHUSETTS,161824,2026-07-10,2026-07-12
MICHIGAN,191327,2026-07-10,2026-07-12
MINNESOTA,141055,2026-07-10,2026-07-12
MISSISSIPPI,56251,2026-07-10,2026-07-12
MISSOURI,122176,2026-07-10,2026-07-12
MONTANA,26966,2026-07-10,2026-07-12
NEBRASKA,34206,2026-07-10,2026-07-12
NEVADA,64897,2026-07-10,2026-07-12
NEW HAMPSHIRE,27983,2026-07-10,2026-07-12
NEW JERSEY,148983,2026-07-10,2026-07-12
NEW MEXICO,35577,2026-07-10,2026-07-12
NEW YORK,555399,2026-07-10,2026-07-12
NORTH CAROLINA,169226,2026-07-10,2026-07-12
NORTH DAKOTA,17775,2026-07-10,2026-07-12
NORTHERN MARIANA ISLANDS,3646,2026-07-10,2026-07-12
OHIO,234179,2026-07-10,2026-07-12
OKLAHOMA,56648,2026-07-10,2026-07-12
OREGON,92952,2026-07-10,2026-07-12
PENNSYLVANIA,237957,2026-07-10,2026-07-12
RHODE ISLAND,21181,2026-07-10,2026-07-12
SOUTH CAROLINA,87818,2026-07-10,2026-07-12
SOUTH DAKOTA,20622,2026-07-10,2026-07-12
TENNESSEE,119429,2026-07-10,2026-07-12
TEXAS,435917,2026-07-10,2026-07-12
UTAH,48808,2026-07-10,2026-07-12
VERMONT,12396,2026-07-10,2026-07-12
VIRGIN ISLANDS,1189,2026-07-10,2026-07-12
VIRGINIA,125100,2026-07-10,2026-07-12
WASHINGTON,107413,2026-07-10,2026-07-12
WEST VIRGINIA-PN (Non-Participating),NA,2026-07-10,2026-07-12
WEST VIRGINIA-RN,32763,2026-07-10,2026-07-12
WISCONSIN,114714,2026-07-10,2026-07-12
WYOMING,9150,2026-07-10,2026-07-12
TOTALS,6044701,2026-07-10,2026-07-12
