state,counts_lpn,updated_date,scrape_date
ALABAMA,17234,2022-07-28,2022-07-28
ALASKA,817,2022-07-28,2022-07-28
AMERICAN SAMOA,132,2022-07-28,2022-07-28
ARIZONA,11305,2022-07-28,2022-07-28
ARKANSAS,14208,2022-07-28,2022-07-28
CALIFORNIA-RN (Non-Participating),NA,2022-07-28,2022-07-28
CALIFORNIA-VN,107250,2022-07-28,2022-07-28
COLORADO,8328,2022-07-28,2022-07-28
CONNECTICUT,14213,2022-07-28,2022-07-28
DELAWARE,2810,2022-07-28,2022-07-28
DISTRICT OF COLUMBIA,2229,2022-07-28,2022-07-28
FLORIDA,64329,2022-07-28,2022-07-28
GEORGIA,29879,2022-07-28,2022-07-28
GUAM,218,2022-07-28,2022-07-28
HAWAII,1868,2022-07-28,2022-07-28
IDAHO,3622,2022-07-28,2022-07-28
ILLINOIS,26254,2022-07-28,2022-07-28
INDIANA,23469,2022-07-28,2022-07-28
IOWA,10063,2022-07-28,2022-07-28
KANSAS,9671,2022-07-28,2022-07-28
KENTUCKY,13317,2022-07-28,2022-07-28
LOUISIANA-PN,21445,2022-07-28,2022-07-28
LOUISIANA-RN (Non-Participating),NA,2022-07-28,2022-07-28
MAINE,1873,2022-07-28,2022-07-28
MARYLAND,11241,2022-07-28,2022-07-28
MASSACHUSETTS,20481,2022-07-28,2022-07-28
MICHIGAN (Non-Participating),NA,2022-07-28,2022-07-28
MINNESOTA,19251,2022-07-28,2022-07-28
MISSISSIPPI,13141,2022-07-28,2022-07-28
MISSOURI,22185,2022-07-28,2022-07-28
MONTANA,2368,2022-07-28,2022-07-28
NEBRASKA,5492,2022-07-28,2022-07-28
NEVADA,4580,2022-07-28,2022-07-28
NEW HAMPSHIRE,3107,2022-07-28,2022-07-28
NEW JERSEY,22994,2022-07-28,2022-07-28
NEW MEXICO,2451,2022-07-28,2022-07-28
NEW YORK,69389,2022-07-28,2022-07-28
NORTH CAROLINA,22714,2022-07-28,2022-07-28
NORTH DAKOTA,3196,2022-07-28,2022-07-28
NORTHERN MARIANA ISLANDS,56,2022-07-28,2022-07-28
OHIO,55538,2022-07-28,2022-07-28
OKLAHOMA,16223,2022-07-28,2022-07-28
OREGON,6111,2022-07-28,2022-07-28
PENNSYLVANIA,46605,2022-07-28,2022-07-28
RHODE ISLAND,2593,2022-07-28,2022-07-28
SOUTH CAROLINA,11820,2022-07-28,2022-07-28
SOUTH DAKOTA,2699,2022-07-28,2022-07-28
TENNESSEE,29942,2022-07-28,2022-07-28
TEXAS,104497,2022-07-28,2022-07-28
UTAH,2575,2022-07-28,2022-07-28
VERMONT,1789,2022-07-28,2022-07-28
VIRGIN ISLANDS,108,2022-07-28,2022-07-28
VIRGINIA,26825,2022-07-28,2022-07-28
WASHINGTON,11028,2022-07-28,2022-07-28
WEST VIRGINIA-PN,7534,2022-07-28,2022-07-28
WEST VIRGINIA-RN (Non-Participating),NA,2022-07-28,2022-07-28
WISCONSIN,15709,2022-07-28,2022-07-28
WYOMING,981,2022-07-28,2022-07-28
TOTALS,949757,2022-07-28,2022-07-28
