state,counts_all,updated_date,scrape_date
ALABAMA,114351,2022-08-05,2022-08-05
ALASKA,21093,2022-08-05,2022-08-05
AMERICAN SAMOA,299,2022-08-05,2022-08-05
ARIZONA,119559,2022-08-05,2022-08-05
ARKANSAS,59912,2022-08-05,2022-08-05
CALIFORNIA,589370,2022-08-05,2022-08-05
COLORADO,94189,2022-08-05,2022-08-05
CONNECTICUT,100981,2022-08-05,2022-08-05
DELAWARE,23325,2022-08-05,2022-08-05
DISTRICT OF COLUMBIA,35426,2022-08-05,2022-08-05
FLORIDA,423900,2022-08-05,2022-08-05
GEORGIA,167860,2022-08-05,2022-08-05
GUAM,1642,2022-08-05,2022-08-05
HAWAII,32690,2022-08-05,2022-08-05
IDAHO,31418,2022-08-05,2022-08-05
ILLINOIS,254464,2022-08-05,2022-08-05
INDIANA,149178,2022-08-05,2022-08-05
IOWA,69860,2022-08-05,2022-08-05
KANSAS,63241,2022-08-05,2022-08-05
KENTUCKY,89324,2022-08-05,2022-08-05
LOUISIANA,86587,2022-08-05,2022-08-05
MAINE,30607,2022-08-05,2022-08-05
MARYLAND,98846,2022-08-05,2022-08-05
MASSACHUSETTS,183597,2022-08-05,2022-08-05
MICHIGAN (Non-Participating),NA,2022-08-05,2022-08-05
MINNESOTA,143371,2022-08-05,2022-08-05
MISSISSIPPI,65533,2022-08-05,2022-08-05
MISSOURI,142915,2022-08-05,2022-08-05
MONTANA,23290,2022-08-05,2022-08-05
NEBRASKA,38134,2022-08-05,2022-08-05
NEVADA,60240,2022-08-05,2022-08-05
NEW HAMPSHIRE,29499,2022-08-05,2022-08-05
NEW JERSEY,161087,2022-08-05,2022-08-05
NEW MEXICO,33407,2022-08-05,2022-08-05
NEW YORK,440060,2022-08-05,2022-08-05
NORTH CAROLINA,175843,2022-08-05,2022-08-05
NORTH DAKOTA,20211,2022-08-05,2022-08-05
NORTHERN MARIANA ISLANDS,3811,2022-08-05,2022-08-05
OHIO,289567,2022-08-05,2022-08-05
OKLAHOMA,67553,2022-08-05,2022-08-05
OREGON,85027,2022-08-05,2022-08-05
PENNSYLVANIA,284598,2022-08-05,2022-08-05
RHODE ISLAND,30338,2022-08-05,2022-08-05
SOUTH CAROLINA,88657,2022-08-05,2022-08-05
SOUTH DAKOTA,22367,2022-08-05,2022-08-05
TENNESSEE,142690,2022-08-05,2022-08-05
TEXAS,479981,2022-08-05,2022-08-05
UTAH,45478,2022-08-05,2022-08-05
VERMONT,23481,2022-08-05,2022-08-05
VIRGIN ISLANDS,1701,2022-08-05,2022-08-05
VIRGINIA,141353,2022-08-05,2022-08-05
WASHINGTON,135950,2022-08-05,2022-08-05
WEST VIRGINIA,42732,2022-08-05,2022-08-05
WISCONSIN,131460,2022-08-05,2022-08-05
WYOMING,10399,2022-08-05,2022-08-05
