state,counts_lpn,updated_date,scrape_date
ALABAMA,15415,2024-12-16,2024-12-16
ALASKA,676,2024-12-16,2024-12-16
AMERICAN SAMOA,5,2024-12-16,2024-12-16
ARIZONA,10907,2024-12-16,2024-12-16
ARKANSAS,13769,2024-12-16,2024-12-16
CALIFORNIA-RN (Non-Participating),NA,2024-12-16,2024-12-16
CALIFORNIA-VN,112974,2024-12-16,2024-12-16
COLORADO,7280,2024-12-16,2024-12-16
CONNECTICUT,12696,2024-12-16,2024-12-16
DELAWARE,3034,2024-12-16,2024-12-16
DISTRICT OF COLUMBIA,2788,2024-12-16,2024-12-16
FLORIDA,64770,2024-12-16,2024-12-16
GEORGIA,30151,2024-12-16,2024-12-16
GUAM,190,2024-12-16,2024-12-16
HAWAII,2148,2024-12-16,2024-12-16
IDAHO,3153,2024-12-16,2024-12-16
ILLINOIS,27074,2024-12-16,2024-12-16
INDIANA,19675,2024-12-16,2024-12-16
IOWA,8839,2024-12-16,2024-12-16
KANSAS,9144,2024-12-16,2024-12-16
KENTUCKY,12233,2024-12-16,2024-12-16
LOUISIANA-PN,21997,2024-12-16,2024-12-16
LOUISIANA-RN (Non-Participating),NA,2024-12-16,2024-12-16
MAINE,1655,2024-12-16,2024-12-16
MARYLAND,11127,2024-12-16,2024-12-16
MASSACHUSETTS,20037,2024-12-16,2024-12-16
MICHIGAN,20703,2024-12-16,2024-12-16
MINNESOTA,17615,2024-12-16,2024-12-16
MISSISSIPPI,14024,2024-12-16,2024-12-16
MISSOURI,22461,2024-12-16,2024-12-16
MONTANA,2231,2024-12-16,2024-12-16
NEBRASKA,5315,2024-12-16,2024-12-16
NEVADA,4749,2024-12-16,2024-12-16
NEW HAMPSHIRE,3113,2024-12-16,2024-12-16
NEW JERSEY,23992,2024-12-16,2024-12-16
NEW MEXICO,2405,2024-12-16,2024-12-16
NEW YORK,76063,2024-12-16,2024-12-16
NORTH CAROLINA,22961,2024-12-16,2024-12-16
NORTH DAKOTA,3030,2024-12-16,2024-12-16
NORTHERN MARIANA ISLANDS,56,2024-12-16,2024-12-16
OHIO,49760,2024-12-16,2024-12-16
OKLAHOMA,17150,2024-12-16,2024-12-16
OREGON,6543,2024-12-16,2024-12-16
PENNSYLVANIA,48725,2024-12-16,2024-12-16
RHODE ISLAND,2714,2024-12-16,2024-12-16
SOUTH CAROLINA,12173,2024-12-16,2024-12-16
SOUTH DAKOTA,2750,2024-12-16,2024-12-16
TENNESSEE,29395,2024-12-16,2024-12-16
TEXAS,101479,2024-12-16,2024-12-16
UTAH,2614,2024-12-16,2024-12-16
VERMONT,1535,2024-12-16,2024-12-16
VIRGIN ISLANDS,79,2024-12-16,2024-12-16
VIRGINIA,26274,2024-12-16,2024-12-16
WASHINGTON,10377,2024-12-16,2024-12-16
WEST VIRGINIA-PN,7465,2024-12-16,2024-12-16
WEST VIRGINIA-RN (Non-Participating),NA,2024-12-16,2024-12-16
WISCONSIN,11990,2024-12-16,2024-12-16
WYOMING,1023,2024-12-16,2024-12-16
TOTALS,962501,2024-12-16,2024-12-16
