state,counts_lpn,updated_date,scrape_date
ALABAMA,16747,2025-10-11,2025-10-11
ALASKA,819,2025-10-11,2025-10-11
AMERICAN SAMOA,69,2025-10-11,2025-10-11
ARIZONA,10783,2025-10-11,2025-10-11
ARKANSAS,13796,2025-10-11,2025-10-11
CALIFORNIA-RN (Non-Participating),NA,2025-10-11,2025-10-11
CALIFORNIA-VN,115448,2025-10-11,2025-10-11
COLORADO,7801,2025-10-11,2025-10-11
CONNECTICUT,12855,2025-10-11,2025-10-11
DELAWARE,3326,2025-10-11,2025-10-11
DISTRICT OF COLUMBIA,2986,2025-10-11,2025-10-11
FLORIDA,58323,2025-10-11,2025-10-11
GEORGIA,27932,2025-10-11,2025-10-11
GUAM,174,2025-10-11,2025-10-11
HAWAII,1781,2025-10-11,2025-10-11
IDAHO,3361,2025-10-11,2025-10-11
ILLINOIS,24892,2025-10-11,2025-10-11
INDIANA,21141,2025-10-11,2025-10-11
IOWA,8966,2025-10-11,2025-10-11
KANSAS,9146,2025-10-11,2025-10-11
KENTUCKY,13033,2025-10-11,2025-10-11
LOUISIANA-PN,22046,2025-10-11,2025-10-11
LOUISIANA-RN (Non-Participating),NA,2025-10-11,2025-10-11
MAINE,1593,2025-10-11,2025-10-11
MARYLAND,11361,2025-10-11,2025-10-11
MASSACHUSETTS,21232,2025-10-11,2025-10-11
MICHIGAN,20753,2025-10-11,2025-10-11
MINNESOTA,17429,2025-10-11,2025-10-11
MISSISSIPPI,14893,2025-10-11,2025-10-11
MISSOURI,23664,2025-10-11,2025-10-11
MONTANA,2192,2025-10-11,2025-10-11
NEBRASKA,5668,2025-10-11,2025-10-11
NEVADA,4773,2025-10-11,2025-10-11
NEW HAMPSHIRE,3166,2025-10-11,2025-10-11
NEW JERSEY,23829,2025-10-11,2025-10-11
NEW MEXICO,2468,2025-10-11,2025-10-11
NEW YORK,78426,2025-10-11,2025-10-11
NORTH CAROLINA,23100,2025-10-11,2025-10-11
NORTH DAKOTA,2844,2025-10-11,2025-10-11
NORTHERN MARIANA ISLANDS,55,2025-10-11,2025-10-11
OHIO,53348,2025-10-11,2025-10-11
OKLAHOMA,16527,2025-10-11,2025-10-11
OREGON,6736,2025-10-11,2025-10-11
PENNSYLVANIA,51043,2025-10-11,2025-10-11
RHODE ISLAND,2585,2025-10-11,2025-10-11
SOUTH CAROLINA,12707,2025-10-11,2025-10-11
SOUTH DAKOTA,2835,2025-10-11,2025-10-11
TENNESSEE,29159,2025-10-11,2025-10-11
TEXAS,100910,2025-10-11,2025-10-11
UTAH,2760,2025-10-11,2025-10-11
VERMONT,1763,2025-10-11,2025-10-11
VIRGIN ISLANDS,79,2025-10-11,2025-10-11
VIRGINIA,26248,2025-10-11,2025-10-11
WASHINGTON,10683,2025-10-11,2025-10-11
WEST VIRGINIA-PN,7366,2025-10-11,2025-10-11
WEST VIRGINIA-RN (Non-Participating),NA,2025-10-11,2025-10-11
WISCONSIN,10655,2025-10-11,2025-10-11
WYOMING,822,2025-10-11,2025-10-11
TOTALS,969097,2025-10-11,2025-10-11
