state,counts_rn,updated_date,scrape_date
ALABAMA,94815,2022-04-08,2022-04-09
ALASKA,18844,2022-04-08,2022-04-09
AMERICAN SAMOA,166,2022-04-08,2022-04-09
ARIZONA,105296,2022-04-08,2022-04-09
ARKANSAS,45000,2022-04-08,2022-04-09
CALIFORNIA-RN,471420,2022-04-08,2022-04-09
CALIFORNIA-VN (Non-Participating),NA,2022-04-08,2022-04-09
COLORADO,83054,2022-04-08,2022-04-09
CONNECTICUT,83766,2022-04-08,2022-04-09
DELAWARE,19772,2022-04-08,2022-04-09
DISTRICT OF COLUMBIA,31079,2022-04-08,2022-04-09
FLORIDA,354301,2022-04-08,2022-04-09
GEORGIA,136338,2022-04-08,2022-04-09
GUAM,1639,2022-04-08,2022-04-09
HAWAII,28610,2022-04-08,2022-04-09
IDAHO,26632,2022-04-08,2022-04-09
ILLINOIS,223931,2022-04-08,2022-04-09
INDIANA,122209,2022-04-08,2022-04-09
IOWA,58924,2022-04-08,2022-04-09
KANSAS,53318,2022-04-08,2022-04-09
KENTUCKY,73638,2022-04-08,2022-04-09
LOUISIANA-PN (Non-Participating),NA,2022-04-08,2022-04-09
LOUISIANA-RN,63660,2022-04-08,2022-04-09
MAINE,28179,2022-04-08,2022-04-09
MARYLAND,86747,2022-04-08,2022-04-09
MASSACHUSETTS,157413,2022-04-08,2022-04-09
MICHIGAN (Non-Participating),NA,2022-04-08,2022-04-09
MINNESOTA,120605,2022-04-08,2022-04-09
MISSISSIPPI,51222,2022-04-08,2022-04-09
MISSOURI,117963,2022-04-08,2022-04-09
MONTANA,19986,2022-04-08,2022-04-09
NEBRASKA,31718,2022-04-08,2022-04-09
NEVADA,53706,2022-04-08,2022-04-09
NEW HAMPSHIRE,25909,2022-04-08,2022-04-09
NEW JERSEY,142172,2022-04-08,2022-04-09
NEW MEXICO,30493,2022-04-08,2022-04-09
NEW YORK,362546,2022-04-08,2022-04-09
NORTH CAROLINA,149884,2022-04-08,2022-04-09
NORTH DAKOTA,16261,2022-04-08,2022-04-09
NORTHERN MARIANA ISLANDS,3378,2022-04-08,2022-04-09
OHIO,226221,2022-04-08,2022-04-09
OKLAHOMA,51470,2022-04-08,2022-04-09
OREGON,74734,2022-04-08,2022-04-09
PENNSYLVANIA,237009,2022-04-08,2022-04-09
RHODE ISLAND,26060,2022-04-08,2022-04-09
SOUTH CAROLINA,78905,2022-04-08,2022-04-09
SOUTH DAKOTA,19391,2022-04-08,2022-04-09
TENNESSEE,110733,2022-04-08,2022-04-09
TEXAS,369254,2022-04-08,2022-04-09
UTAH,41420,2022-04-08,2022-04-09
VERMONT,20904,2022-04-08,2022-04-09
VIRGIN ISLANDS,1341,2022-04-08,2022-04-09
VIRGINIA,113133,2022-04-08,2022-04-09
WASHINGTON,120100,2022-04-08,2022-04-09
WEST VIRGINIA-PN (Non-Participating),NA,2022-04-08,2022-04-09
WEST VIRGINIA-RN,33972,2022-04-08,2022-04-09
WISCONSIN,113377,2022-04-08,2022-04-09
WYOMING,9091,2022-04-08,2022-04-09
TOTALS,5141709,2022-04-08,2022-04-09
