state,counts_all,updated_date,scrape_date
ALABAMA,109761,2021-09-21,2021-09-22
ALASKA,17503,2021-09-21,2021-09-22
AMERICAN SAMOA,297,2021-09-21,2021-09-22
ARIZONA,111094,2021-09-21,2021-09-22
ARKANSAS,59078,2021-09-21,2021-09-22
CALIFORNIA,566634,2021-09-21,2021-09-22
COLORADO,91533,2021-09-21,2021-09-22
CONNECTICUT,92957,2021-09-21,2021-09-22
DELAWARE,24476,2021-09-21,2021-09-22
DISTRICT OF COLUMBIA,31134,2021-09-21,2021-09-22
FLORIDA,399773,2021-09-21,2021-09-22
GEORGIA,166988,2021-09-21,2021-09-22
GUAM,1707,2021-09-21,2021-09-22
HAWAII,26445,2021-09-21,2021-09-22
IDAHO,28009,2021-09-21,2021-09-22
ILLINOIS,240743,2021-09-21,2021-09-22
INDIANA,155275,2021-09-21,2021-09-22
IOWA,73700,2021-09-21,2021-09-22
KANSAS,63948,2021-09-21,2021-09-22
KENTUCKY,89624,2021-09-21,2021-09-22
LOUISIANA,86915,2021-09-21,2021-09-22
MAINE,29683,2021-09-21,2021-09-22
MARYLAND,98210,2021-09-21,2021-09-22
MASSACHUSETTS,170535,2021-09-21,2021-09-22
MICHIGAN (Non-Participating),NA,2021-09-21,2021-09-22
MINNESOTA,139137,2021-09-21,2021-09-22
MISSISSIPPI,64038,2021-09-21,2021-09-22
MISSOURI,139579,2021-09-21,2021-09-22
MONTANA,21759,2021-09-21,2021-09-22
NEBRASKA,39986,2021-09-21,2021-09-22
NEVADA,55054,2021-09-21,2021-09-22
NEW HAMPSHIRE,28310,2021-09-21,2021-09-22
NEW JERSEY,160771,2021-09-21,2021-09-22
NEW MEXICO,32359,2021-09-21,2021-09-22
NEW YORK,485908,2021-09-21,2021-09-22
NORTH CAROLINA,171124,2021-09-21,2021-09-22
NORTH DAKOTA,19850,2021-09-21,2021-09-22
NORTHERN MARIANA ISLANDS,3342,2021-09-21,2021-09-22
OHIO,283889,2021-09-21,2021-09-22
OKLAHOMA,67672,2021-09-21,2021-09-22
OREGON,77365,2021-09-21,2021-09-22
PENNSYLVANIA,287799,2021-09-21,2021-09-22
RHODE ISLAND,28704,2021-09-21,2021-09-22
SOUTH CAROLINA,88072,2021-09-21,2021-09-22
SOUTH DAKOTA,21900,2021-09-21,2021-09-22
TENNESSEE,140061,2021-09-21,2021-09-22
TEXAS,468143,2021-09-21,2021-09-22
UTAH,41920,2021-09-21,2021-09-22
VERMONT,21726,2021-09-21,2021-09-22
VIRGIN ISLANDS,1364,2021-09-21,2021-09-22
VIRGINIA,139242,2021-09-21,2021-09-22
WASHINGTON,125982,2021-09-21,2021-09-22
WEST VIRGINIA,42009,2021-09-21,2021-09-22
WISCONSIN,124786,2021-09-21,2021-09-22
WYOMING,9513,2021-09-21,2021-09-22
