state,counts_all,updated_date,scrape_date
ALABAMA,113002,2022-06-09,2022-06-10
ALASKA,20302,2022-06-09,2022-06-10
AMERICAN SAMOA,298,2022-06-09,2022-06-10
ARIZONA,117591,2022-06-09,2022-06-10
ARKANSAS,59640,2022-06-09,2022-06-10
CALIFORNIA,581801,2022-06-09,2022-06-10
COLORADO,92342,2022-06-09,2022-06-10
CONNECTICUT,99183,2022-06-09,2022-06-10
DELAWARE,22820,2022-06-09,2022-06-10
DISTRICT OF COLUMBIA,34141,2022-06-09,2022-06-10
FLORIDA,417352,2022-06-09,2022-06-10
GEORGIA,167676,2022-06-09,2022-06-10
GUAM,1880,2022-06-09,2022-06-10
HAWAII,31708,2022-06-09,2022-06-10
IDAHO,30917,2022-06-09,2022-06-10
ILLINOIS,251818,2022-06-09,2022-06-10
INDIANA,146701,2022-06-09,2022-06-10
IOWA,69090,2022-06-09,2022-06-10
KANSAS,62844,2022-06-09,2022-06-10
KENTUCKY,87761,2022-06-09,2022-06-10
LOUISIANA,85457,2022-06-09,2022-06-10
MAINE,30267,2022-06-09,2022-06-10
MARYLAND,98966,2022-06-09,2022-06-10
MASSACHUSETTS,180110,2022-06-09,2022-06-10
MICHIGAN (Non-Participating),NA,2022-06-09,2022-06-10
MINNESOTA,140390,2022-06-09,2022-06-10
MISSISSIPPI,64535,2022-06-09,2022-06-10
MISSOURI,140587,2022-06-09,2022-06-10
MONTANA,22720,2022-06-09,2022-06-10
NEBRASKA,37330,2022-06-09,2022-06-10
NEVADA,59140,2022-06-09,2022-06-10
NEW HAMPSHIRE,29164,2022-06-09,2022-06-10
NEW JERSEY,166556,2022-06-09,2022-06-10
NEW MEXICO,33065,2022-06-09,2022-06-10
NEW YORK,435007,2022-06-09,2022-06-10
NORTH CAROLINA,173599,2022-06-09,2022-06-10
NORTH DAKOTA,19652,2022-06-09,2022-06-10
NORTHERN MARIANA ISLANDS,3612,2022-06-09,2022-06-10
OHIO,284481,2022-06-09,2022-06-10
OKLAHOMA,66929,2022-06-09,2022-06-10
OREGON,82394,2022-06-09,2022-06-10
PENNSYLVANIA,287881,2022-06-09,2022-06-10
RHODE ISLAND,29162,2022-06-09,2022-06-10
SOUTH CAROLINA,87095,2022-06-09,2022-06-10
SOUTH DAKOTA,22109,2022-06-09,2022-06-10
TENNESSEE,140674,2022-06-09,2022-06-10
TEXAS,476116,2022-06-09,2022-06-10
UTAH,44425,2022-06-09,2022-06-10
VERMONT,22872,2022-06-09,2022-06-10
VIRGIN ISLANDS,1611,2022-06-09,2022-06-10
VIRGINIA,140159,2022-06-09,2022-06-10
WASHINGTON,133124,2022-06-09,2022-06-10
WEST VIRGINIA,43090,2022-06-09,2022-06-10
WISCONSIN,129863,2022-06-09,2022-06-10
WYOMING,10255,2022-06-09,2022-06-10
