state,counts_all,updated_date,scrape_date
ALABAMA,114800,2022-08-19,2022-08-19
ALASKA,21243,2022-08-19,2022-08-19
AMERICAN SAMOA,299,2022-08-19,2022-08-19
ARIZONA,115128,2022-08-19,2022-08-19
ARKANSAS,60026,2022-08-19,2022-08-19
CALIFORNIA,592542,2022-08-19,2022-08-19
COLORADO,94485,2022-08-19,2022-08-19
CONNECTICUT,101201,2022-08-19,2022-08-19
DELAWARE,23411,2022-08-19,2022-08-19
DISTRICT OF COLUMBIA,35694,2022-08-19,2022-08-19
FLORIDA,416490,2022-08-19,2022-08-19
GEORGIA,167669,2022-08-19,2022-08-19
GUAM,1407,2022-08-19,2022-08-19
HAWAII,32930,2022-08-19,2022-08-19
IDAHO,31572,2022-08-19,2022-08-19
ILLINOIS,255211,2022-08-19,2022-08-19
INDIANA,149527,2022-08-19,2022-08-19
IOWA,69649,2022-08-19,2022-08-19
KANSAS,63352,2022-08-19,2022-08-19
KENTUCKY,89515,2022-08-19,2022-08-19
LOUISIANA,86771,2022-08-19,2022-08-19
MAINE,30615,2022-08-19,2022-08-19
MARYLAND,99298,2022-08-19,2022-08-19
MASSACHUSETTS,184620,2022-08-19,2022-08-19
MICHIGAN (Non-Participating),NA,2022-08-19,2022-08-19
MINNESOTA,144285,2022-08-19,2022-08-19
MISSISSIPPI,65662,2022-08-19,2022-08-19
MISSOURI,143175,2022-08-19,2022-08-19
MONTANA,23367,2022-08-19,2022-08-19
NEBRASKA,38189,2022-08-19,2022-08-19
NEVADA,60508,2022-08-19,2022-08-19
NEW HAMPSHIRE,29541,2022-08-19,2022-08-19
NEW JERSEY,161889,2022-08-19,2022-08-19
NEW MEXICO,33565,2022-08-19,2022-08-19
NEW YORK,443311,2022-08-19,2022-08-19
NORTH CAROLINA,176462,2022-08-19,2022-08-19
NORTH DAKOTA,20294,2022-08-19,2022-08-19
NORTHERN MARIANA ISLANDS,3876,2022-08-19,2022-08-19
OHIO,290257,2022-08-19,2022-08-19
OKLAHOMA,67812,2022-08-19,2022-08-19
OREGON,85542,2022-08-19,2022-08-19
PENNSYLVANIA,285992,2022-08-19,2022-08-19
RHODE ISLAND,30457,2022-08-19,2022-08-19
SOUTH CAROLINA,89015,2022-08-19,2022-08-19
SOUTH DAKOTA,22368,2022-08-19,2022-08-19
TENNESSEE,142524,2022-08-19,2022-08-19
TEXAS,480894,2022-08-19,2022-08-19
UTAH,45602,2022-08-19,2022-08-19
VERMONT,23536,2022-08-19,2022-08-19
VIRGIN ISLANDS,1698,2022-08-19,2022-08-19
VIRGINIA,141911,2022-08-19,2022-08-19
WASHINGTON,136483,2022-08-19,2022-08-19
WEST VIRGINIA,42859,2022-08-19,2022-08-19
WISCONSIN,131622,2022-08-19,2022-08-19
WYOMING,10423,2022-08-19,2022-08-19
