state,counts_all,updated_date,scrape_date
ALABAMA,102853,2024-12-04,2024-12-04
ALASKA,24598,2024-12-04,2024-12-04
AMERICAN SAMOA,68,2024-12-04,2024-12-04
ARIZONA,125305,2024-12-04,2024-12-04
ARKANSAS,61354,2024-12-04,2024-12-04
CALIFORNIA,659472,2024-12-04,2024-12-04
COLORADO,100098,2024-12-04,2024-12-04
CONNECTICUT,95705,2024-12-04,2024-12-04
DELAWARE,24531,2024-12-04,2024-12-04
DISTRICT OF COLUMBIA,44282,2024-12-04,2024-12-04
FLORIDA,445572,2024-12-04,2024-12-04
GEORGIA,176736,2024-12-04,2024-12-04
GUAM,1425,2024-12-04,2024-12-04
HAWAII,40435,2024-12-04,2024-12-04
IDAHO,32751,2024-12-04,2024-12-04
ILLINOIS,281790,2024-12-04,2024-12-04
INDIANA,151246,2024-12-04,2024-12-04
IOWA,67130,2024-12-04,2024-12-04
KANSAS,62165,2024-12-04,2024-12-04
KENTUCKY,87210,2024-12-04,2024-12-04
LOUISIANA,89065,2024-12-04,2024-12-04
MAINE,30558,2024-12-04,2024-12-04
MARYLAND,100438,2024-12-04,2024-12-04
MASSACHUSETTS,177065,2024-12-04,2024-12-04
MICHIGAN,196129,2024-12-04,2024-12-04
MINNESOTA,151387,2024-12-04,2024-12-04
MISSISSIPPI,68892,2024-12-04,2024-12-04
MISSOURI,146881,2024-12-04,2024-12-04
MONTANA,27394,2024-12-04,2024-12-04
NEBRASKA,36383,2024-12-04,2024-12-04
NEVADA,65262,2024-12-04,2024-12-04
NEW HAMPSHIRE,30446,2024-12-04,2024-12-04
NEW JERSEY,172579,2024-12-04,2024-12-04
NEW MEXICO,36375,2024-12-04,2024-12-04
NEW YORK,560585,2024-12-04,2024-12-04
NORTH CAROLINA,184605,2024-12-04,2024-12-04
NORTH DAKOTA,20946,2024-12-04,2024-12-04
NORTHERN MARIANA ISLANDS,4652,2024-12-04,2024-12-04
OHIO,283219,2024-12-04,2024-12-04
OKLAHOMA,69927,2024-12-04,2024-12-04
OREGON,92884,2024-12-04,2024-12-04
PENNSYLVANIA,285985,2024-12-04,2024-12-04
RHODE ISLAND,28381,2024-12-04,2024-12-04
SOUTH CAROLINA,96045,2024-12-04,2024-12-04
SOUTH DAKOTA,22732,2024-12-04,2024-12-04
TENNESSEE,146312,2024-12-04,2024-12-04
TEXAS,515766,2024-12-04,2024-12-04
UTAH,50243,2024-12-04,2024-12-04
VERMONT,14627,2024-12-04,2024-12-04
VIRGIN ISLANDS,1391,2024-12-04,2024-12-04
VIRGINIA,147019,2024-12-04,2024-12-04
WASHINGTON,118516,2024-12-04,2024-12-04
WEST VIRGINIA,40912,2024-12-04,2024-12-04
WISCONSIN,126262,2024-12-04,2024-12-04
WYOMING,10596,2024-12-04,2024-12-04
