state,counts_rn,updated_date,scrape_date
ALABAMA,92395,2021-09-09,2021-09-10
ALASKA,16650,2021-09-09,2021-09-10
AMERICAN SAMOA,165,2021-09-09,2021-09-10
ARIZONA,99969,2021-09-09,2021-09-10
ARKANSAS,44618,2021-09-09,2021-09-10
CALIFORNIA-RN,459644,2021-09-09,2021-09-10
CALIFORNIA-VN (Non-Participating),NA,2021-09-09,2021-09-10
COLORADO,83607,2021-09-09,2021-09-10
CONNECTICUT,79085,2021-09-09,2021-09-10
DELAWARE,21329,2021-09-09,2021-09-10
DISTRICT OF COLUMBIA,28705,2021-09-09,2021-09-10
FLORIDA,338786,2021-09-09,2021-09-10
GEORGIA,137223,2021-09-09,2021-09-10
GUAM,1510,2021-09-09,2021-09-10
HAWAII,24587,2021-09-09,2021-09-10
IDAHO,24371,2021-09-09,2021-09-10
ILLINOIS,215125,2021-09-09,2021-09-10
INDIANA,132443,2021-09-09,2021-09-10
IOWA,61872,2021-09-09,2021-09-10
KANSAS,54059,2021-09-09,2021-09-10
KENTUCKY,75791,2021-09-09,2021-09-10
LOUISIANA-PN (Non-Participating),NA,2021-09-09,2021-09-10
LOUISIANA-RN,65204,2021-09-09,2021-09-10
MAINE,27754,2021-09-09,2021-09-10
MARYLAND,86606,2021-09-09,2021-09-10
MASSACHUSETTS,156322,2021-09-09,2021-09-10
MICHIGAN (Non-Participating),NA,2021-09-09,2021-09-10
MINNESOTA,118826,2021-09-09,2021-09-10
MISSISSIPPI,50004,2021-09-09,2021-09-10
MISSOURI,115155,2021-09-09,2021-09-10
MONTANA,19249,2021-09-09,2021-09-10
NEBRASKA,33786,2021-09-09,2021-09-10
NEVADA,50620,2021-09-09,2021-09-10
NEW HAMPSHIRE,25180,2021-09-09,2021-09-10
NEW JERSEY,137007,2021-09-09,2021-09-10
NEW MEXICO,29736,2021-09-09,2021-09-10
NEW YORK,398477,2021-09-09,2021-09-10
NORTH CAROLINA,147900,2021-09-09,2021-09-10
NORTH DAKOTA,16468,2021-09-09,2021-09-10
NORTHERN MARIANA ISLANDS,3261,2021-09-09,2021-09-10
OHIO,231222,2021-09-09,2021-09-10
OKLAHOMA,51511,2021-09-09,2021-09-10
OREGON,71256,2021-09-09,2021-09-10
PENNSYLVANIA,235330,2021-09-09,2021-09-10
RHODE ISLAND,26166,2021-09-09,2021-09-10
SOUTH CAROLINA,75748,2021-09-09,2021-09-10
SOUTH DAKOTA,19206,2021-09-09,2021-09-10
TENNESSEE,109881,2021-09-09,2021-09-10
TEXAS,360616,2021-09-09,2021-09-10
UTAH,39045,2021-09-09,2021-09-10
VERMONT,19109,2021-09-09,2021-09-10
VIRGIN ISLANDS,1271,2021-09-09,2021-09-10
VIRGINIA,111790,2021-09-09,2021-09-10
WASHINGTON,113802,2021-09-09,2021-09-10
WEST VIRGINIA-PN (Non-Participating),NA,2021-09-09,2021-09-10
WEST VIRGINIA-RN,34163,2021-09-09,2021-09-10
WISCONSIN,109749,2021-09-09,2021-09-10
WYOMING,8654,2021-09-09,2021-09-10
TOTALS,5092008,2021-09-09,2021-09-10
