state,counts_rn,updated_date,scrape_date
ALABAMA,96974,2022-07-21,2022-07-22
ALASKA,20077,2022-07-21,2022-07-22
AMERICAN SAMOA,167,2022-07-21,2022-07-22
ARIZONA,107810,2022-07-21,2022-07-22
ARKANSAS,45789,2022-07-21,2022-07-22
CALIFORNIA-RN,481074,2022-07-21,2022-07-22
CALIFORNIA-VN (Non-Participating),NA,2022-07-21,2022-07-22
COLORADO,85467,2022-07-21,2022-07-22
CONNECTICUT,86387,2022-07-21,2022-07-22
DELAWARE,20426,2022-07-21,2022-07-22
DISTRICT OF COLUMBIA,32809,2022-07-21,2022-07-22
FLORIDA,358094,2022-07-21,2022-07-22
GEORGIA,137596,2022-07-21,2022-07-22
GUAM,1569,2022-07-21,2022-07-22
HAWAII,30549,2022-07-21,2022-07-22
IDAHO,27697,2022-07-21,2022-07-22
ILLINOIS,227143,2022-07-21,2022-07-22
INDIANA,125270,2022-07-21,2022-07-22
IOWA,59479,2022-07-21,2022-07-22
KANSAS,53799,2022-07-21,2022-07-22
KENTUCKY,75721,2022-07-21,2022-07-22
LOUISIANA-PN (Non-Participating),NA,2022-07-21,2022-07-22
LOUISIANA-RN,65002,2022-07-21,2022-07-22
MAINE,28726,2022-07-21,2022-07-22
MARYLAND,87932,2022-07-21,2022-07-22
MASSACHUSETTS,161864,2022-07-21,2022-07-22
MICHIGAN (Non-Participating),NA,2022-07-21,2022-07-22
MINNESOTA,123612,2022-07-21,2022-07-22
MISSISSIPPI,52275,2022-07-21,2022-07-22
MISSOURI,120353,2022-07-21,2022-07-22
MONTANA,20820,2022-07-21,2022-07-22
NEBRASKA,32534,2022-07-21,2022-07-22
NEVADA,55497,2022-07-21,2022-07-22
NEW HAMPSHIRE,26331,2022-07-21,2022-07-22
NEW JERSEY,137396,2022-07-21,2022-07-22
NEW MEXICO,31013,2022-07-21,2022-07-22
NEW YORK,369511,2022-07-21,2022-07-22
NORTH CAROLINA,153116,2022-07-21,2022-07-22
NORTH DAKOTA,16919,2022-07-21,2022-07-22
NORTHERN MARIANA ISLANDS,3698,2022-07-21,2022-07-22
OHIO,233013,2022-07-21,2022-07-22
OKLAHOMA,51538,2022-07-21,2022-07-22
OREGON,78357,2022-07-21,2022-07-22
PENNSYLVANIA,236940,2022-07-21,2022-07-22
RHODE ISLAND,27567,2022-07-21,2022-07-22
SOUTH CAROLINA,76516,2022-07-21,2022-07-22
SOUTH DAKOTA,19653,2022-07-21,2022-07-22
TENNESSEE,112123,2022-07-21,2022-07-22
TEXAS,376224,2022-07-21,2022-07-22
UTAH,42684,2022-07-21,2022-07-22
VERMONT,21612,2022-07-21,2022-07-22
VIRGIN ISLANDS,1571,2022-07-21,2022-07-22
VIRGINIA,114439,2022-07-21,2022-07-22
WASHINGTON,124328,2022-07-21,2022-07-22
WEST VIRGINIA-PN (Non-Participating),NA,2022-07-21,2022-07-22
WEST VIRGINIA-RN,35089,2022-07-21,2022-07-22
WISCONSIN,115451,2022-07-21,2022-07-22
WYOMING,9374,2022-07-21,2022-07-22
TOTALS,5236975,2022-07-21,2022-07-22
