state,counts_rn,updated_date,scrape_date
ALABAMA,89927,2025-06-28,2025-06-28
ALASKA,20604,2025-06-28,2025-06-28
AMERICAN SAMOA,115,2025-06-28,2025-06-28
ARIZONA,118336,2025-06-28,2025-06-28
ARKANSAS,48995,2025-06-28,2025-06-28
CALIFORNIA-RN,570572,2025-06-28,2025-06-28
CALIFORNIA-VN (Non-Participating),NA,2025-06-28,2025-06-28
COLORADO,90600,2025-06-28,2025-06-28
CONNECTICUT,81976,2025-06-28,2025-06-28
DELAWARE,22149,2025-06-28,2025-06-28
DISTRICT OF COLUMBIA,45636,2025-06-28,2025-06-28
FLORIDA,380066,2025-06-28,2025-06-28
GEORGIA,145706,2025-06-28,2025-06-28
GUAM,1287,2025-06-28,2025-06-28
HAWAII,41145,2025-06-28,2025-06-28
IDAHO,31192,2025-06-28,2025-06-28
ILLINOIS,243372,2025-06-28,2025-06-28
INDIANA,136288,2025-06-28,2025-06-28
IOWA,58153,2025-06-28,2025-06-28
KANSAS,53692,2025-06-28,2025-06-28
KENTUCKY,78638,2025-06-28,2025-06-28
LOUISIANA-PN (Non-Participating),NA,2025-06-28,2025-06-28
LOUISIANA-RN,67745,2025-06-28,2025-06-28
MAINE,29117,2025-06-28,2025-06-28
MARYLAND,90806,2025-06-28,2025-06-28
MASSACHUSETTS,163588,2025-06-28,2025-06-28
MICHIGAN,178999,2025-06-28,2025-06-28
MINNESOTA,138267,2025-06-28,2025-06-28
MISSISSIPPI,53138,2025-06-28,2025-06-28
MISSOURI,117248,2025-06-28,2025-06-28
MONTANA,25578,2025-06-28,2025-06-28
NEBRASKA,32194,2025-06-28,2025-06-28
NEVADA,61665,2025-06-28,2025-06-28
NEW HAMPSHIRE,27849,2025-06-28,2025-06-28
NEW JERSEY,152630,2025-06-28,2025-06-28
NEW MEXICO,34446,2025-06-28,2025-06-28
NEW YORK,507619,2025-06-28,2025-06-28
NORTH CAROLINA,165156,2025-06-28,2025-06-28
NORTH DAKOTA,17556,2025-06-28,2025-06-28
NORTHERN MARIANA ISLANDS,4302,2025-06-28,2025-06-28
OHIO,240038,2025-06-28,2025-06-28
OKLAHOMA,54836,2025-06-28,2025-06-28
OREGON,89790,2025-06-28,2025-06-28
PENNSYLVANIA,237723,2025-06-28,2025-06-28
RHODE ISLAND,21024,2025-06-28,2025-06-28
SOUTH CAROLINA,87701,2025-06-28,2025-06-28
SOUTH DAKOTA,20173,2025-06-28,2025-06-28
TENNESSEE,117715,2025-06-28,2025-06-28
TEXAS,425103,2025-06-28,2025-06-28
UTAH,44964,2025-06-28,2025-06-28
VERMONT,11145,2025-06-28,2025-06-28
VIRGIN ISLANDS,1273,2025-06-28,2025-06-28
VIRGINIA,122753,2025-06-28,2025-06-28
WASHINGTON,106800,2025-06-28,2025-06-28
WEST VIRGINIA-PN (Non-Participating),NA,2025-06-28,2025-06-28
WEST VIRGINIA-RN,35217,2025-06-28,2025-06-28
WISCONSIN,118963,2025-06-28,2025-06-28
WYOMING,8556,2025-06-28,2025-06-28
TOTALS,5870126,2025-06-28,2025-06-28
