state,counts_rn,updated_date,scrape_date
ALABAMA,87208,2025-01-07,2025-01-07
ALASKA,18417,2025-01-07,2025-01-07
AMERICAN SAMOA,62,2025-01-07,2025-01-07
ARIZONA,114814,2025-01-07,2025-01-07
ARKANSAS,47978,2025-01-07,2025-01-07
CALIFORNIA-RN,549732,2025-01-07,2025-01-07
CALIFORNIA-VN (Non-Participating),NA,2025-01-07,2025-01-07
COLORADO,87875,2025-01-07,2025-01-07
CONNECTICUT,82809,2025-01-07,2025-01-07
DELAWARE,21632,2025-01-07,2025-01-07
DISTRICT OF COLUMBIA,41932,2025-01-07,2025-01-07
FLORIDA,381552,2025-01-07,2025-01-07
GEORGIA,146912,2025-01-07,2025-01-07
GUAM,1250,2025-01-07,2025-01-07
HAWAII,38720,2025-01-07,2025-01-07
IDAHO,29849,2025-01-07,2025-01-07
ILLINOIS,256244,2025-01-07,2025-01-07
INDIANA,131984,2025-01-07,2025-01-07
IOWA,58262,2025-01-07,2025-01-07
KANSAS,53007,2025-01-07,2025-01-07
KENTUCKY,76020,2025-01-07,2025-01-07
LOUISIANA-PN (Non-Participating),NA,2025-01-07,2025-01-07
LOUISIANA-RN,67016,2025-01-07,2025-01-07
MAINE,28875,2025-01-07,2025-01-07
MARYLAND,89251,2025-01-07,2025-01-07
MASSACHUSETTS,157526,2025-01-07,2025-01-07
MICHIGAN,175272,2025-01-07,2025-01-07
MINNESOTA,133579,2025-01-07,2025-01-07
MISSISSIPPI,50841,2025-01-07,2025-01-07
MISSOURI,124576,2025-01-07,2025-01-07
MONTANA,25415,2025-01-07,2025-01-07
NEBRASKA,31122,2025-01-07,2025-01-07
NEVADA,60230,2025-01-07,2025-01-07
NEW HAMPSHIRE,27391,2025-01-07,2025-01-07
NEW JERSEY,149271,2025-01-07,2025-01-07
NEW MEXICO,33942,2025-01-07,2025-01-07
NEW YORK,488216,2025-01-07,2025-01-07
NORTH CAROLINA,161701,2025-01-07,2025-01-07
NORTH DAKOTA,16729,2025-01-07,2025-01-07
NORTHERN MARIANA ISLANDS,4530,2025-01-07,2025-01-07
OHIO,234137,2025-01-07,2025-01-07
OKLAHOMA,52607,2025-01-07,2025-01-07
OREGON,86568,2025-01-07,2025-01-07
PENNSYLVANIA,238030,2025-01-07,2025-01-07
RHODE ISLAND,25735,2025-01-07,2025-01-07
SOUTH CAROLINA,84172,2025-01-07,2025-01-07
SOUTH DAKOTA,19961,2025-01-07,2025-01-07
TENNESSEE,116649,2025-01-07,2025-01-07
TEXAS,414495,2025-01-07,2025-01-07
UTAH,47686,2025-01-07,2025-01-07
VERMONT,13170,2025-01-07,2025-01-07
VIRGIN ISLANDS,1324,2025-01-07,2025-01-07
VIRGINIA,120719,2025-01-07,2025-01-07
WASHINGTON,107999,2025-01-07,2025-01-07
WEST VIRGINIA-PN (Non-Participating),NA,2025-01-07,2025-01-07
WEST VIRGINIA-RN,33603,2025-01-07,2025-01-07
WISCONSIN,114657,2025-01-07,2025-01-07
WYOMING,8157,2025-01-07,2025-01-07
TOTALS,5771411,2025-01-07,2025-01-07
