state,counts_lpn,updated_date,scrape_date
ALABAMA,14898,2024-08-20,2024-08-20
ALASKA,850,2024-08-20,2024-08-20
AMERICAN SAMOA,136,2024-08-20,2024-08-20
ARIZONA,10645,2024-08-20,2024-08-20
ARKANSAS,13933,2024-08-20,2024-08-20
CALIFORNIA-RN (Non-Participating),NA,2024-08-20,2024-08-20
CALIFORNIA-VN,112497,2024-08-20,2024-08-20
COLORADO,8442,2024-08-20,2024-08-20
CONNECTICUT,12738,2024-08-20,2024-08-20
DELAWARE,2953,2024-08-20,2024-08-20
DISTRICT OF COLUMBIA,2797,2024-08-20,2024-08-20
FLORIDA,63737,2024-08-20,2024-08-20
GEORGIA,29546,2024-08-20,2024-08-20
GUAM,189,2024-08-20,2024-08-20
HAWAII,2023,2024-08-20,2024-08-20
IDAHO,3534,2024-08-20,2024-08-20
ILLINOIS,26258,2024-08-20,2024-08-20
INDIANA,22687,2024-08-20,2024-08-20
IOWA,8947,2024-08-20,2024-08-20
KANSAS,9329,2024-08-20,2024-08-20
KENTUCKY,13153,2024-08-20,2024-08-20
LOUISIANA-PN,21819,2024-08-20,2024-08-20
LOUISIANA-RN (Non-Participating),NA,2024-08-20,2024-08-20
MAINE,1673,2024-08-20,2024-08-20
MARYLAND,11107,2024-08-20,2024-08-20
MASSACHUSETTS,19542,2024-08-20,2024-08-20
MICHIGAN,20902,2024-08-20,2024-08-20
MINNESOTA,17926,2024-08-20,2024-08-20
MISSISSIPPI,13557,2024-08-20,2024-08-20
MISSOURI,21993,2024-08-20,2024-08-20
MONTANA,2214,2024-08-20,2024-08-20
NEBRASKA,5278,2024-08-20,2024-08-20
NEVADA,4804,2024-08-20,2024-08-20
NEW HAMPSHIRE,3124,2024-08-20,2024-08-20
NEW JERSEY,23504,2024-08-20,2024-08-20
NEW MEXICO,2444,2024-08-20,2024-08-20
NEW YORK,74957,2024-08-20,2024-08-20
NORTH CAROLINA,22900,2024-08-20,2024-08-20
NORTH DAKOTA,2948,2024-08-20,2024-08-20
NORTHERN MARIANA ISLANDS,56,2024-08-20,2024-08-20
OHIO,55790,2024-08-20,2024-08-20
OKLAHOMA,16842,2024-08-20,2024-08-20
OREGON,6475,2024-08-20,2024-08-20
PENNSYLVANIA,47531,2024-08-20,2024-08-20
RHODE ISLAND,2601,2024-08-20,2024-08-20
SOUTH CAROLINA,11954,2024-08-20,2024-08-20
SOUTH DAKOTA,2719,2024-08-20,2024-08-20
TENNESSEE,29279,2024-08-20,2024-08-20
TEXAS,101880,2024-08-20,2024-08-20
UTAH,2538,2024-08-20,2024-08-20
VERMONT,1478,2024-08-20,2024-08-20
VIRGIN ISLANDS,85,2024-08-20,2024-08-20
VIRGINIA,26244,2024-08-20,2024-08-20
WASHINGTON,10503,2024-08-20,2024-08-20
WEST VIRGINIA-PN,7204,2024-08-20,2024-08-20
WEST VIRGINIA-RN (Non-Participating),NA,2024-08-20,2024-08-20
WISCONSIN,11679,2024-08-20,2024-08-20
WYOMING,1003,2024-08-20,2024-08-20
TOTALS,965845,2024-08-20,2024-08-20
