state,counts_rn,updated_date,scrape_date
ALABAMA,94718,2022-03-24,2022-03-25
ALASKA,18684,2022-03-24,2022-03-25
AMERICAN SAMOA,166,2022-03-24,2022-03-25
ARIZONA,104884,2022-03-24,2022-03-25
ARKANSAS,45081,2022-03-24,2022-03-25
CALIFORNIA-RN,471526,2022-03-24,2022-03-25
CALIFORNIA-VN (Non-Participating),NA,2022-03-24,2022-03-25
COLORADO,82828,2022-03-24,2022-03-25
CONNECTICUT,83417,2022-03-24,2022-03-25
DELAWARE,19690,2022-03-24,2022-03-25
DISTRICT OF COLUMBIA,30961,2022-03-24,2022-03-25
FLORIDA,353370,2022-03-24,2022-03-25
GEORGIA,136104,2022-03-24,2022-03-25
GUAM,1635,2022-03-24,2022-03-25
HAWAII,28256,2022-03-24,2022-03-25
IDAHO,26548,2022-03-24,2022-03-25
ILLINOIS,223161,2022-03-24,2022-03-25
INDIANA,121772,2022-03-24,2022-03-25
IOWA,58864,2022-03-24,2022-03-25
KANSAS,53484,2022-03-24,2022-03-25
KENTUCKY,73457,2022-03-24,2022-03-25
LOUISIANA-PN (Non-Participating),NA,2022-03-24,2022-03-25
LOUISIANA-RN,63542,2022-03-24,2022-03-25
MAINE,28133,2022-03-24,2022-03-25
MARYLAND,86667,2022-03-24,2022-03-25
MASSACHUSETTS,156784,2022-03-24,2022-03-25
MICHIGAN (Non-Participating),NA,2022-03-24,2022-03-25
MINNESOTA,120869,2022-03-24,2022-03-25
MISSISSIPPI,51144,2022-03-24,2022-03-25
MISSOURI,117837,2022-03-24,2022-03-25
MONTANA,19908,2022-03-24,2022-03-25
NEBRASKA,31691,2022-03-24,2022-03-25
NEVADA,53275,2022-03-24,2022-03-25
NEW HAMPSHIRE,25838,2022-03-24,2022-03-25
NEW JERSEY,141899,2022-03-24,2022-03-25
NEW MEXICO,30507,2022-03-24,2022-03-25
NEW YORK,361473,2022-03-24,2022-03-25
NORTH CAROLINA,150079,2022-03-24,2022-03-25
NORTH DAKOTA,16214,2022-03-24,2022-03-25
NORTHERN MARIANA ISLANDS,3320,2022-03-24,2022-03-25
OHIO,225487,2022-03-24,2022-03-25
OKLAHOMA,51855,2022-03-24,2022-03-25
OREGON,74414,2022-03-24,2022-03-25
PENNSYLVANIA,236331,2022-03-24,2022-03-25
RHODE ISLAND,25851,2022-03-24,2022-03-25
SOUTH CAROLINA,78741,2022-03-24,2022-03-25
SOUTH DAKOTA,19372,2022-03-24,2022-03-25
TENNESSEE,110848,2022-03-24,2022-03-25
TEXAS,369201,2022-03-24,2022-03-25
UTAH,41301,2022-03-24,2022-03-25
VERMONT,20817,2022-03-24,2022-03-25
VIRGIN ISLANDS,1342,2022-03-24,2022-03-25
VIRGINIA,113234,2022-03-24,2022-03-25
WASHINGTON,119436,2022-03-24,2022-03-25
WEST VIRGINIA-PN (Non-Participating),NA,2022-03-24,2022-03-25
WEST VIRGINIA-RN,33812,2022-03-24,2022-03-25
WISCONSIN,113147,2022-03-24,2022-03-25
WYOMING,9061,2022-03-24,2022-03-25
TOTALS,5132036,2022-03-24,2022-03-25
