state,counts_all,updated_date,scrape_date
ALABAMA,102622,2024-12-24,2024-12-24
ALASKA,18987,2024-12-24,2024-12-24
AMERICAN SAMOA,66,2024-12-24,2024-12-24
ARIZONA,125636,2024-12-24,2024-12-24
ARKANSAS,61751,2024-12-24,2024-12-24
CALIFORNIA,662023,2024-12-24,2024-12-24
COLORADO,95063,2024-12-24,2024-12-24
CONNECTICUT,95213,2024-12-24,2024-12-24
DELAWARE,24624,2024-12-24,2024-12-24
DISTRICT OF COLUMBIA,44607,2024-12-24,2024-12-24
FLORIDA,446207,2024-12-24,2024-12-24
GEORGIA,176986,2024-12-24,2024-12-24
GUAM,1430,2024-12-24,2024-12-24
HAWAII,40714,2024-12-24,2024-12-24
IDAHO,32897,2024-12-24,2024-12-24
ILLINOIS,282693,2024-12-24,2024-12-24
INDIANA,151546,2024-12-24,2024-12-24
IOWA,66965,2024-12-24,2024-12-24
KANSAS,62280,2024-12-24,2024-12-24
KENTUCKY,88000,2024-12-24,2024-12-24
LOUISIANA,89091,2024-12-24,2024-12-24
MAINE,30529,2024-12-24,2024-12-24
MARYLAND,100732,2024-12-24,2024-12-24
MASSACHUSETTS,177352,2024-12-24,2024-12-24
MICHIGAN,195898,2024-12-24,2024-12-24
MINNESOTA,151883,2024-12-24,2024-12-24
MISSISSIPPI,68770,2024-12-24,2024-12-24
MISSOURI,146986,2024-12-24,2024-12-24
MONTANA,27564,2024-12-24,2024-12-24
NEBRASKA,36422,2024-12-24,2024-12-24
NEVADA,65107,2024-12-24,2024-12-24
NEW HAMPSHIRE,30486,2024-12-24,2024-12-24
NEW JERSEY,173129,2024-12-24,2024-12-24
NEW MEXICO,36506,2024-12-24,2024-12-24
NEW YORK,563025,2024-12-24,2024-12-24
NORTH CAROLINA,184981,2024-12-24,2024-12-24
NORTH DAKOTA,20984,2024-12-24,2024-12-24
NORTHERN MARIANA ISLANDS,4654,2024-12-24,2024-12-24
OHIO,283698,2024-12-24,2024-12-24
OKLAHOMA,70066,2024-12-24,2024-12-24
OREGON,93099,2024-12-24,2024-12-24
PENNSYLVANIA,286584,2024-12-24,2024-12-24
RHODE ISLAND,28428,2024-12-24,2024-12-24
SOUTH CAROLINA,96275,2024-12-24,2024-12-24
SOUTH DAKOTA,22717,2024-12-24,2024-12-24
TENNESSEE,145946,2024-12-24,2024-12-24
TEXAS,517232,2024-12-24,2024-12-24
UTAH,50295,2024-12-24,2024-12-24
VERMONT,14690,2024-12-24,2024-12-24
VIRGIN ISLANDS,1393,2024-12-24,2024-12-24
VIRGINIA,147431,2024-12-24,2024-12-24
WASHINGTON,118498,2024-12-24,2024-12-24
WEST VIRGINIA,41049,2024-12-24,2024-12-24
WISCONSIN,126525,2024-12-24,2024-12-24
WYOMING,10649,2024-12-24,2024-12-24
