state,counts_lpn,updated_date,scrape_date
ALABAMA,15856,2025-04-11,2025-04-11
ALASKA,722,2025-04-11,2025-04-11
AMERICAN SAMOA,23,2025-04-11,2025-04-11
ARIZONA,11077,2025-04-11,2025-04-11
ARKANSAS,13711,2025-04-11,2025-04-11
CALIFORNIA-RN (Non-Participating),NA,2025-04-11,2025-04-11
CALIFORNIA-VN,113891,2025-04-11,2025-04-11
COLORADO,7469,2025-04-11,2025-04-11
CONNECTICUT,12607,2025-04-11,2025-04-11
DELAWARE,3124,2025-04-11,2025-04-11
DISTRICT OF COLUMBIA,2880,2025-04-11,2025-04-11
FLORIDA,65817,2025-04-11,2025-04-11
GEORGIA,30572,2025-04-11,2025-04-11
GUAM,190,2025-04-11,2025-04-11
HAWAII,2263,2025-04-11,2025-04-11
IDAHO,3248,2025-04-11,2025-04-11
ILLINOIS,27629,2025-04-11,2025-04-11
INDIANA,20407,2025-04-11,2025-04-11
IOWA,8747,2025-04-11,2025-04-11
KANSAS,9041,2025-04-11,2025-04-11
KENTUCKY,12548,2025-04-11,2025-04-11
LOUISIANA-PN,21286,2025-04-11,2025-04-11
LOUISIANA-RN (Non-Participating),NA,2025-04-11,2025-04-11
MAINE,1647,2025-04-11,2025-04-11
MARYLAND,11160,2025-04-11,2025-04-11
MASSACHUSETTS,20345,2025-04-11,2025-04-11
MICHIGAN,20633,2025-04-11,2025-04-11
MINNESOTA,17474,2025-04-11,2025-04-11
MISSISSIPPI,14351,2025-04-11,2025-04-11
MISSOURI,22889,2025-04-11,2025-04-11
MONTANA,2128,2025-04-11,2025-04-11
NEBRASKA,5399,2025-04-11,2025-04-11
NEVADA,4779,2025-04-11,2025-04-11
NEW HAMPSHIRE,3168,2025-04-11,2025-04-11
NEW JERSEY,24454,2025-04-11,2025-04-11
NEW MEXICO,2406,2025-04-11,2025-04-11
NEW YORK,76747,2025-04-11,2025-04-11
NORTH CAROLINA,22852,2025-04-11,2025-04-11
NORTH DAKOTA,2642,2025-04-11,2025-04-11
NORTHERN MARIANA ISLANDS,54,2025-04-11,2025-04-11
OHIO,51068,2025-04-11,2025-04-11
OKLAHOMA,16897,2025-04-11,2025-04-11
OREGON,6565,2025-04-11,2025-04-11
PENNSYLVANIA,49578,2025-04-11,2025-04-11
RHODE ISLAND,2345,2025-04-11,2025-04-11
SOUTH CAROLINA,12384,2025-04-11,2025-04-11
SOUTH DAKOTA,2764,2025-04-11,2025-04-11
TENNESSEE,29206,2025-04-11,2025-04-11
TEXAS,101275,2025-04-11,2025-04-11
UTAH,2697,2025-04-11,2025-04-11
VERMONT,1568,2025-04-11,2025-04-11
VIRGIN ISLANDS,77,2025-04-11,2025-04-11
VIRGINIA,26207,2025-04-11,2025-04-11
WASHINGTON,10277,2025-04-11,2025-04-11
WEST VIRGINIA-PN,7633,2025-04-11,2025-04-11
WEST VIRGINIA-RN (Non-Participating),NA,2025-04-11,2025-04-11
WISCONSIN,12460,2025-04-11,2025-04-11
WYOMING,707,2025-04-11,2025-04-11
TOTALS,969944,2025-04-11,2025-04-11
