state,counts_rn,updated_date,scrape_date
ALABAMA,88020,2025-02-17,2025-02-17
ALASKA,18911,2025-02-17,2025-02-17
AMERICAN SAMOA,83,2025-02-17,2025-02-17
ARIZONA,115928,2025-02-17,2025-02-17
ARKANSAS,48224,2025-02-17,2025-02-17
CALIFORNIA-RN,555236,2025-02-17,2025-02-17
CALIFORNIA-VN (Non-Participating),NA,2025-02-17,2025-02-17
COLORADO,88680,2025-02-17,2025-02-17
CONNECTICUT,82338,2025-02-17,2025-02-17
DELAWARE,21857,2025-02-17,2025-02-17
DISTRICT OF COLUMBIA,42832,2025-02-17,2025-02-17
FLORIDA,383929,2025-02-17,2025-02-17
GEORGIA,148513,2025-02-17,2025-02-17
GUAM,1256,2025-02-17,2025-02-17
HAWAII,39452,2025-02-17,2025-02-17
IDAHO,30241,2025-02-17,2025-02-17
ILLINOIS,235660,2025-02-17,2025-02-17
INDIANA,133234,2025-02-17,2025-02-17
IOWA,58198,2025-02-17,2025-02-17
KANSAS,53121,2025-02-17,2025-02-17
KENTUCKY,76446,2025-02-17,2025-02-17
LOUISIANA-PN (Non-Participating),NA,2025-02-17,2025-02-17
LOUISIANA-RN,66307,2025-02-17,2025-02-17
MAINE,28825,2025-02-17,2025-02-17
MARYLAND,89817,2025-02-17,2025-02-17
MASSACHUSETTS,158893,2025-02-17,2025-02-17
MICHIGAN,176471,2025-02-17,2025-02-17
MINNESOTA,134412,2025-02-17,2025-02-17
MISSISSIPPI,51728,2025-02-17,2025-02-17
MISSOURI,125252,2025-02-17,2025-02-17
MONTANA,24176,2025-02-17,2025-02-17
NEBRASKA,31437,2025-02-17,2025-02-17
NEVADA,60635,2025-02-17,2025-02-17
NEW HAMPSHIRE,27477,2025-02-17,2025-02-17
NEW JERSEY,150298,2025-02-17,2025-02-17
NEW MEXICO,34143,2025-02-17,2025-02-17
NEW YORK,492172,2025-02-17,2025-02-17
NORTH CAROLINA,162483,2025-02-17,2025-02-17
NORTH DAKOTA,16905,2025-02-17,2025-02-17
NORTHERN MARIANA ISLANDS,4485,2025-02-17,2025-02-17
OHIO,235663,2025-02-17,2025-02-17
OKLAHOMA,53355,2025-02-17,2025-02-17
OREGON,87863,2025-02-17,2025-02-17
PENNSYLVANIA,239778,2025-02-17,2025-02-17
RHODE ISLAND,25890,2025-02-17,2025-02-17
SOUTH CAROLINA,85310,2025-02-17,2025-02-17
SOUTH DAKOTA,20078,2025-02-17,2025-02-17
TENNESSEE,116690,2025-02-17,2025-02-17
TEXAS,419589,2025-02-17,2025-02-17
UTAH,43270,2025-02-17,2025-02-17
VERMONT,13241,2025-02-17,2025-02-17
VIRGIN ISLANDS,1315,2025-02-17,2025-02-17
VIRGINIA,121353,2025-02-17,2025-02-17
WASHINGTON,108522,2025-02-17,2025-02-17
WEST VIRGINIA-PN (Non-Participating),NA,2025-02-17,2025-02-17
WEST VIRGINIA-RN,34018,2025-02-17,2025-02-17
WISCONSIN,115946,2025-02-17,2025-02-17
WYOMING,8254,2025-02-17,2025-02-17
TOTALS,5788210,2025-02-17,2025-02-17
