state,counts_all,updated_date,scrape_date
ALABAMA,115378,2022-09-03,2022-09-04
ALASKA,21363,2022-09-03,2022-09-04
AMERICAN SAMOA,299,2022-09-03,2022-09-04
ARIZONA,115548,2022-09-03,2022-09-04
ARKANSAS,59917,2022-09-03,2022-09-04
CALIFORNIA,592662,2022-09-03,2022-09-04
COLORADO,94773,2022-09-03,2022-09-04
CONNECTICUT,101881,2022-09-03,2022-09-04
DELAWARE,23478,2022-09-03,2022-09-04
DISTRICT OF COLUMBIA,35919,2022-09-03,2022-09-04
FLORIDA,418289,2022-09-03,2022-09-04
GEORGIA,168442,2022-09-03,2022-09-04
GUAM,1414,2022-09-03,2022-09-04
HAWAII,33186,2022-09-03,2022-09-04
IDAHO,31185,2022-09-03,2022-09-04
ILLINOIS,255917,2022-09-03,2022-09-04
INDIANA,150016,2022-09-03,2022-09-04
IOWA,69845,2022-09-03,2022-09-04
KANSAS,63147,2022-09-03,2022-09-04
KENTUCKY,89726,2022-09-03,2022-09-04
LOUISIANA,86914,2022-09-03,2022-09-04
MAINE,30661,2022-09-03,2022-09-04
MARYLAND,99109,2022-09-03,2022-09-04
MASSACHUSETTS,185694,2022-09-03,2022-09-04
MICHIGAN (Non-Participating),NA,2022-09-03,2022-09-04
MINNESOTA,144697,2022-09-03,2022-09-04
MISSISSIPPI,65861,2022-09-03,2022-09-04
MISSOURI,143511,2022-09-03,2022-09-04
MONTANA,23454,2022-09-03,2022-09-04
NEBRASKA,38302,2022-09-03,2022-09-04
NEVADA,60608,2022-09-03,2022-09-04
NEW HAMPSHIRE,29603,2022-09-03,2022-09-04
NEW JERSEY,162459,2022-09-03,2022-09-04
NEW MEXICO,33453,2022-09-03,2022-09-04
NEW YORK,445404,2022-09-03,2022-09-04
NORTH CAROLINA,176415,2022-09-03,2022-09-04
NORTH DAKOTA,20392,2022-09-03,2022-09-04
NORTHERN MARIANA ISLANDS,3899,2022-09-03,2022-09-04
OHIO,290928,2022-09-03,2022-09-04
OKLAHOMA,67567,2022-09-03,2022-09-04
OREGON,85958,2022-09-03,2022-09-04
PENNSYLVANIA,287161,2022-09-03,2022-09-04
RHODE ISLAND,30568,2022-09-03,2022-09-04
SOUTH CAROLINA,89365,2022-09-03,2022-09-04
SOUTH DAKOTA,22401,2022-09-03,2022-09-04
TENNESSEE,142940,2022-09-03,2022-09-04
TEXAS,480436,2022-09-03,2022-09-04
UTAH,45787,2022-09-03,2022-09-04
VERMONT,23580,2022-09-03,2022-09-04
VIRGIN ISLANDS,1707,2022-09-03,2022-09-04
VIRGINIA,141807,2022-09-03,2022-09-04
WASHINGTON,136818,2022-09-03,2022-09-04
WEST VIRGINIA,43119,2022-09-03,2022-09-04
WISCONSIN,131919,2022-09-03,2022-09-04
WYOMING,10454,2022-09-03,2022-09-04
