state,counts_all,updated_date,scrape_date
ALABAMA,111085,2022-02-09,2022-02-10
ALASKA,19103,2022-02-09,2022-02-10
AMERICAN SAMOA,298,2022-02-09,2022-02-10
ARIZONA,114501,2022-02-09,2022-02-10
ARKANSAS,59219,2022-02-09,2022-02-10
CALIFORNIA,572198,2022-02-09,2022-02-10
COLORADO,89926,2022-02-09,2022-02-10
CONNECTICUT,96003,2022-02-09,2022-02-10
DELAWARE,22613,2022-02-09,2022-02-10
DISTRICT OF COLUMBIA,32699,2022-02-09,2022-02-10
FLORIDA,412118,2022-02-09,2022-02-10
GEORGIA,170666,2022-02-09,2022-02-10
GUAM,1819,2022-02-09,2022-02-10
HAWAII,28976,2022-02-09,2022-02-10
IDAHO,29680,2022-02-09,2022-02-10
ILLINOIS,246568,2022-02-09,2022-02-10
INDIANA,143442,2022-02-09,2022-02-10
IOWA,68877,2022-02-09,2022-02-10
KANSAS,62992,2022-02-09,2022-02-10
KENTUCKY,85743,2022-02-09,2022-02-10
LOUISIANA,83602,2022-02-09,2022-02-10
MAINE,29936,2022-02-09,2022-02-10
MARYLAND,98325,2022-02-09,2022-02-10
MASSACHUSETTS,174736,2022-02-09,2022-02-10
MICHIGAN (Non-Participating),NA,2022-02-09,2022-02-10
MINNESOTA,139453,2022-02-09,2022-02-10
MISSISSIPPI,63645,2022-02-09,2022-02-10
MISSOURI,141705,2022-02-09,2022-02-10
MONTANA,22985,2022-02-09,2022-02-10
NEBRASKA,36787,2022-02-09,2022-02-10
NEVADA,56687,2022-02-09,2022-02-10
NEW HAMPSHIRE,28833,2022-02-09,2022-02-10
NEW JERSEY,164675,2022-02-09,2022-02-10
NEW MEXICO,32669,2022-02-09,2022-02-10
NEW YORK,425939,2022-02-09,2022-02-10
NORTH CAROLINA,171684,2022-02-09,2022-02-10
NORTH DAKOTA,19069,2022-02-09,2022-02-10
NORTHERN MARIANA ISLANDS,3232,2022-02-09,2022-02-10
OHIO,276875,2022-02-09,2022-02-10
OKLAHOMA,67307,2022-02-09,2022-02-10
OREGON,79935,2022-02-09,2022-02-10
PENNSYLVANIA,286970,2022-02-09,2022-02-10
RHODE ISLAND,30342,2022-02-09,2022-02-10
SOUTH CAROLINA,90492,2022-02-09,2022-02-10
SOUTH DAKOTA,22010,2022-02-09,2022-02-10
TENNESSEE,140213,2022-02-09,2022-02-10
TEXAS,472103,2022-02-09,2022-02-10
UTAH,43088,2022-02-09,2022-02-10
VERMONT,22071,2022-02-09,2022-02-10
VIRGIN ISLANDS,1406,2022-02-09,2022-02-10
VIRGINIA,139178,2022-02-09,2022-02-10
WASHINGTON,129431,2022-02-09,2022-02-10
WEST VIRGINIA,41590,2022-02-09,2022-02-10
WISCONSIN,127308,2022-02-09,2022-02-10
WYOMING,9865,2022-02-09,2022-02-10
