state,counts_lpn,updated_date,scrape_date
ALABAMA,17564,2022-09-17,2022-09-17
ALASKA,825,2022-09-17,2022-09-17
AMERICAN SAMOA,132,2022-09-17,2022-09-17
ARIZONA,10782,2022-09-17,2022-09-17
ARKANSAS,14132,2022-09-17,2022-09-17
CALIFORNIA-RN (Non-Participating),NA,2022-09-17,2022-09-17
CALIFORNIA-VN,107354,2022-09-17,2022-09-17
COLORADO,8457,2022-09-17,2022-09-17
CONNECTICUT,14161,2022-09-17,2022-09-17
DELAWARE,2848,2022-09-17,2022-09-17
DISTRICT OF COLUMBIA,2260,2022-09-17,2022-09-17
FLORIDA,65230,2022-09-17,2022-09-17
GEORGIA,30180,2022-09-17,2022-09-17
GUAM,221,2022-09-17,2022-09-17
HAWAII,1913,2022-09-17,2022-09-17
IDAHO,3191,2022-09-17,2022-09-17
ILLINOIS,26583,2022-09-17,2022-09-17
INDIANA,23689,2022-09-17,2022-09-17
IOWA,10110,2022-09-17,2022-09-17
KANSAS,9590,2022-09-17,2022-09-17
KENTUCKY,13457,2022-09-17,2022-09-17
LOUISIANA-PN,21572,2022-09-17,2022-09-17
LOUISIANA-RN (Non-Participating),NA,2022-09-17,2022-09-17
MAINE,1855,2022-09-17,2022-09-17
MARYLAND,11216,2022-09-17,2022-09-17
MASSACHUSETTS,20811,2022-09-17,2022-09-17
MICHIGAN (Non-Participating),NA,2022-09-17,2022-09-17
MINNESOTA,19058,2022-09-17,2022-09-17
MISSISSIPPI,13423,2022-09-17,2022-09-17
MISSOURI,22564,2022-09-17,2022-09-17
MONTANA,2382,2022-09-17,2022-09-17
NEBRASKA,5563,2022-09-17,2022-09-17
NEVADA,4650,2022-09-17,2022-09-17
NEW HAMPSHIRE,3122,2022-09-17,2022-09-17
NEW JERSEY,23269,2022-09-17,2022-09-17
NEW MEXICO,2443,2022-09-17,2022-09-17
NEW YORK,70036,2022-09-17,2022-09-17
NORTH CAROLINA,23022,2022-09-17,2022-09-17
NORTH DAKOTA,3286,2022-09-17,2022-09-17
NORTHERN MARIANA ISLANDS,54,2022-09-17,2022-09-17
OHIO,55533,2022-09-17,2022-09-17
OKLAHOMA,16529,2022-09-17,2022-09-17
OREGON,6138,2022-09-17,2022-09-17
PENNSYLVANIA,47525,2022-09-17,2022-09-17
RHODE ISLAND,2642,2022-09-17,2022-09-17
SOUTH CAROLINA,11944,2022-09-17,2022-09-17
SOUTH DAKOTA,2719,2022-09-17,2022-09-17
TENNESSEE,29787,2022-09-17,2022-09-17
TEXAS,104304,2022-09-17,2022-09-17
UTAH,2620,2022-09-17,2022-09-17
VERMONT,1822,2022-09-17,2022-09-17
VIRGIN ISLANDS,111,2022-09-17,2022-09-17
VIRGINIA,26759,2022-09-17,2022-09-17
WASHINGTON,11089,2022-09-17,2022-09-17
WEST VIRGINIA-PN,7738,2022-09-17,2022-09-17
WEST VIRGINIA-RN (Non-Participating),NA,2022-09-17,2022-09-17
WISCONSIN,15887,2022-09-17,2022-09-17
WYOMING,989,2022-09-17,2022-09-17
TOTALS,955141,2022-09-17,2022-09-17
