state,counts_rn,updated_date,scrape_date
ALABAMA,87189,2024-12-31,2024-12-31
ALASKA,18369,2024-12-31,2024-12-31
AMERICAN SAMOA,61,2024-12-31,2024-12-31
ARIZONA,114764,2024-12-31,2024-12-31
ARKANSAS,47985,2024-12-31,2024-12-31
CALIFORNIA-RN,549176,2024-12-31,2024-12-31
CALIFORNIA-VN (Non-Participating),NA,2024-12-31,2024-12-31
COLORADO,87817,2024-12-31,2024-12-31
CONNECTICUT,82580,2024-12-31,2024-12-31
DELAWARE,21612,2024-12-31,2024-12-31
DISTRICT OF COLUMBIA,41864,2024-12-31,2024-12-31
FLORIDA,381447,2024-12-31,2024-12-31
GEORGIA,146854,2024-12-31,2024-12-31
GUAM,1245,2024-12-31,2024-12-31
HAWAII,38629,2024-12-31,2024-12-31
IDAHO,29786,2024-12-31,2024-12-31
ILLINOIS,255930,2024-12-31,2024-12-31
INDIANA,131848,2024-12-31,2024-12-31
IOWA,58228,2024-12-31,2024-12-31
KANSAS,53161,2024-12-31,2024-12-31
KENTUCKY,75914,2024-12-31,2024-12-31
LOUISIANA-PN (Non-Participating),NA,2024-12-31,2024-12-31
LOUISIANA-RN,67004,2024-12-31,2024-12-31
MAINE,28854,2024-12-31,2024-12-31
MARYLAND,89203,2024-12-31,2024-12-31
MASSACHUSETTS,157463,2024-12-31,2024-12-31
MICHIGAN,175159,2024-12-31,2024-12-31
MINNESOTA,134352,2024-12-31,2024-12-31
MISSISSIPPI,54694,2024-12-31,2024-12-31
MISSOURI,124568,2024-12-31,2024-12-31
MONTANA,25355,2024-12-31,2024-12-31
NEBRASKA,31111,2024-12-31,2024-12-31
NEVADA,60275,2024-12-31,2024-12-31
NEW HAMPSHIRE,27371,2024-12-31,2024-12-31
NEW JERSEY,149191,2024-12-31,2024-12-31
NEW MEXICO,34129,2024-12-31,2024-12-31
NEW YORK,487517,2024-12-31,2024-12-31
NORTH CAROLINA,162102,2024-12-31,2024-12-31
NORTH DAKOTA,17961,2024-12-31,2024-12-31
NORTHERN MARIANA ISLANDS,4598,2024-12-31,2024-12-31
OHIO,234048,2024-12-31,2024-12-31
OKLAHOMA,52909,2024-12-31,2024-12-31
OREGON,86499,2024-12-31,2024-12-31
PENNSYLVANIA,237907,2024-12-31,2024-12-31
RHODE ISLAND,25716,2024-12-31,2024-12-31
SOUTH CAROLINA,84099,2024-12-31,2024-12-31
SOUTH DAKOTA,19961,2024-12-31,2024-12-31
TENNESSEE,116590,2024-12-31,2024-12-31
TEXAS,415798,2024-12-31,2024-12-31
UTAH,47682,2024-12-31,2024-12-31
VERMONT,13158,2024-12-31,2024-12-31
VIRGIN ISLANDS,1313,2024-12-31,2024-12-31
VIRGINIA,121177,2024-12-31,2024-12-31
WASHINGTON,108036,2024-12-31,2024-12-31
WEST VIRGINIA-PN (Non-Participating),NA,2024-12-31,2024-12-31
WEST VIRGINIA-RN,33579,2024-12-31,2024-12-31
WISCONSIN,114554,2024-12-31,2024-12-31
WYOMING,9619,2024-12-31,2024-12-31
TOTALS,5778011,2024-12-31,2024-12-31
