state,counts_lpn,updated_date,scrape_date
ALABAMA,17084,2021-10-22,2021-10-23
ALASKA,732,2021-10-22,2021-10-23
AMERICAN SAMOA,131,2021-10-22,2021-10-23
ARIZONA,10725,2021-10-22,2021-10-23
ARKANSAS,14279,2021-10-22,2021-10-23
CALIFORNIA-RN (Non-Participating),NA,2021-10-22,2021-10-23
CALIFORNIA-VN,105702,2021-10-22,2021-10-23
COLORADO,7934,2021-10-22,2021-10-23
CONNECTICUT,13699,2021-10-22,2021-10-23
DELAWARE,3141,2021-10-22,2021-10-23
DISTRICT OF COLUMBIA,2159,2021-10-22,2021-10-23
FLORIDA,60426,2021-10-22,2021-10-23
GEORGIA,29486,2021-10-22,2021-10-23
GUAM,197,2021-10-22,2021-10-23
HAWAII,1635,2021-10-22,2021-10-23
IDAHO,3472,2021-10-22,2021-10-23
ILLINOIS,25363,2021-10-22,2021-10-23
INDIANA,22702,2021-10-22,2021-10-23
IOWA,10164,2021-10-22,2021-10-23
KANSAS,9753,2021-10-22,2021-10-23
KENTUCKY,13778,2021-10-22,2021-10-23
LOUISIANA-PN,21711,2021-10-22,2021-10-23
LOUISIANA-RN (Non-Participating),NA,2021-10-22,2021-10-23
MAINE,1904,2021-10-22,2021-10-23
MARYLAND,11326,2021-10-22,2021-10-23
MASSACHUSETTS,20406,2021-10-22,2021-10-23
MICHIGAN (Non-Participating),NA,2021-10-22,2021-10-23
MINNESOTA,19815,2021-10-22,2021-10-23
MISSISSIPPI,14065,2021-10-22,2021-10-23
MISSOURI,24402,2021-10-22,2021-10-23
MONTANA,2399,2021-10-22,2021-10-23
NEBRASKA,6115,2021-10-22,2021-10-23
NEVADA,4388,2021-10-22,2021-10-23
NEW HAMPSHIRE,3089,2021-10-22,2021-10-23
NEW JERSEY,23576,2021-10-22,2021-10-23
NEW MEXICO,2494,2021-10-22,2021-10-23
NEW YORK,86598,2021-10-22,2021-10-23
NORTH CAROLINA,22802,2021-10-22,2021-10-23
NORTH DAKOTA,3417,2021-10-22,2021-10-23
NORTHERN MARIANA ISLANDS,45,2021-10-22,2021-10-23
OHIO,53024,2021-10-22,2021-10-23
OKLAHOMA,15907,2021-10-22,2021-10-23
OREGON,6002,2021-10-22,2021-10-23
PENNSYLVANIA,52083,2021-10-22,2021-10-23
RHODE ISLAND,2481,2021-10-22,2021-10-23
SOUTH CAROLINA,12229,2021-10-22,2021-10-23
SOUTH DAKOTA,2678,2021-10-22,2021-10-23
TENNESSEE,30033,2021-10-22,2021-10-23
TEXAS,106269,2021-10-22,2021-10-23
UTAH,2748,2021-10-22,2021-10-23
VERMONT,2526,2021-10-22,2021-10-23
VIRGIN ISLANDS,91,2021-10-22,2021-10-23
VIRGINIA,27022,2021-10-22,2021-10-23
WASHINGTON,11086,2021-10-22,2021-10-23
WEST VIRGINIA-PN,7855,2021-10-22,2021-10-23
WEST VIRGINIA-RN (Non-Participating),NA,2021-10-22,2021-10-23
WISCONSIN,14919,2021-10-22,2021-10-23
WYOMING,841,2021-10-22,2021-10-23
TOTALS,968908,2021-10-22,2021-10-23
