state,counts_rn,updated_date,scrape_date
ALABAMA,99814,2023-02-14,2023-02-15
ALASKA,17321,2023-02-14,2023-02-15
AMERICAN SAMOA,167,2023-02-14,2023-02-15
ARIZONA,108532,2023-02-14,2023-02-15
ARKANSAS,46079,2023-02-14,2023-02-15
CALIFORNIA-RN,500910,2023-02-14,2023-02-15
CALIFORNIA-VN (Non-Participating),NA,2023-02-14,2023-02-15
COLORADO,85976,2023-02-14,2023-02-15
CONNECTICUT,82976,2023-02-14,2023-02-15
DELAWARE,21429,2023-02-14,2023-02-15
DISTRICT OF COLUMBIA,37508,2023-02-14,2023-02-15
FLORIDA,364764,2023-02-14,2023-02-15
GEORGIA,141646,2023-02-14,2023-02-15
GUAM,1349,2023-02-14,2023-02-15
HAWAII,33842,2023-02-14,2023-02-15
IDAHO,29231,2023-02-14,2023-02-15
ILLINOIS,214811,2023-02-14,2023-02-15
INDIANA,129652,2023-02-14,2023-02-15
IOWA,58061,2023-02-14,2023-02-15
KANSAS,53141,2023-02-14,2023-02-15
KENTUCKY,74659,2023-02-14,2023-02-15
LOUISIANA-PN (Non-Participating),NA,2023-02-14,2023-02-15
LOUISIANA-RN,64724,2023-02-14,2023-02-15
MAINE,28663,2023-02-14,2023-02-15
MARYLAND,88306,2023-02-14,2023-02-15
MASSACHUSETTS,151288,2023-02-14,2023-02-15
MICHIGAN,172522,2023-02-14,2023-02-15
MINNESOTA,130260,2023-02-14,2023-02-15
MISSISSIPPI,49965,2023-02-14,2023-02-15
MISSOURI,122967,2023-02-14,2023-02-15
MONTANA,22136,2023-02-14,2023-02-15
NEBRASKA,31431,2023-02-14,2023-02-15
NEVADA,57186,2023-02-14,2023-02-15
NEW HAMPSHIRE,26632,2023-02-14,2023-02-15
NEW JERSEY,143553,2023-02-14,2023-02-15
NEW MEXICO,31766,2023-02-14,2023-02-15
NEW YORK,390994,2023-02-14,2023-02-15
NORTH CAROLINA,154657,2023-02-14,2023-02-15
NORTH DAKOTA,16537,2023-02-14,2023-02-15
NORTHERN MARIANA ISLANDS,3882,2023-02-14,2023-02-15
OHIO,241192,2023-02-14,2023-02-15
OKLAHOMA,50565,2023-02-14,2023-02-15
OREGON,80922,2023-02-14,2023-02-15
PENNSYLVANIA,241688,2023-02-14,2023-02-15
RHODE ISLAND,29809,2023-02-14,2023-02-15
SOUTH CAROLINA,80145,2023-02-14,2023-02-15
SOUTH DAKOTA,19753,2023-02-14,2023-02-15
TENNESSEE,113664,2023-02-14,2023-02-15
TEXAS,384336,2023-02-14,2023-02-15
UTAH,40815,2023-02-14,2023-02-15
VERMONT,22058,2023-02-14,2023-02-15
VIRGIN ISLANDS,1178,2023-02-14,2023-02-15
VIRGINIA,116440,2023-02-14,2023-02-15
WASHINGTON,127860,2023-02-14,2023-02-15
WEST VIRGINIA-PN (Non-Participating),NA,2023-02-14,2023-02-15
WEST VIRGINIA-RN,34893,2023-02-14,2023-02-15
WISCONSIN,119214,2023-02-14,2023-02-15
WYOMING,8231,2023-02-14,2023-02-15
TOTALS,5502100,2023-02-14,2023-02-15
