state,counts_rn,updated_date,scrape_date
ALABAMA,92983,2026-07-10,2026-07-10
ALASKA,24475,2026-07-10,2026-07-10
AMERICAN SAMOA,178,2026-07-10,2026-07-10
ARIZONA,121423,2026-07-10,2026-07-10
ARKANSAS,50035,2026-07-10,2026-07-10
CALIFORNIA-RN,615533,2026-07-10,2026-07-10
CALIFORNIA-VN (Non-Participating),NA,2026-07-10,2026-07-10
COLORADO,92095,2026-07-10,2026-07-10
CONNECTICUT,77355,2026-07-10,2026-07-10
DELAWARE,19762,2026-07-10,2026-07-10
DISTRICT OF COLUMBIA,44882,2026-07-10,2026-07-10
FLORIDA,395147,2026-07-10,2026-07-10
GEORGIA,147627,2026-07-10,2026-07-10
GUAM,1263,2026-07-10,2026-07-10
HAWAII,37359,2026-07-10,2026-07-10
IDAHO,30061,2026-07-10,2026-07-10
ILLINOIS,262204,2026-07-10,2026-07-10
INDIANA,133389,2026-07-10,2026-07-10
IOWA,59248,2026-07-10,2026-07-10
KANSAS,54144,2026-07-10,2026-07-10
KENTUCKY,81008,2026-07-10,2026-07-10
LOUISIANA-PN (Non-Participating),NA,2026-07-10,2026-07-10
LOUISIANA-RN,68790,2026-07-10,2026-07-10
MAINE,28971,2026-07-10,2026-07-10
MARYLAND,91242,2026-07-10,2026-07-10
MASSACHUSETTS,161824,2026-07-10,2026-07-10
MICHIGAN,191327,2026-07-10,2026-07-10
MINNESOTA,141055,2026-07-10,2026-07-10
MISSISSIPPI,56251,2026-07-10,2026-07-10
MISSOURI,122176,2026-07-10,2026-07-10
MONTANA,26966,2026-07-10,2026-07-10
NEBRASKA,34206,2026-07-10,2026-07-10
NEVADA,64897,2026-07-10,2026-07-10
NEW HAMPSHIRE,27983,2026-07-10,2026-07-10
NEW JERSEY,148983,2026-07-10,2026-07-10
NEW MEXICO,35577,2026-07-10,2026-07-10
NEW YORK,555399,2026-07-10,2026-07-10
NORTH CAROLINA,169226,2026-07-10,2026-07-10
NORTH DAKOTA,17775,2026-07-10,2026-07-10
NORTHERN MARIANA ISLANDS,3646,2026-07-10,2026-07-10
OHIO,234179,2026-07-10,2026-07-10
OKLAHOMA,56648,2026-07-10,2026-07-10
OREGON,92952,2026-07-10,2026-07-10
PENNSYLVANIA,237957,2026-07-10,2026-07-10
RHODE ISLAND,21181,2026-07-10,2026-07-10
SOUTH CAROLINA,87818,2026-07-10,2026-07-10
SOUTH DAKOTA,20622,2026-07-10,2026-07-10
TENNESSEE,119429,2026-07-10,2026-07-10
TEXAS,435917,2026-07-10,2026-07-10
UTAH,48808,2026-07-10,2026-07-10
VERMONT,12396,2026-07-10,2026-07-10
VIRGIN ISLANDS,1189,2026-07-10,2026-07-10
VIRGINIA,125100,2026-07-10,2026-07-10
WASHINGTON,107413,2026-07-10,2026-07-10
WEST VIRGINIA-PN (Non-Participating),NA,2026-07-10,2026-07-10
WEST VIRGINIA-RN,32763,2026-07-10,2026-07-10
WISCONSIN,114714,2026-07-10,2026-07-10
WYOMING,9150,2026-07-10,2026-07-10
TOTALS,6044701,2026-07-10,2026-07-10
