state,counts_all,updated_date,scrape_date
ALABAMA,107513,2025-10-16,2025-10-16
ALASKA,22449,2025-10-16,2025-10-16
AMERICAN SAMOA,220,2025-10-16,2025-10-16
ARIZONA,126759,2025-10-16,2025-10-16
ARKANSAS,62859,2025-10-16,2025-10-16
CALIFORNIA,700659,2025-10-16,2025-10-16
COLORADO,100341,2025-10-16,2025-10-16
CONNECTICUT,95721,2025-10-16,2025-10-16
DELAWARE,22109,2025-10-16,2025-10-16
DISTRICT OF COLUMBIA,50819,2025-10-16,2025-10-16
FLORIDA,445517,2025-10-16,2025-10-16
GEORGIA,176403,2025-10-16,2025-10-16
GUAM,1299,2025-10-16,2025-10-16
HAWAII,35287,2025-10-16,2025-10-16
IDAHO,31256,2025-10-16,2025-10-16
ILLINOIS,275756,2025-10-16,2025-10-16
INDIANA,159789,2025-10-16,2025-10-16
IOWA,67760,2025-10-16,2025-10-16
KANSAS,62825,2025-10-16,2025-10-16
KENTUCKY,92627,2025-10-16,2025-10-16
LOUISIANA,90462,2025-10-16,2025-10-16
MAINE,30463,2025-10-16,2025-10-16
MARYLAND,102656,2025-10-16,2025-10-16
MASSACHUSETTS,189482,2025-10-16,2025-10-16
MICHIGAN,201697,2025-10-16,2025-10-16
MINNESOTA,156934,2025-10-16,2025-10-16
MISSISSIPPI,68799,2025-10-16,2025-10-16
MISSOURI,141743,2025-10-16,2025-10-16
MONTANA,28763,2025-10-16,2025-10-16
NEBRASKA,38458,2025-10-16,2025-10-16
NEVADA,67282,2025-10-16,2025-10-16
NEW HAMPSHIRE,30954,2025-10-16,2025-10-16
NEW JERSEY,174895,2025-10-16,2025-10-16
NEW MEXICO,37148,2025-10-16,2025-10-16
NEW YORK,600962,2025-10-16,2025-10-16
NORTH CAROLINA,188447,2025-10-16,2025-10-16
NORTH DAKOTA,20639,2025-10-16,2025-10-16
NORTHERN MARIANA ISLANDS,4097,2025-10-16,2025-10-16
OHIO,293419,2025-10-16,2025-10-16
OKLAHOMA,72401,2025-10-16,2025-10-16
OREGON,97703,2025-10-16,2025-10-16
PENNSYLVANIA,292899,2025-10-16,2025-10-16
RHODE ISLAND,24233,2025-10-16,2025-10-16
SOUTH CAROLINA,102106,2025-10-16,2025-10-16
SOUTH DAKOTA,23111,2025-10-16,2025-10-16
TENNESSEE,147349,2025-10-16,2025-10-16
TEXAS,529046,2025-10-16,2025-10-16
UTAH,48844,2025-10-16,2025-10-16
VERMONT,13317,2025-10-16,2025-10-16
VIRGIN ISLANDS,1267,2025-10-16,2025-10-16
VIRGINIA,149803,2025-10-16,2025-10-16
WASHINGTON,120737,2025-10-16,2025-10-16
WEST VIRGINIA,43078,2025-10-16,2025-10-16
WISCONSIN,131693,2025-10-16,2025-10-16
WYOMING,9525,2025-10-16,2025-10-16
