state,counts_lpn,updated_date,scrape_date
ALABAMA,15857,2025-04-14,2025-04-14
ALASKA,723,2025-04-14,2025-04-14
AMERICAN SAMOA,23,2025-04-14,2025-04-14
ARIZONA,11080,2025-04-14,2025-04-14
ARKANSAS,13711,2025-04-14,2025-04-14
CALIFORNIA-RN (Non-Participating),NA,2025-04-14,2025-04-14
CALIFORNIA-VN,113950,2025-04-14,2025-04-14
COLORADO,7469,2025-04-14,2025-04-14
CONNECTICUT,12617,2025-04-14,2025-04-14
DELAWARE,3125,2025-04-14,2025-04-14
DISTRICT OF COLUMBIA,2882,2025-04-14,2025-04-14
FLORIDA,65857,2025-04-14,2025-04-14
GEORGIA,30634,2025-04-14,2025-04-14
GUAM,190,2025-04-14,2025-04-14
HAWAII,2263,2025-04-14,2025-04-14
IDAHO,3250,2025-04-14,2025-04-14
ILLINOIS,27637,2025-04-14,2025-04-14
INDIANA,20414,2025-04-14,2025-04-14
IOWA,8750,2025-04-14,2025-04-14
KANSAS,9045,2025-04-14,2025-04-14
KENTUCKY,12550,2025-04-14,2025-04-14
LOUISIANA-PN,21291,2025-04-14,2025-04-14
LOUISIANA-RN (Non-Participating),NA,2025-04-14,2025-04-14
MAINE,1646,2025-04-14,2025-04-14
MARYLAND,11162,2025-04-14,2025-04-14
MASSACHUSETTS,20299,2025-04-14,2025-04-14
MICHIGAN,20628,2025-04-14,2025-04-14
MINNESOTA,17476,2025-04-14,2025-04-14
MISSISSIPPI,14350,2025-04-14,2025-04-14
MISSOURI,22892,2025-04-14,2025-04-14
MONTANA,2128,2025-04-14,2025-04-14
NEBRASKA,5401,2025-04-14,2025-04-14
NEVADA,4774,2025-04-14,2025-04-14
NEW HAMPSHIRE,3170,2025-04-14,2025-04-14
NEW JERSEY,24463,2025-04-14,2025-04-14
NEW MEXICO,2406,2025-04-14,2025-04-14
NEW YORK,76760,2025-04-14,2025-04-14
NORTH CAROLINA,22856,2025-04-14,2025-04-14
NORTH DAKOTA,2642,2025-04-14,2025-04-14
NORTHERN MARIANA ISLANDS,54,2025-04-14,2025-04-14
OHIO,51094,2025-04-14,2025-04-14
OKLAHOMA,16899,2025-04-14,2025-04-14
OREGON,6559,2025-04-14,2025-04-14
PENNSYLVANIA,49603,2025-04-14,2025-04-14
RHODE ISLAND,2346,2025-04-14,2025-04-14
SOUTH CAROLINA,12391,2025-04-14,2025-04-14
SOUTH DAKOTA,2765,2025-04-14,2025-04-14
TENNESSEE,29204,2025-04-14,2025-04-14
TEXAS,101303,2025-04-14,2025-04-14
UTAH,2698,2025-04-14,2025-04-14
VERMONT,1569,2025-04-14,2025-04-14
VIRGIN ISLANDS,77,2025-04-14,2025-04-14
VIRGINIA,26213,2025-04-14,2025-04-14
WASHINGTON,10268,2025-04-14,2025-04-14
WEST VIRGINIA-PN,7634,2025-04-14,2025-04-14
WEST VIRGINIA-RN (Non-Participating),NA,2025-04-14,2025-04-14
WISCONSIN,12466,2025-04-14,2025-04-14
WYOMING,707,2025-04-14,2025-04-14
TOTALS,970221,2025-04-14,2025-04-14
