state,counts_rn,updated_date,scrape_date
ALABAMA,98911,2022-12-30,2022-12-31
ALASKA,16877,2022-12-30,2022-12-31
AMERICAN SAMOA,167,2022-12-30,2022-12-31
ARIZONA,107888,2022-12-30,2022-12-31
ARKANSAS,46069,2022-12-30,2022-12-31
CALIFORNIA-RN,497498,2022-12-30,2022-12-31
CALIFORNIA-VN (Non-Participating),NA,2022-12-30,2022-12-31
COLORADO,85021,2022-12-30,2022-12-31
CONNECTICUT,89771,2022-12-30,2022-12-31
DELAWARE,21188,2022-12-30,2022-12-31
DISTRICT OF COLUMBIA,36368,2022-12-30,2022-12-31
FLORIDA,361093,2022-12-30,2022-12-31
GEORGIA,140512,2022-12-30,2022-12-31
GUAM,1287,2022-12-30,2022-12-31
HAWAII,33312,2022-12-30,2022-12-31
IDAHO,28762,2022-12-30,2022-12-31
ILLINOIS,213096,2022-12-30,2022-12-31
INDIANA,128345,2022-12-30,2022-12-31
IOWA,57753,2022-12-30,2022-12-31
KANSAS,53223,2022-12-30,2022-12-31
KENTUCKY,73627,2022-12-30,2022-12-31
LOUISIANA-PN (Non-Participating),NA,2022-12-30,2022-12-31
LOUISIANA-RN,65627,2022-12-30,2022-12-31
MAINE,28802,2022-12-30,2022-12-31
MARYLAND,88216,2022-12-30,2022-12-31
MASSACHUSETTS,168938,2022-12-30,2022-12-31
MICHIGAN (Non-Participating),NA,2022-12-30,2022-12-31
MINNESOTA,129248,2022-12-30,2022-12-31
MISSISSIPPI,52448,2022-12-30,2022-12-31
MISSOURI,122134,2022-12-30,2022-12-31
MONTANA,21791,2022-12-30,2022-12-31
NEBRASKA,31171,2022-12-30,2022-12-31
NEVADA,56605,2022-12-30,2022-12-31
NEW HAMPSHIRE,26648,2022-12-30,2022-12-31
NEW JERSEY,142461,2022-12-30,2022-12-31
NEW MEXICO,31652,2022-12-30,2022-12-31
NEW YORK,386254,2022-12-30,2022-12-31
NORTH CAROLINA,154329,2022-12-30,2022-12-31
NORTH DAKOTA,17441,2022-12-30,2022-12-31
NORTHERN MARIANA ISLANDS,3678,2022-12-30,2022-12-31
OHIO,239446,2022-12-30,2022-12-31
OKLAHOMA,50450,2022-12-30,2022-12-31
OREGON,80915,2022-12-30,2022-12-31
PENNSYLVANIA,245333,2022-12-30,2022-12-31
RHODE ISLAND,29284,2022-12-30,2022-12-31
SOUTH CAROLINA,79043,2022-12-30,2022-12-31
SOUTH DAKOTA,19672,2022-12-30,2022-12-31
TENNESSEE,113287,2022-12-30,2022-12-31
TEXAS,380824,2022-12-30,2022-12-31
UTAH,44155,2022-12-30,2022-12-31
VERMONT,22015,2022-12-30,2022-12-31
VIRGIN ISLANDS,1111,2022-12-30,2022-12-31
VIRGINIA,116168,2022-12-30,2022-12-31
WASHINGTON,126482,2022-12-30,2022-12-31
WEST VIRGINIA-PN (Non-Participating),NA,2022-12-30,2022-12-31
WEST VIRGINIA-RN,34492,2022-12-30,2022-12-31
WISCONSIN,117974,2022-12-30,2022-12-31
WYOMING,9598,2022-12-30,2022-12-31
TOTALS,5328460,2022-12-30,2022-12-31
