state,counts_all,updated_date,scrape_date
ALABAMA,114245,2022-07-28,2022-07-28
ALASKA,20987,2022-07-28,2022-07-28
AMERICAN SAMOA,299,2022-07-28,2022-07-28
ARIZONA,119271,2022-07-28,2022-07-28
ARKANSAS,60022,2022-07-28,2022-07-28
CALIFORNIA,589696,2022-07-28,2022-07-28
COLORADO,93972,2022-07-28,2022-07-28
CONNECTICUT,100781,2022-07-28,2022-07-28
DELAWARE,23287,2022-07-28,2022-07-28
DISTRICT OF COLUMBIA,35234,2022-07-28,2022-07-28
FLORIDA,423064,2022-07-28,2022-07-28
GEORGIA,167685,2022-07-28,2022-07-28
GUAM,1786,2022-07-28,2022-07-28
HAWAII,32521,2022-07-28,2022-07-28
IDAHO,31370,2022-07-28,2022-07-28
ILLINOIS,253700,2022-07-28,2022-07-28
INDIANA,148940,2022-07-28,2022-07-28
IOWA,69695,2022-07-28,2022-07-28
KANSAS,63533,2022-07-28,2022-07-28
KENTUCKY,89163,2022-07-28,2022-07-28
LOUISIANA,86524,2022-07-28,2022-07-28
MAINE,30613,2022-07-28,2022-07-28
MARYLAND,99370,2022-07-28,2022-07-28
MASSACHUSETTS,183021,2022-07-28,2022-07-28
MICHIGAN (Non-Participating),NA,2022-07-28,2022-07-28
MINNESOTA,143355,2022-07-28,2022-07-28
MISSISSIPPI,65451,2022-07-28,2022-07-28
MISSOURI,142695,2022-07-28,2022-07-28
MONTANA,23237,2022-07-28,2022-07-28
NEBRASKA,38067,2022-07-28,2022-07-28
NEVADA,60117,2022-07-28,2022-07-28
NEW HAMPSHIRE,29467,2022-07-28,2022-07-28
NEW JERSEY,160634,2022-07-28,2022-07-28
NEW MEXICO,33571,2022-07-28,2022-07-28
NEW YORK,439816,2022-07-28,2022-07-28
NORTH CAROLINA,176048,2022-07-28,2022-07-28
NORTH DAKOTA,20136,2022-07-28,2022-07-28
NORTHERN MARIANA ISLANDS,3777,2022-07-28,2022-07-28
OHIO,288997,2022-07-28,2022-07-28
OKLAHOMA,67865,2022-07-28,2022-07-28
OREGON,84894,2022-07-28,2022-07-28
PENNSYLVANIA,283923,2022-07-28,2022-07-28
RHODE ISLAND,30265,2022-07-28,2022-07-28
SOUTH CAROLINA,88497,2022-07-28,2022-07-28
SOUTH DAKOTA,22357,2022-07-28,2022-07-28
TENNESSEE,142359,2022-07-28,2022-07-28
TEXAS,481300,2022-07-28,2022-07-28
UTAH,45315,2022-07-28,2022-07-28
VERMONT,23437,2022-07-28,2022-07-28
VIRGIN ISLANDS,1682,2022-07-28,2022-07-28
VIRGINIA,141615,2022-07-28,2022-07-28
WASHINGTON,135622,2022-07-28,2022-07-28
WEST VIRGINIA,42658,2022-07-28,2022-07-28
WISCONSIN,131233,2022-07-28,2022-07-28
WYOMING,10371,2022-07-28,2022-07-28
