state,counts_lpn,updated_date,scrape_date
ALABAMA,17271,2022-08-15,2022-08-15
ALASKA,817,2022-08-15,2022-08-15
AMERICAN SAMOA,132,2022-08-15,2022-08-15
ARIZONA,10661,2022-08-15,2022-08-15
ARKANSAS,14188,2022-08-15,2022-08-15
CALIFORNIA-RN (Non-Participating),NA,2022-08-15,2022-08-15
CALIFORNIA-VN,107156,2022-08-15,2022-08-15
COLORADO,8374,2022-08-15,2022-08-15
CONNECTICUT,14258,2022-08-15,2022-08-15
DELAWARE,2826,2022-08-15,2022-08-15
DISTRICT OF COLUMBIA,2242,2022-08-15,2022-08-15
FLORIDA,64648,2022-08-15,2022-08-15
GEORGIA,29903,2022-08-15,2022-08-15
GUAM,218,2022-08-15,2022-08-15
HAWAII,1886,2022-08-15,2022-08-15
IDAHO,3642,2022-08-15,2022-08-15
ILLINOIS,26365,2022-08-15,2022-08-15
INDIANA,23510,2022-08-15,2022-08-15
IOWA,10148,2022-08-15,2022-08-15
KANSAS,9620,2022-08-15,2022-08-15
KENTUCKY,13385,2022-08-15,2022-08-15
LOUISIANA-PN,21465,2022-08-15,2022-08-15
LOUISIANA-RN (Non-Participating),NA,2022-08-15,2022-08-15
MAINE,1865,2022-08-15,2022-08-15
MARYLAND,11172,2022-08-15,2022-08-15
MASSACHUSETTS,20547,2022-08-15,2022-08-15
MICHIGAN (Non-Participating),NA,2022-08-15,2022-08-15
MINNESOTA,19131,2022-08-15,2022-08-15
MISSISSIPPI,13200,2022-08-15,2022-08-15
MISSOURI,22297,2022-08-15,2022-08-15
MONTANA,2369,2022-08-15,2022-08-15
NEBRASKA,5520,2022-08-15,2022-08-15
NEVADA,4609,2022-08-15,2022-08-15
NEW HAMPSHIRE,3106,2022-08-15,2022-08-15
NEW JERSEY,23083,2022-08-15,2022-08-15
NEW MEXICO,2439,2022-08-15,2022-08-15
NEW YORK,69552,2022-08-15,2022-08-15
NORTH CAROLINA,22760,2022-08-15,2022-08-15
NORTH DAKOTA,3231,2022-08-15,2022-08-15
NORTHERN MARIANA ISLANDS,57,2022-08-15,2022-08-15
OHIO,55622,2022-08-15,2022-08-15
OKLAHOMA,16405,2022-08-15,2022-08-15
OREGON,6135,2022-08-15,2022-08-15
PENNSYLVANIA,47081,2022-08-15,2022-08-15
RHODE ISLAND,2600,2022-08-15,2022-08-15
SOUTH CAROLINA,11856,2022-08-15,2022-08-15
SOUTH DAKOTA,2700,2022-08-15,2022-08-15
TENNESSEE,29866,2022-08-15,2022-08-15
TEXAS,104092,2022-08-15,2022-08-15
UTAH,2592,2022-08-15,2022-08-15
VERMONT,1815,2022-08-15,2022-08-15
VIRGIN ISLANDS,109,2022-08-15,2022-08-15
VIRGINIA,26719,2022-08-15,2022-08-15
WASHINGTON,11046,2022-08-15,2022-08-15
WEST VIRGINIA-PN,7605,2022-08-15,2022-08-15
WEST VIRGINIA-RN (Non-Participating),NA,2022-08-15,2022-08-15
WISCONSIN,15772,2022-08-15,2022-08-15
WYOMING,986,2022-08-15,2022-08-15
TOTALS,950654,2022-08-15,2022-08-15
