state,counts_all,updated_date,scrape_date
ALABAMA,112352,2022-05-21,2022-05-22
ALASKA,20221,2022-05-21,2022-05-22
AMERICAN SAMOA,298,2022-05-21,2022-05-22
ARIZONA,117082,2022-05-21,2022-05-22
ARKANSAS,59464,2022-05-21,2022-05-22
CALIFORNIA,581507,2022-05-21,2022-05-22
COLORADO,91998,2022-05-21,2022-05-22
CONNECTICUT,98774,2022-05-21,2022-05-22
DELAWARE,22707,2022-05-21,2022-05-22
DISTRICT OF COLUMBIA,33750,2022-05-21,2022-05-22
FLORIDA,415839,2022-05-21,2022-05-22
GEORGIA,167185,2022-05-21,2022-05-22
GUAM,1878,2022-05-21,2022-05-22
HAWAII,31307,2022-05-21,2022-05-22
IDAHO,30719,2022-05-21,2022-05-22
ILLINOIS,251389,2022-05-21,2022-05-22
INDIANA,146217,2022-05-21,2022-05-22
IOWA,68861,2022-05-21,2022-05-22
KANSAS,62754,2022-05-21,2022-05-22
KENTUCKY,87209,2022-05-21,2022-05-22
LOUISIANA,85145,2022-05-21,2022-05-22
MAINE,30153,2022-05-21,2022-05-22
MARYLAND,98479,2022-05-21,2022-05-22
MASSACHUSETTS,179424,2022-05-21,2022-05-22
MICHIGAN (Non-Participating),NA,2022-05-21,2022-05-22
MINNESOTA,140245,2022-05-21,2022-05-22
MISSISSIPPI,64318,2022-05-21,2022-05-22
MISSOURI,142924,2022-05-21,2022-05-22
MONTANA,22593,2022-05-21,2022-05-22
NEBRASKA,37195,2022-05-21,2022-05-22
NEVADA,58885,2022-05-21,2022-05-22
NEW HAMPSHIRE,29083,2022-05-21,2022-05-22
NEW JERSEY,166964,2022-05-21,2022-05-22
NEW MEXICO,33100,2022-05-21,2022-05-22
NEW YORK,433844,2022-05-21,2022-05-22
NORTH CAROLINA,173184,2022-05-21,2022-05-22
NORTH DAKOTA,19508,2022-05-21,2022-05-22
NORTHERN MARIANA ISLANDS,3562,2022-05-21,2022-05-22
OHIO,283338,2022-05-21,2022-05-22
OKLAHOMA,67172,2022-05-21,2022-05-22
OREGON,81839,2022-05-21,2022-05-22
PENNSYLVANIA,286923,2022-05-21,2022-05-22
RHODE ISLAND,28919,2022-05-21,2022-05-22
SOUTH CAROLINA,91372,2022-05-21,2022-05-22
SOUTH DAKOTA,22089,2022-05-21,2022-05-22
TENNESSEE,140855,2022-05-21,2022-05-22
TEXAS,475553,2022-05-21,2022-05-22
UTAH,44217,2022-05-21,2022-05-22
VERMONT,22739,2022-05-21,2022-05-22
VIRGIN ISLANDS,1538,2022-05-21,2022-05-22
VIRGINIA,140352,2022-05-21,2022-05-22
WASHINGTON,132186,2022-05-21,2022-05-22
WEST VIRGINIA,42650,2022-05-21,2022-05-22
WISCONSIN,129538,2022-05-21,2022-05-22
WYOMING,10159,2022-05-21,2022-05-22
