state,counts_lpn,updated_date,scrape_date
ALABAMA,15399,2024-11-08,2024-11-08
ALASKA,666,2024-11-08,2024-11-08
AMERICAN SAMOA,6,2024-11-08,2024-11-08
ARIZONA,10846,2024-11-08,2024-11-08
ARKANSAS,13759,2024-11-08,2024-11-08
CALIFORNIA-RN (Non-Participating),NA,2024-11-08,2024-11-08
CALIFORNIA-VN,112824,2024-11-08,2024-11-08
COLORADO,7212,2024-11-08,2024-11-08
CONNECTICUT,12712,2024-11-08,2024-11-08
DELAWARE,3012,2024-11-08,2024-11-08
DISTRICT OF COLUMBIA,2767,2024-11-08,2024-11-08
FLORIDA,64456,2024-11-08,2024-11-08
GEORGIA,30068,2024-11-08,2024-11-08
GUAM,189,2024-11-08,2024-11-08
HAWAII,2111,2024-11-08,2024-11-08
IDAHO,3145,2024-11-08,2024-11-08
ILLINOIS,26919,2024-11-08,2024-11-08
INDIANA,19118,2024-11-08,2024-11-08
IOWA,8904,2024-11-08,2024-11-08
KANSAS,9196,2024-11-08,2024-11-08
KENTUCKY,12148,2024-11-08,2024-11-08
LOUISIANA-PN,21975,2024-11-08,2024-11-08
LOUISIANA-RN (Non-Participating),NA,2024-11-08,2024-11-08
MAINE,1669,2024-11-08,2024-11-08
MARYLAND,11116,2024-11-08,2024-11-08
MASSACHUSETTS,19939,2024-11-08,2024-11-08
MICHIGAN,20747,2024-11-08,2024-11-08
MINNESOTA,17686,2024-11-08,2024-11-08
MISSISSIPPI,13977,2024-11-08,2024-11-08
MISSOURI,22408,2024-11-08,2024-11-08
MONTANA,2227,2024-11-08,2024-11-08
NEBRASKA,5307,2024-11-08,2024-11-08
NEVADA,4786,2024-11-08,2024-11-08
NEW HAMPSHIRE,3133,2024-11-08,2024-11-08
NEW JERSEY,23831,2024-11-08,2024-11-08
NEW MEXICO,2416,2024-11-08,2024-11-08
NEW YORK,75859,2024-11-08,2024-11-08
NORTH CAROLINA,22993,2024-11-08,2024-11-08
NORTH DAKOTA,3022,2024-11-08,2024-11-08
NORTHERN MARIANA ISLANDS,58,2024-11-08,2024-11-08
OHIO,49241,2024-11-08,2024-11-08
OKLAHOMA,17067,2024-11-08,2024-11-08
OREGON,6537,2024-11-08,2024-11-08
PENNSYLVANIA,48459,2024-11-08,2024-11-08
RHODE ISLAND,2685,2024-11-08,2024-11-08
SOUTH CAROLINA,12110,2024-11-08,2024-11-08
SOUTH DAKOTA,2759,2024-11-08,2024-11-08
TENNESSEE,29413,2024-11-08,2024-11-08
TEXAS,101714,2024-11-08,2024-11-08
UTAH,2584,2024-11-08,2024-11-08
VERMONT,1513,2024-11-08,2024-11-08
VIRGIN ISLANDS,79,2024-11-08,2024-11-08
VIRGINIA,26241,2024-11-08,2024-11-08
WASHINGTON,10418,2024-11-08,2024-11-08
WEST VIRGINIA-PN,7428,2024-11-08,2024-11-08
WEST VIRGINIA-RN (Non-Participating),NA,2024-11-08,2024-11-08
WISCONSIN,11909,2024-11-08,2024-11-08
WYOMING,1017,2024-11-08,2024-11-08
TOTALS,959780,2024-11-08,2024-11-08
