state,counts_lpn,updated_date,scrape_date
ALABAMA,15064,2024-09-09,2024-09-09
ALASKA,856,2024-09-09,2024-09-09
AMERICAN SAMOA,6,2024-09-09,2024-09-09
ARIZONA,10693,2024-09-09,2024-09-09
ARKANSAS,13886,2024-09-09,2024-09-09
CALIFORNIA-RN (Non-Participating),NA,2024-09-09,2024-09-09
CALIFORNIA-VN,112300,2024-09-09,2024-09-09
COLORADO,8485,2024-09-09,2024-09-09
CONNECTICUT,12793,2024-09-09,2024-09-09
DELAWARE,2969,2024-09-09,2024-09-09
DISTRICT OF COLUMBIA,2812,2024-09-09,2024-09-09
FLORIDA,63884,2024-09-09,2024-09-09
GEORGIA,29694,2024-09-09,2024-09-09
GUAM,190,2024-09-09,2024-09-09
HAWAII,2046,2024-09-09,2024-09-09
IDAHO,3074,2024-09-09,2024-09-09
ILLINOIS,26449,2024-09-09,2024-09-09
INDIANA,22800,2024-09-09,2024-09-09
IOWA,9001,2024-09-09,2024-09-09
KANSAS,9278,2024-09-09,2024-09-09
KENTUCKY,13190,2024-09-09,2024-09-09
LOUISIANA-PN,21844,2024-09-09,2024-09-09
LOUISIANA-RN (Non-Participating),NA,2024-09-09,2024-09-09
MAINE,1671,2024-09-09,2024-09-09
MARYLAND,11064,2024-09-09,2024-09-09
MASSACHUSETTS,19722,2024-09-09,2024-09-09
MICHIGAN,20865,2024-09-09,2024-09-09
MINNESOTA,17825,2024-09-09,2024-09-09
MISSISSIPPI,13720,2024-09-09,2024-09-09
MISSOURI,22149,2024-09-09,2024-09-09
MONTANA,2217,2024-09-09,2024-09-09
NEBRASKA,5296,2024-09-09,2024-09-09
NEVADA,4792,2024-09-09,2024-09-09
NEW HAMPSHIRE,3122,2024-09-09,2024-09-09
NEW JERSEY,23644,2024-09-09,2024-09-09
NEW MEXICO,2429,2024-09-09,2024-09-09
NEW YORK,75153,2024-09-09,2024-09-09
NORTH CAROLINA,22985,2024-09-09,2024-09-09
NORTH DAKOTA,2981,2024-09-09,2024-09-09
NORTHERN MARIANA ISLANDS,57,2024-09-09,2024-09-09
OHIO,55883,2024-09-09,2024-09-09
OKLAHOMA,16908,2024-09-09,2024-09-09
OREGON,6473,2024-09-09,2024-09-09
PENNSYLVANIA,47818,2024-09-09,2024-09-09
RHODE ISLAND,2614,2024-09-09,2024-09-09
SOUTH CAROLINA,11991,2024-09-09,2024-09-09
SOUTH DAKOTA,2764,2024-09-09,2024-09-09
TENNESSEE,29305,2024-09-09,2024-09-09
TEXAS,101521,2024-09-09,2024-09-09
UTAH,2551,2024-09-09,2024-09-09
VERMONT,1486,2024-09-09,2024-09-09
VIRGIN ISLANDS,83,2024-09-09,2024-09-09
VIRGINIA,26194,2024-09-09,2024-09-09
WASHINGTON,10459,2024-09-09,2024-09-09
WEST VIRGINIA-PN,7286,2024-09-09,2024-09-09
WEST VIRGINIA-RN (Non-Participating),NA,2024-09-09,2024-09-09
WISCONSIN,11764,2024-09-09,2024-09-09
WYOMING,1002,2024-09-09,2024-09-09
TOTALS,967108,2024-09-09,2024-09-09
