state,counts_lpn,updated_date,scrape_date
ALABAMA,15437,2025-01-11,2025-01-11
ALASKA,684,2025-01-11,2025-01-11
AMERICAN SAMOA,7,2025-01-11,2025-01-11
ARIZONA,10925,2025-01-11,2025-01-11
ARKANSAS,13833,2025-01-11,2025-01-11
CALIFORNIA-RN (Non-Participating),NA,2025-01-11,2025-01-11
CALIFORNIA-VN,112971,2025-01-11,2025-01-11
COLORADO,7324,2025-01-11,2025-01-11
CONNECTICUT,12637,2025-01-11,2025-01-11
DELAWARE,3041,2025-01-11,2025-01-11
DISTRICT OF COLUMBIA,2801,2025-01-11,2025-01-11
FLORIDA,64947,2025-01-11,2025-01-11
GEORGIA,30208,2025-01-11,2025-01-11
GUAM,190,2025-01-11,2025-01-11
HAWAII,2165,2025-01-11,2025-01-11
IDAHO,3180,2025-01-11,2025-01-11
ILLINOIS,27136,2025-01-11,2025-01-11
INDIANA,19831,2025-01-11,2025-01-11
IOWA,8779,2025-01-11,2025-01-11
KANSAS,9079,2025-01-11,2025-01-11
KENTUCKY,12385,2025-01-11,2025-01-11
LOUISIANA-PN,22178,2025-01-11,2025-01-11
LOUISIANA-RN (Non-Participating),NA,2025-01-11,2025-01-11
MAINE,1657,2025-01-11,2025-01-11
MARYLAND,11123,2025-01-11,2025-01-11
MASSACHUSETTS,20085,2025-01-11,2025-01-11
MICHIGAN,20681,2025-01-11,2025-01-11
MINNESOTA,17536,2025-01-11,2025-01-11
MISSISSIPPI,14057,2025-01-11,2025-01-11
MISSOURI,22500,2025-01-11,2025-01-11
MONTANA,2240,2025-01-11,2025-01-11
NEBRASKA,5325,2025-01-11,2025-01-11
NEVADA,4740,2025-01-11,2025-01-11
NEW HAMPSHIRE,3130,2025-01-11,2025-01-11
NEW JERSEY,24068,2025-01-11,2025-01-11
NEW MEXICO,2390,2025-01-11,2025-01-11
NEW YORK,76243,2025-01-11,2025-01-11
NORTH CAROLINA,22928,2025-01-11,2025-01-11
NORTH DAKOTA,2578,2025-01-11,2025-01-11
NORTHERN MARIANA ISLANDS,55,2025-01-11,2025-01-11
OHIO,49992,2025-01-11,2025-01-11
OKLAHOMA,17239,2025-01-11,2025-01-11
OREGON,6531,2025-01-11,2025-01-11
PENNSYLVANIA,48887,2025-01-11,2025-01-11
RHODE ISLAND,2740,2025-01-11,2025-01-11
SOUTH CAROLINA,12218,2025-01-11,2025-01-11
SOUTH DAKOTA,2757,2025-01-11,2025-01-11
TENNESSEE,29308,2025-01-11,2025-01-11
TEXAS,101116,2025-01-11,2025-01-11
UTAH,2654,2025-01-11,2025-01-11
VERMONT,1544,2025-01-11,2025-01-11
VIRGIN ISLANDS,73,2025-01-11,2025-01-11
VIRGINIA,26226,2025-01-11,2025-01-11
WASHINGTON,10356,2025-01-11,2025-01-11
WEST VIRGINIA-PN,7493,2025-01-11,2025-01-11
WEST VIRGINIA-RN (Non-Participating),NA,2025-01-11,2025-01-11
WISCONSIN,12042,2025-01-11,2025-01-11
WYOMING,674,2025-01-11,2025-01-11
TOTALS,962924,2025-01-11,2025-01-11
