state,counts_all,updated_date,scrape_date
ALABAMA,117633,2023-02-10,2023-02-11
ALASKA,17932,2023-02-10,2023-02-11
AMERICAN SAMOA,299,2023-02-10,2023-02-11
ARIZONA,119426,2023-02-10,2023-02-11
ARKANSAS,60030,2023-02-10,2023-02-11
CALIFORNIA,608292,2023-02-10,2023-02-11
COLORADO,93504,2023-02-10,2023-02-11
CONNECTICUT,106950,2023-02-10,2023-02-11
DELAWARE,24347,2023-02-10,2023-02-11
DISTRICT OF COLUMBIA,39764,2023-02-10,2023-02-11
FLORIDA,430685,2023-02-10,2023-02-11
GEORGIA,172445,2023-02-10,2023-02-11
GUAM,1572,2023-02-10,2023-02-11
HAWAII,35831,2023-02-10,2023-02-11
IDAHO,32492,2023-02-10,2023-02-11
ILLINOIS,241822,2023-02-10,2023-02-11
INDIANA,150332,2023-02-10,2023-02-11
IOWA,67108,2023-02-10,2023-02-11
KANSAS,62393,2023-02-10,2023-02-11
KENTUCKY,87358,2023-02-10,2023-02-11
LOUISIANA,85631,2023-02-10,2023-02-11
MAINE,30496,2023-02-10,2023-02-11
MARYLAND,99292,2023-02-10,2023-02-11
MASSACHUSETTS,172108,2023-02-10,2023-02-11
MICHIGAN,194007,2023-02-10,2023-02-11
MINNESOTA,148720,2023-02-10,2023-02-11
MISSISSIPPI,63715,2023-02-10,2023-02-11
MISSOURI,146003,2023-02-10,2023-02-11
MONTANA,24528,2023-02-10,2023-02-11
NEBRASKA,37036,2023-02-10,2023-02-11
NEVADA,61841,2023-02-10,2023-02-11
NEW HAMPSHIRE,29787,2023-02-10,2023-02-11
NEW JERSEY,167407,2023-02-10,2023-02-11
NEW MEXICO,34071,2023-02-10,2023-02-11
NEW YORK,461610,2023-02-10,2023-02-11
NORTH CAROLINA,177480,2023-02-10,2023-02-11
NORTH DAKOTA,19451,2023-02-10,2023-02-11
NORTHERN MARIANA ISLANDS,3920,2023-02-10,2023-02-11
OHIO,290906,2023-02-10,2023-02-11
OKLAHOMA,67161,2023-02-10,2023-02-11
OREGON,87049,2023-02-10,2023-02-11
PENNSYLVANIA,291025,2023-02-10,2023-02-11
RHODE ISLAND,32616,2023-02-10,2023-02-11
SOUTH CAROLINA,92323,2023-02-10,2023-02-11
SOUTH DAKOTA,22418,2023-02-10,2023-02-11
TENNESSEE,143312,2023-02-10,2023-02-11
TEXAS,487738,2023-02-10,2023-02-11
UTAH,43384,2023-02-10,2023-02-11
VERMONT,23908,2023-02-10,2023-02-11
VIRGIN ISLANDS,1271,2023-02-10,2023-02-11
VIRGINIA,142822,2023-02-10,2023-02-11
WASHINGTON,138794,2023-02-10,2023-02-11
WEST VIRGINIA,42907,2023-02-10,2023-02-11
WISCONSIN,135373,2023-02-10,2023-02-11
WYOMING,8946,2023-02-10,2023-02-11
