state,counts_all,updated_date,scrape_date
ALABAMA,111768,2022-04-16,2022-04-17
ALASKA,19710,2022-04-16,2022-04-17
AMERICAN SAMOA,298,2022-04-16,2022-04-17
ARIZONA,116514,2022-04-16,2022-04-17
ARKANSAS,59085,2022-04-16,2022-04-17
CALIFORNIA,578651,2022-04-16,2022-04-17
COLORADO,91385,2022-04-16,2022-04-17
CONNECTICUT,97898,2022-04-16,2022-04-17
DELAWARE,22477,2022-04-16,2022-04-17
DISTRICT OF COLUMBIA,33403,2022-04-16,2022-04-17
FLORIDA,417639,2022-04-16,2022-04-17
GEORGIA,166615,2022-04-16,2022-04-17
GUAM,1854,2022-04-16,2022-04-17
HAWAII,30519,2022-04-16,2022-04-17
IDAHO,30298,2022-04-16,2022-04-17
ILLINOIS,250404,2022-04-16,2022-04-17
INDIANA,145675,2022-04-16,2022-04-17
IOWA,69082,2022-04-16,2022-04-17
KANSAS,62885,2022-04-16,2022-04-17
KENTUCKY,86773,2022-04-16,2022-04-17
LOUISIANA,84831,2022-04-16,2022-04-17
MAINE,30090,2022-04-16,2022-04-17
MARYLAND,98157,2022-04-16,2022-04-17
MASSACHUSETTS,177952,2022-04-16,2022-04-17
MICHIGAN (Non-Participating),NA,2022-04-16,2022-04-17
MINNESOTA,140067,2022-04-16,2022-04-17
MISSISSIPPI,64174,2022-04-16,2022-04-17
MISSOURI,142767,2022-04-16,2022-04-17
MONTANA,22378,2022-04-16,2022-04-17
NEBRASKA,37073,2022-04-16,2022-04-17
NEVADA,58283,2022-04-16,2022-04-17
NEW HAMPSHIRE,29024,2022-04-16,2022-04-17
NEW JERSEY,166515,2022-04-16,2022-04-17
NEW MEXICO,33006,2022-04-16,2022-04-17
NEW YORK,431977,2022-04-16,2022-04-17
NORTH CAROLINA,172758,2022-04-16,2022-04-17
NORTH DAKOTA,19395,2022-04-16,2022-04-17
NORTHERN MARIANA ISLANDS,3460,2022-04-16,2022-04-17
OHIO,281471,2022-04-16,2022-04-17
OKLAHOMA,67299,2022-04-16,2022-04-17
OREGON,81004,2022-04-16,2022-04-17
PENNSYLVANIA,290944,2022-04-16,2022-04-17
RHODE ISLAND,28539,2022-04-16,2022-04-17
SOUTH CAROLINA,91478,2022-04-16,2022-04-17
SOUTH DAKOTA,22075,2022-04-16,2022-04-17
TENNESSEE,140792,2022-04-16,2022-04-17
TEXAS,474649,2022-04-16,2022-04-17
UTAH,43994,2022-04-16,2022-04-17
VERMONT,22542,2022-04-16,2022-04-17
VIRGIN ISLANDS,1435,2022-04-16,2022-04-17
VIRGINIA,140090,2022-04-16,2022-04-17
WASHINGTON,131412,2022-04-16,2022-04-17
WEST VIRGINIA,42179,2022-04-16,2022-04-17
WISCONSIN,128936,2022-04-16,2022-04-17
WYOMING,10006,2022-04-16,2022-04-17
