state,counts_all,updated_date,scrape_date
ALABAMA,104626,2025-05-27,2025-05-27
ALASKA,20916,2025-05-27,2025-05-27
AMERICAN SAMOA,134,2025-05-27,2025-05-27
ARIZONA,128107,2025-05-27,2025-05-27
ARKANSAS,62221,2025-05-27,2025-05-27
CALIFORNIA,680738,2025-05-27,2025-05-27
COLORADO,97746,2025-05-27,2025-05-27
CONNECTICUT,94368,2025-05-27,2025-05-27
DELAWARE,25174,2025-05-27,2025-05-27
DISTRICT OF COLUMBIA,47869,2025-05-27,2025-05-27
FLORIDA,442512,2025-05-27,2025-05-27
GEORGIA,171634,2025-05-27,2025-05-27
GUAM,1472,2025-05-27,2025-05-27
HAWAII,43091,2025-05-27,2025-05-27
IDAHO,34127,2025-05-27,2025-05-27
ILLINOIS,265140,2025-05-27,2025-05-27
INDIANA,155165,2025-05-27,2025-05-27
IOWA,66719,2025-05-27,2025-05-27
KANSAS,62155,2025-05-27,2025-05-27
KENTUCKY,90757,2025-05-27,2025-05-27
LOUISIANA,88278,2025-05-27,2025-05-27
MAINE,30435,2025-05-27,2025-05-27
MARYLAND,101394,2025-05-27,2025-05-27
MASSACHUSETTS,182711,2025-05-27,2025-05-27
MICHIGAN,198190,2025-05-27,2025-05-27
MINNESOTA,153534,2025-05-27,2025-05-27
MISSISSIPPI,66612,2025-05-27,2025-05-27
MISSOURI,138696,2025-05-27,2025-05-27
MONTANA,27263,2025-05-27,2025-05-27
NEBRASKA,37107,2025-05-27,2025-05-27
NEVADA,66040,2025-05-27,2025-05-27
NEW HAMPSHIRE,30631,2025-05-27,2025-05-27
NEW JERSEY,176741,2025-05-27,2025-05-27
NEW MEXICO,36710,2025-05-27,2025-05-27
NEW YORK,581651,2025-05-27,2025-05-27
NORTH CAROLINA,185728,2025-05-27,2025-05-27
NORTH DAKOTA,19904,2025-05-27,2025-05-27
NORTHERN MARIANA ISLANDS,4396,2025-05-27,2025-05-27
OHIO,289099,2025-05-27,2025-05-27
OKLAHOMA,70813,2025-05-27,2025-05-27
OREGON,95935,2025-05-27,2025-05-27
PENNSYLVANIA,284951,2025-05-27,2025-05-27
RHODE ISLAND,23149,2025-05-27,2025-05-27
SOUTH CAROLINA,99013,2025-05-27,2025-05-27
SOUTH DAKOTA,22811,2025-05-27,2025-05-27
TENNESSEE,145893,2025-05-27,2025-05-27
TEXAS,522872,2025-05-27,2025-05-27
UTAH,47042,2025-05-27,2025-05-27
VERMONT,12493,2025-05-27,2025-05-27
VIRGIN ISLANDS,1353,2025-05-27,2025-05-27
VIRGINIA,148061,2025-05-27,2025-05-27
WASHINGTON,116851,2025-05-27,2025-05-27
WEST VIRGINIA,42315,2025-05-27,2025-05-27
WISCONSIN,127372,2025-05-27,2025-05-27
WYOMING,9186,2025-05-27,2025-05-27
