state,counts_lpn,updated_date,scrape_date
ALABAMA,15790,2025-02-28,2025-02-28
ALASKA,707,2025-02-28,2025-02-28
AMERICAN SAMOA,13,2025-02-28,2025-02-28
ARIZONA,11018,2025-02-28,2025-02-28
ARKANSAS,13857,2025-02-28,2025-02-28
CALIFORNIA-RN (Non-Participating),NA,2025-02-28,2025-02-28
CALIFORNIA-VN,113815,2025-02-28,2025-02-28
COLORADO,7385,2025-02-28,2025-02-28
CONNECTICUT,12719,2025-02-28,2025-02-28
DELAWARE,3087,2025-02-28,2025-02-28
DISTRICT OF COLUMBIA,2848,2025-02-28,2025-02-28
FLORIDA,65408,2025-02-28,2025-02-28
GEORGIA,30480,2025-02-28,2025-02-28
GUAM,190,2025-02-28,2025-02-28
HAWAII,2207,2025-02-28,2025-02-28
IDAHO,3214,2025-02-28,2025-02-28
ILLINOIS,27382,2025-02-28,2025-02-28
INDIANA,20236,2025-02-28,2025-02-28
IOWA,8749,2025-02-28,2025-02-28
KANSAS,9129,2025-02-28,2025-02-28
KENTUCKY,12462,2025-02-28,2025-02-28
LOUISIANA-PN,21205,2025-02-28,2025-02-28
LOUISIANA-RN (Non-Participating),NA,2025-02-28,2025-02-28
MAINE,1647,2025-02-28,2025-02-28
MARYLAND,11191,2025-02-28,2025-02-28
MASSACHUSETTS,20226,2025-02-28,2025-02-28
MICHIGAN,20650,2025-02-28,2025-02-28
MINNESOTA,17623,2025-02-28,2025-02-28
MISSISSIPPI,14263,2025-02-28,2025-02-28
MISSOURI,22807,2025-02-28,2025-02-28
MONTANA,2117,2025-02-28,2025-02-28
NEBRASKA,5387,2025-02-28,2025-02-28
NEVADA,4771,2025-02-28,2025-02-28
NEW HAMPSHIRE,3164,2025-02-28,2025-02-28
NEW JERSEY,24252,2025-02-28,2025-02-28
NEW MEXICO,2403,2025-02-28,2025-02-28
NEW YORK,76441,2025-02-28,2025-02-28
NORTH CAROLINA,23002,2025-02-28,2025-02-28
NORTH DAKOTA,2623,2025-02-28,2025-02-28
NORTHERN MARIANA ISLANDS,54,2025-02-28,2025-02-28
OHIO,50707,2025-02-28,2025-02-28
OKLAHOMA,17211,2025-02-28,2025-02-28
OREGON,6523,2025-02-28,2025-02-28
PENNSYLVANIA,49278,2025-02-28,2025-02-28
RHODE ISLAND,2774,2025-02-28,2025-02-28
SOUTH CAROLINA,12306,2025-02-28,2025-02-28
SOUTH DAKOTA,2785,2025-02-28,2025-02-28
TENNESSEE,29339,2025-02-28,2025-02-28
TEXAS,101775,2025-02-28,2025-02-28
UTAH,2629,2025-02-28,2025-02-28
VERMONT,1562,2025-02-28,2025-02-28
VIRGIN ISLANDS,77,2025-02-28,2025-02-28
VIRGINIA,26278,2025-02-28,2025-02-28
WASHINGTON,10321,2025-02-28,2025-02-28
WEST VIRGINIA-PN,7581,2025-02-28,2025-02-28
WEST VIRGINIA-RN (Non-Participating),NA,2025-02-28,2025-02-28
WISCONSIN,12331,2025-02-28,2025-02-28
WYOMING,699,2025-02-28,2025-02-28
TOTALS,968698,2025-02-28,2025-02-28
