state,counts_lpn,updated_date,scrape_date
ALABAMA,17651,2022-10-24,2022-10-24
ALASKA,845,2022-10-24,2022-10-24
AMERICAN SAMOA,132,2022-10-24,2022-10-24
ARIZONA,10879,2022-10-24,2022-10-24
ARKANSAS,14028,2022-10-24,2022-10-24
CALIFORNIA-RN (Non-Participating),NA,2022-10-24,2022-10-24
CALIFORNIA-VN,107567,2022-10-24,2022-10-24
COLORADO,8510,2022-10-24,2022-10-24
CONNECTICUT,14255,2022-10-24,2022-10-24
DELAWARE,2874,2022-10-24,2022-10-24
DISTRICT OF COLUMBIA,2284,2022-10-24,2022-10-24
FLORIDA,65681,2022-10-24,2022-10-24
GEORGIA,30414,2022-10-24,2022-10-24
GUAM,221,2022-10-24,2022-10-24
HAWAII,1948,2022-10-24,2022-10-24
IDAHO,3217,2022-10-24,2022-10-24
ILLINOIS,26859,2022-10-24,2022-10-24
INDIANA,23810,2022-10-24,2022-10-24
IOWA,9994,2022-10-24,2022-10-24
KANSAS,9532,2022-10-24,2022-10-24
KENTUCKY,13489,2022-10-24,2022-10-24
LOUISIANA-PN,21674,2022-10-24,2022-10-24
LOUISIANA-RN (Non-Participating),NA,2022-10-24,2022-10-24
MAINE,1837,2022-10-24,2022-10-24
MARYLAND,11220,2022-10-24,2022-10-24
MASSACHUSETTS,20994,2022-10-24,2022-10-24
MICHIGAN (Non-Participating),NA,2022-10-24,2022-10-24
MINNESOTA,18967,2022-10-24,2022-10-24
MISSISSIPPI,13532,2022-10-24,2022-10-24
MISSOURI,22699,2022-10-24,2022-10-24
MONTANA,2390,2022-10-24,2022-10-24
NEBRASKA,5585,2022-10-24,2022-10-24
NEVADA,4640,2022-10-24,2022-10-24
NEW HAMPSHIRE,3107,2022-10-24,2022-10-24
NEW JERSEY,23496,2022-10-24,2022-10-24
NEW MEXICO,2431,2022-10-24,2022-10-24
NEW YORK,70267,2022-10-24,2022-10-24
NORTH CAROLINA,23049,2022-10-24,2022-10-24
NORTH DAKOTA,3303,2022-10-24,2022-10-24
NORTHERN MARIANA ISLANDS,55,2022-10-24,2022-10-24
OHIO,55618,2022-10-24,2022-10-24
OKLAHOMA,16625,2022-10-24,2022-10-24
OREGON,6170,2022-10-24,2022-10-24
PENNSYLVANIA,48220,2022-10-24,2022-10-24
RHODE ISLAND,2701,2022-10-24,2022-10-24
SOUTH CAROLINA,12066,2022-10-24,2022-10-24
SOUTH DAKOTA,2712,2022-10-24,2022-10-24
TENNESSEE,29960,2022-10-24,2022-10-24
TEXAS,104579,2022-10-24,2022-10-24
UTAH,2580,2022-10-24,2022-10-24
VERMONT,1832,2022-10-24,2022-10-24
VIRGIN ISLANDS,112,2022-10-24,2022-10-24
VIRGINIA,26764,2022-10-24,2022-10-24
WASHINGTON,11140,2022-10-24,2022-10-24
WEST VIRGINIA-PN,7834,2022-10-24,2022-10-24
WEST VIRGINIA-RN (Non-Participating),NA,2022-10-24,2022-10-24
WISCONSIN,16002,2022-10-24,2022-10-24
WYOMING,997,2022-10-24,2022-10-24
TOTALS,959348,2022-10-24,2022-10-24
