state,counts_rn,updated_date,scrape_date
ALABAMA,93141,2026-08-15,2026-08-17
ALASKA,24797,2026-08-15,2026-08-17
AMERICAN SAMOA,176,2026-08-15,2026-08-17
ARIZONA,116243,2026-08-15,2026-08-17
ARKANSAS,50139,2026-08-15,2026-08-17
CALIFORNIA-RN,621093,2026-08-15,2026-08-17
CALIFORNIA-VN (Non-Participating),NA,2026-08-15,2026-08-17
COLORADO,93141,2026-08-15,2026-08-17
CONNECTICUT,76749,2026-08-15,2026-08-17
DELAWARE,19947,2026-08-15,2026-08-17
DISTRICT OF COLUMBIA,45862,2026-08-15,2026-08-17
FLORIDA,395689,2026-08-15,2026-08-17
GEORGIA,150889,2026-08-15,2026-08-17
GUAM,1287,2026-08-15,2026-08-17
HAWAII,38243,2026-08-15,2026-08-17
IDAHO,30226,2026-08-15,2026-08-17
ILLINOIS,265746,2026-08-15,2026-08-17
INDIANA,134264,2026-08-15,2026-08-17
IOWA,59595,2026-08-15,2026-08-17
KANSAS,54216,2026-08-15,2026-08-17
KENTUCKY,81336,2026-08-15,2026-08-17
LOUISIANA-PN (Non-Participating),NA,2026-08-15,2026-08-17
LOUISIANA-RN,69041,2026-08-15,2026-08-17
MAINE,28977,2026-08-15,2026-08-17
MARYLAND,91220,2026-08-15,2026-08-17
MASSACHUSETTS,162543,2026-08-15,2026-08-17
MICHIGAN,192116,2026-08-15,2026-08-17
MINNESOTA,141210,2026-08-15,2026-08-17
MISSISSIPPI,56432,2026-08-15,2026-08-17
MISSOURI,122677,2026-08-15,2026-08-17
MONTANA,27286,2026-08-15,2026-08-17
NEBRASKA,34407,2026-08-15,2026-08-17
NEVADA,65187,2026-08-15,2026-08-17
NEW HAMPSHIRE,28099,2026-08-15,2026-08-17
NEW JERSEY,150887,2026-08-15,2026-08-17
NEW MEXICO,35833,2026-08-15,2026-08-17
NEW YORK,560583,2026-08-15,2026-08-17
NORTH CAROLINA,169661,2026-08-15,2026-08-17
NORTH DAKOTA,17863,2026-08-15,2026-08-17
NORTHERN MARIANA ISLANDS,3633,2026-08-15,2026-08-17
OHIO,235243,2026-08-15,2026-08-17
OKLAHOMA,56720,2026-08-15,2026-08-17
OREGON,93269,2026-08-15,2026-08-17
PENNSYLVANIA,239415,2026-08-15,2026-08-17
RHODE ISLAND,21376,2026-08-15,2026-08-17
SOUTH CAROLINA,88540,2026-08-15,2026-08-17
SOUTH DAKOTA,20650,2026-08-15,2026-08-17
TENNESSEE,119746,2026-08-15,2026-08-17
TEXAS,437946,2026-08-15,2026-08-17
UTAH,49170,2026-08-15,2026-08-17
VERMONT,12537,2026-08-15,2026-08-17
VIRGIN ISLANDS,1199,2026-08-15,2026-08-17
VIRGINIA,125686,2026-08-15,2026-08-17
WASHINGTON,108176,2026-08-15,2026-08-17
WEST VIRGINIA-PN (Non-Participating),NA,2026-08-15,2026-08-17
WEST VIRGINIA-RN,33022,2026-08-15,2026-08-17
WISCONSIN,115414,2026-08-15,2026-08-17
WYOMING,9189,2026-08-15,2026-08-17
TOTALS,6077732,2026-08-15,2026-08-17
