state,counts_lpn,updated_date,scrape_date
ALABAMA,15402,2024-11-09,2024-11-09
ALASKA,667,2024-11-09,2024-11-09
AMERICAN SAMOA,6,2024-11-09,2024-11-09
ARIZONA,10849,2024-11-09,2024-11-09
ARKANSAS,13761,2024-11-09,2024-11-09
CALIFORNIA-RN (Non-Participating),NA,2024-11-09,2024-11-09
CALIFORNIA-VN,112852,2024-11-09,2024-11-09
COLORADO,7213,2024-11-09,2024-11-09
CONNECTICUT,12712,2024-11-09,2024-11-09
DELAWARE,3012,2024-11-09,2024-11-09
DISTRICT OF COLUMBIA,2767,2024-11-09,2024-11-09
FLORIDA,64456,2024-11-09,2024-11-09
GEORGIA,30075,2024-11-09,2024-11-09
GUAM,189,2024-11-09,2024-11-09
HAWAII,2112,2024-11-09,2024-11-09
IDAHO,3145,2024-11-09,2024-11-09
ILLINOIS,26919,2024-11-09,2024-11-09
INDIANA,19163,2024-11-09,2024-11-09
IOWA,8904,2024-11-09,2024-11-09
KANSAS,9196,2024-11-09,2024-11-09
KENTUCKY,12151,2024-11-09,2024-11-09
LOUISIANA-PN,21974,2024-11-09,2024-11-09
LOUISIANA-RN (Non-Participating),NA,2024-11-09,2024-11-09
MAINE,1668,2024-11-09,2024-11-09
MARYLAND,11121,2024-11-09,2024-11-09
MASSACHUSETTS,19945,2024-11-09,2024-11-09
MICHIGAN,20747,2024-11-09,2024-11-09
MINNESOTA,17686,2024-11-09,2024-11-09
MISSISSIPPI,13977,2024-11-09,2024-11-09
MISSOURI,22408,2024-11-09,2024-11-09
MONTANA,2227,2024-11-09,2024-11-09
NEBRASKA,5306,2024-11-09,2024-11-09
NEVADA,4783,2024-11-09,2024-11-09
NEW HAMPSHIRE,3133,2024-11-09,2024-11-09
NEW JERSEY,23837,2024-11-09,2024-11-09
NEW MEXICO,2417,2024-11-09,2024-11-09
NEW YORK,75860,2024-11-09,2024-11-09
NORTH CAROLINA,22997,2024-11-09,2024-11-09
NORTH DAKOTA,3023,2024-11-09,2024-11-09
NORTHERN MARIANA ISLANDS,58,2024-11-09,2024-11-09
OHIO,49286,2024-11-09,2024-11-09
OKLAHOMA,17067,2024-11-09,2024-11-09
OREGON,6536,2024-11-09,2024-11-09
PENNSYLVANIA,48470,2024-11-09,2024-11-09
RHODE ISLAND,2687,2024-11-09,2024-11-09
SOUTH CAROLINA,12113,2024-11-09,2024-11-09
SOUTH DAKOTA,2759,2024-11-09,2024-11-09
TENNESSEE,29413,2024-11-09,2024-11-09
TEXAS,101723,2024-11-09,2024-11-09
UTAH,2584,2024-11-09,2024-11-09
VERMONT,1513,2024-11-09,2024-11-09
VIRGIN ISLANDS,78,2024-11-09,2024-11-09
VIRGINIA,26241,2024-11-09,2024-11-09
WASHINGTON,10415,2024-11-09,2024-11-09
WEST VIRGINIA-PN,7431,2024-11-09,2024-11-09
WEST VIRGINIA-RN (Non-Participating),NA,2024-11-09,2024-11-09
WISCONSIN,11911,2024-11-09,2024-11-09
WYOMING,1018,2024-11-09,2024-11-09
TOTALS,959963,2024-11-09,2024-11-09
