state,counts_lpn,updated_date,scrape_date
ALABAMA,17119,2021-11-02,2021-11-03
ALASKA,739,2021-11-02,2021-11-03
AMERICAN SAMOA,131,2021-11-02,2021-11-03
ARIZONA,10741,2021-11-02,2021-11-03
ARKANSAS,14173,2021-11-02,2021-11-03
CALIFORNIA-RN (Non-Participating),NA,2021-11-02,2021-11-03
CALIFORNIA-VN,105941,2021-11-02,2021-11-03
COLORADO,7953,2021-11-02,2021-11-03
CONNECTICUT,13721,2021-11-02,2021-11-03
DELAWARE,3143,2021-11-02,2021-11-03
DISTRICT OF COLUMBIA,2162,2021-11-02,2021-11-03
FLORIDA,60564,2021-11-02,2021-11-03
GEORGIA,29536,2021-11-02,2021-11-03
GUAM,197,2021-11-02,2021-11-03
HAWAII,1642,2021-11-02,2021-11-03
IDAHO,3483,2021-11-02,2021-11-03
ILLINOIS,25407,2021-11-02,2021-11-03
INDIANA,22745,2021-11-02,2021-11-03
IOWA,10170,2021-11-02,2021-11-03
KANSAS,9645,2021-11-02,2021-11-03
KENTUCKY,12516,2021-11-02,2021-11-03
LOUISIANA-PN,21718,2021-11-02,2021-11-03
LOUISIANA-RN (Non-Participating),NA,2021-11-02,2021-11-03
MAINE,1909,2021-11-02,2021-11-03
MARYLAND,11278,2021-11-02,2021-11-03
MASSACHUSETTS,20344,2021-11-02,2021-11-03
MICHIGAN (Non-Participating),NA,2021-11-02,2021-11-03
MINNESOTA,19658,2021-11-02,2021-11-03
MISSISSIPPI,14075,2021-11-02,2021-11-03
MISSOURI,24418,2021-11-02,2021-11-03
MONTANA,2403,2021-11-02,2021-11-03
NEBRASKA,6085,2021-11-02,2021-11-03
NEVADA,4391,2021-11-02,2021-11-03
NEW HAMPSHIRE,3080,2021-11-02,2021-11-03
NEW JERSEY,23624,2021-11-02,2021-11-03
NEW MEXICO,2475,2021-11-02,2021-11-03
NEW YORK,86671,2021-11-02,2021-11-03
NORTH CAROLINA,22665,2021-11-02,2021-11-03
NORTH DAKOTA,3425,2021-11-02,2021-11-03
NORTHERN MARIANA ISLANDS,45,2021-11-02,2021-11-03
OHIO,53168,2021-11-02,2021-11-03
OKLAHOMA,15940,2021-11-02,2021-11-03
OREGON,6013,2021-11-02,2021-11-03
PENNSYLVANIA,52183,2021-11-02,2021-11-03
RHODE ISLAND,2500,2021-11-02,2021-11-03
SOUTH CAROLINA,12243,2021-11-02,2021-11-03
SOUTH DAKOTA,2675,2021-11-02,2021-11-03
TENNESSEE,30145,2021-11-02,2021-11-03
TEXAS,105659,2021-11-02,2021-11-03
UTAH,2752,2021-11-02,2021-11-03
VERMONT,2539,2021-11-02,2021-11-03
VIRGIN ISLANDS,91,2021-11-02,2021-11-03
VIRGINIA,26896,2021-11-02,2021-11-03
WASHINGTON,11096,2021-11-02,2021-11-03
WEST VIRGINIA-PN,7878,2021-11-02,2021-11-03
WEST VIRGINIA-RN (Non-Participating),NA,2021-11-02,2021-11-03
WISCONSIN,14937,2021-11-02,2021-11-03
WYOMING,845,2021-11-02,2021-11-03
TOTALS,967552,2021-11-02,2021-11-03
