state,counts_rn,updated_date,scrape_date
ALABAMA,88020,2025-02-15,2025-02-15
ALASKA,18892,2025-02-15,2025-02-15
AMERICAN SAMOA,83,2025-02-15,2025-02-15
ARIZONA,115928,2025-02-15,2025-02-15
ARKANSAS,48224,2025-02-15,2025-02-15
CALIFORNIA-RN,555236,2025-02-15,2025-02-15
CALIFORNIA-VN (Non-Participating),NA,2025-02-15,2025-02-15
COLORADO,88680,2025-02-15,2025-02-15
CONNECTICUT,82319,2025-02-15,2025-02-15
DELAWARE,21846,2025-02-15,2025-02-15
DISTRICT OF COLUMBIA,42832,2025-02-15,2025-02-15
FLORIDA,383929,2025-02-15,2025-02-15
GEORGIA,148488,2025-02-15,2025-02-15
GUAM,1256,2025-02-15,2025-02-15
HAWAII,39451,2025-02-15,2025-02-15
IDAHO,30241,2025-02-15,2025-02-15
ILLINOIS,235488,2025-02-15,2025-02-15
INDIANA,133182,2025-02-15,2025-02-15
IOWA,58416,2025-02-15,2025-02-15
KANSAS,53129,2025-02-15,2025-02-15
KENTUCKY,76447,2025-02-15,2025-02-15
LOUISIANA-PN (Non-Participating),NA,2025-02-15,2025-02-15
LOUISIANA-RN,66307,2025-02-15,2025-02-15
MAINE,28818,2025-02-15,2025-02-15
MARYLAND,89817,2025-02-15,2025-02-15
MASSACHUSETTS,158776,2025-02-15,2025-02-15
MICHIGAN,176471,2025-02-15,2025-02-15
MINNESOTA,134412,2025-02-15,2025-02-15
MISSISSIPPI,51692,2025-02-15,2025-02-15
MISSOURI,125241,2025-02-15,2025-02-15
MONTANA,24174,2025-02-15,2025-02-15
NEBRASKA,31437,2025-02-15,2025-02-15
NEVADA,60672,2025-02-15,2025-02-15
NEW HAMPSHIRE,27478,2025-02-15,2025-02-15
NEW JERSEY,150251,2025-02-15,2025-02-15
NEW MEXICO,34143,2025-02-15,2025-02-15
NEW YORK,492172,2025-02-15,2025-02-15
NORTH CAROLINA,162484,2025-02-15,2025-02-15
NORTH DAKOTA,16906,2025-02-15,2025-02-15
NORTHERN MARIANA ISLANDS,4498,2025-02-15,2025-02-15
OHIO,235602,2025-02-15,2025-02-15
OKLAHOMA,53355,2025-02-15,2025-02-15
OREGON,87911,2025-02-15,2025-02-15
PENNSYLVANIA,239669,2025-02-15,2025-02-15
RHODE ISLAND,25890,2025-02-15,2025-02-15
SOUTH CAROLINA,85255,2025-02-15,2025-02-15
SOUTH DAKOTA,20083,2025-02-15,2025-02-15
TENNESSEE,116690,2025-02-15,2025-02-15
TEXAS,419459,2025-02-15,2025-02-15
UTAH,43270,2025-02-15,2025-02-15
VERMONT,13250,2025-02-15,2025-02-15
VIRGIN ISLANDS,1315,2025-02-15,2025-02-15
VIRGINIA,121353,2025-02-15,2025-02-15
WASHINGTON,108511,2025-02-15,2025-02-15
WEST VIRGINIA-PN (Non-Participating),NA,2025-02-15,2025-02-15
WEST VIRGINIA-RN,34019,2025-02-15,2025-02-15
WISCONSIN,115946,2025-02-15,2025-02-15
WYOMING,8254,2025-02-15,2025-02-15
TOTALS,5787668,2025-02-15,2025-02-15
