state,counts_rn,updated_date,scrape_date
ALABAMA,93141,2026-08-15,2026-08-18
ALASKA,24797,2026-08-15,2026-08-18
AMERICAN SAMOA,176,2026-08-15,2026-08-18
ARIZONA,116243,2026-08-15,2026-08-18
ARKANSAS,50139,2026-08-15,2026-08-18
CALIFORNIA-RN,621093,2026-08-15,2026-08-18
CALIFORNIA-VN (Non-Participating),NA,2026-08-15,2026-08-18
COLORADO,93141,2026-08-15,2026-08-18
CONNECTICUT,76749,2026-08-15,2026-08-18
DELAWARE,19947,2026-08-15,2026-08-18
DISTRICT OF COLUMBIA,45862,2026-08-15,2026-08-18
FLORIDA,395689,2026-08-15,2026-08-18
GEORGIA,150889,2026-08-15,2026-08-18
GUAM,1287,2026-08-15,2026-08-18
HAWAII,38243,2026-08-15,2026-08-18
IDAHO,30226,2026-08-15,2026-08-18
ILLINOIS,265746,2026-08-15,2026-08-18
INDIANA,134264,2026-08-15,2026-08-18
IOWA,59595,2026-08-15,2026-08-18
KANSAS,54216,2026-08-15,2026-08-18
KENTUCKY,81336,2026-08-15,2026-08-18
LOUISIANA-PN (Non-Participating),NA,2026-08-15,2026-08-18
LOUISIANA-RN,69041,2026-08-15,2026-08-18
MAINE,28977,2026-08-15,2026-08-18
MARYLAND,91220,2026-08-15,2026-08-18
MASSACHUSETTS,162543,2026-08-15,2026-08-18
MICHIGAN,192116,2026-08-15,2026-08-18
MINNESOTA,141210,2026-08-15,2026-08-18
MISSISSIPPI,56432,2026-08-15,2026-08-18
MISSOURI,122677,2026-08-15,2026-08-18
MONTANA,27286,2026-08-15,2026-08-18
NEBRASKA,34407,2026-08-15,2026-08-18
NEVADA,65187,2026-08-15,2026-08-18
NEW HAMPSHIRE,28099,2026-08-15,2026-08-18
NEW JERSEY,150887,2026-08-15,2026-08-18
NEW MEXICO,35833,2026-08-15,2026-08-18
NEW YORK,560583,2026-08-15,2026-08-18
NORTH CAROLINA,169661,2026-08-15,2026-08-18
NORTH DAKOTA,17863,2026-08-15,2026-08-18
NORTHERN MARIANA ISLANDS,3633,2026-08-15,2026-08-18
OHIO,235243,2026-08-15,2026-08-18
OKLAHOMA,56720,2026-08-15,2026-08-18
OREGON,93269,2026-08-15,2026-08-18
PENNSYLVANIA,239415,2026-08-15,2026-08-18
RHODE ISLAND,21376,2026-08-15,2026-08-18
SOUTH CAROLINA,88540,2026-08-15,2026-08-18
SOUTH DAKOTA,20650,2026-08-15,2026-08-18
TENNESSEE,119746,2026-08-15,2026-08-18
TEXAS,437946,2026-08-15,2026-08-18
UTAH,49170,2026-08-15,2026-08-18
VERMONT,12537,2026-08-15,2026-08-18
VIRGIN ISLANDS,1199,2026-08-15,2026-08-18
VIRGINIA,125686,2026-08-15,2026-08-18
WASHINGTON,108176,2026-08-15,2026-08-18
WEST VIRGINIA-PN (Non-Participating),NA,2026-08-15,2026-08-18
WEST VIRGINIA-RN,33022,2026-08-15,2026-08-18
WISCONSIN,115414,2026-08-15,2026-08-18
WYOMING,9189,2026-08-15,2026-08-18
TOTALS,6077732,2026-08-15,2026-08-18
